Date,HRTG
2014-05-23,9.931222915649414
2014-05-27,10.293925285339355
2014-05-28,10.363014221191406
2014-05-29,10.682539939880371
2014-05-30,10.734356880187988
2014-06-02,10.837985038757324
2014-06-03,10.95888900756836
2014-06-04,11.18342399597168
2014-06-05,11.425224304199219
2014-06-06,11.822473526000977
2014-06-09,12.064277648925781
2014-06-10,11.692936897277832
2014-06-11,12.116090774536133
2014-06-12,12.2024507522583
2014-06-13,12.280172348022461
2014-06-16,12.444252014160156
2014-06-17,12.599698066711426
2014-06-18,12.971040725708008
2014-06-19,13.014219284057617
2014-06-20,13.16966438293457
2014-06-23,13.109213829040527
2014-06-24,12.95376968383789
2014-06-25,12.945134162902832
2014-06-26,12.945134162902832
2014-06-27,12.6083345413208
2014-06-30,13.135124206542969
2014-07-01,13.212843894958496
2014-07-02,12.919227600097656
2014-07-03,12.919227600097656
2014-07-07,12.85877513885498
2014-07-08,13.031490325927734
2014-07-09,12.901952743530273
2014-07-10,12.763779640197754
2014-07-11,12.686055183410645
2014-07-14,12.651514053344727
2014-07-15,12.349255561828613
2014-07-16,12.824231147766113
2014-07-17,12.660149574279785
2014-07-18,12.96240234375
2014-07-21,13.100577354431152
2014-07-22,12.815596580505371
2014-07-23,13.161026954650879
2014-07-24,13.031490325927734
2014-07-25,12.93649673461914
2014-07-28,12.729235649108887
2014-07-29,12.755143165588379
2014-07-30,12.582427024841309
2014-07-31,12.2024507522583
2014-08-01,12.24562931060791
2014-08-04,12.6083345413208
2014-08-05,12.219722747802734
2014-08-06,12.901952743530273
2014-08-07,12.478795051574707
2014-08-08,12.444252014160156
2014-08-11,12.729235649108887
2014-08-12,12.746508598327637
2014-08-13,12.901952743530273
2014-08-14,12.832865715026855
2014-08-15,12.841499328613281
2014-08-18,12.88468074798584
2014-08-19,12.919227600097656
2014-08-20,12.85877513885498
2014-08-21,12.781050682067871
2014-08-22,12.96240234375
2014-08-25,13.212843894958496
2014-08-26,13.040127754211426
2014-08-27,12.668784141540527
2014-08-28,12.763779640197754
2014-08-29,12.910589218139648
2014-09-02,12.96240234375
2014-09-03,12.668784141540527
2014-09-04,12.556517601013184
2014-09-05,12.901952743530273
2014-09-08,12.824231147766113
2014-09-09,12.746508598327637
2014-09-10,12.798325538635254
2014-09-11,12.798325538635254
2014-09-12,12.832865715026855
2014-09-15,12.815596580505371
2014-09-16,12.591062545776367
2014-09-17,12.573792457580566
2014-09-18,12.625605583190918
2014-09-19,12.297446250915527
2014-09-22,12.392436981201172
2014-09-23,12.159271240234375
2014-09-24,12.107457160949707
2014-09-25,11.969279289245605
2014-09-26,11.805201530456543
2014-09-29,12.392436981201172
2014-09-30,13.005583763122559
2014-10-01,13.040127754211426
2014-10-02,13.109213829040527
2014-10-03,12.979674339294434
2014-10-06,12.919227600097656
2014-10-07,12.677422523498535
2014-10-08,12.660149574279785
2014-10-09,12.52197551727295
2014-10-10,12.306078910827637
2014-10-13,12.591062545776367
2014-10-14,12.487431526184082
2014-10-15,13.143757820129395
