Date,CDTX
2015-04-15,320.0
2015-04-16,304.0
2015-04-17,302.79998779296875
2015-04-20,305.79998779296875
2015-04-21,301.0
2015-04-22,298.79998779296875
2015-04-23,303.0
2015-04-24,302.0
2015-04-27,298.0
2015-04-28,295.79998779296875
2015-04-29,285.6000061035156
2015-04-30,292.3999938964844
2015-05-01,278.3999938964844
2015-05-04,295.0
2015-05-05,287.6000061035156
2015-05-06,285.79998779296875
2015-05-07,287.20001220703125
2015-05-08,298.79998779296875
2015-05-11,300.0
2015-05-12,300.79998779296875
2015-05-13,315.0
2015-05-14,321.0
2015-05-15,326.3999938964844
2015-05-18,333.79998779296875
2015-05-19,325.0
2015-05-20,327.0
2015-05-21,330.3999938964844
2015-05-22,311.79998779296875
2015-05-26,326.3999938964844
2015-05-27,315.0
2015-05-28,313.3999938964844
2015-05-29,313.79998779296875
2015-06-01,324.6000061035156
2015-06-02,333.3999938964844
2015-06-03,331.79998779296875
2015-06-04,325.20001220703125
2015-06-05,330.0
2015-06-08,324.79998779296875
2015-06-09,318.20001220703125
2015-06-10,314.79998779296875
2015-06-11,319.3999938964844
2015-06-12,316.79998779296875
2015-06-15,312.3999938964844
2015-06-16,313.20001220703125
2015-06-17,310.20001220703125
2015-06-18,319.0
2015-06-19,304.0
2015-06-22,303.6000061035156
2015-06-23,301.3999938964844
2015-06-24,287.79998779296875
2015-06-25,279.20001220703125
2015-06-26,277.0
2015-06-29,280.20001220703125
2015-06-30,280.3999938964844
2015-07-01,293.20001220703125
2015-07-02,293.0
2015-07-06,303.79998779296875
2015-07-07,299.0
2015-07-08,288.6000061035156
2015-07-09,280.0
2015-07-10,288.6000061035156
2015-07-13,288.79998779296875
2015-07-14,292.79998779296875
2015-07-15,293.79998779296875
2015-07-16,297.6000061035156
2015-07-17,293.3999938964844
2015-07-20,298.79998779296875
2015-07-21,294.6000061035156
2015-07-22,295.79998779296875
2015-07-23,291.3999938964844
2015-07-24,292.79998779296875
2015-07-27,284.0
2015-07-28,279.20001220703125
2015-07-29,276.79998779296875
2015-07-30,271.20001220703125
2015-07-31,279.6000061035156
2015-08-03,290.3999938964844
2015-08-04,286.0
2015-08-05,285.6000061035156
2015-08-06,285.0
2015-08-07,276.20001220703125
2015-08-10,278.79998779296875
2015-08-11,273.79998779296875
2015-08-12,272.0
2015-08-13,285.79998779296875
2015-08-14,290.0
2015-08-17,294.79998779296875
2015-08-18,285.6000061035156
2015-08-19,279.6000061035156
2015-08-20,281.79998779296875
2015-08-21,280.79998779296875
2015-08-24,278.6000061035156
2015-08-25,281.0
2015-08-26,285.20001220703125
2015-08-27,288.79998779296875
2015-08-28,293.3999938964844
2015-08-31,284.6000061035156
2015-09-01,284.0
2015-09-02,284.0
2015-09-03,281.20001220703125
2015-09-04,283.20001220703125
2015-09-08,300.79998779296875
2015-09-09,299.20001220703125
2015-09-10,300.3999938964844
2015-09-11,309.3999938964844
2015-09-14,302.0
2015-09-15,301.3999938964844
2015-09-16,291.0
2015-09-17,283.0
2015-09-18,287.3999938964844
2015-09-21,287.20001220703125
2015-09-22,283.20001220703125
2015-09-23,281.20001220703125
2015-09-24,280.79998779296875
2015-09-25,270.0
2015-09-28,249.0
2015-09-29,248.60000610351562
2015-09-30,254.39999389648438
2015-10-01,255.0
2015-10-02,258.79998779296875
2015-10-05,265.6000061035156
2015-10-06,265.3999938964844
2015-10-07,263.20001220703125
2015-10-08,259.79998779296875
2015-10-09,262.3999938964844
2015-10-12,270.0
2015-10-13,283.6000061035156
2015-10-14,289.0
2015-10-15,300.3999938964844
2015-10-16,300.79998779296875
2015-10-19,297.3999938964844
2015-10-20,297.79998779296875
2015-10-21,296.6000061035156
2015-10-22,290.0
2015-10-23,293.6000061035156
2015-10-26,292.79998779296875
2015-10-27,277.20001220703125
2015-10-28,279.79998779296875
2015-10-29,280.79998779296875
2015-10-30,272.3999938964844
2015-11-02,289.6000061035156
2015-11-03,289.79998779296875
2015-11-04,290.6000061035156
2015-11-05,293.6000061035156
2015-11-06,299.20001220703125
2015-11-09,296.6000061035156
2015-11-10,294.0
2015-11-11,295.6000061035156
2015-11-12,286.3999938964844
2015-11-13,277.79998779296875
2015-11-16,275.3999938964844
2015-11-17,260.79998779296875
2015-11-18,277.79998779296875
2015-11-19,278.20001220703125
2015-11-20,276.3999938964844
2015-11-23,291.79998779296875
2015-11-24,300.20001220703125
2015-11-25,310.3999938964844
2015-11-27,312.0
2015-11-30,308.3999938964844
2015-12-01,310.0
2015-12-02,322.3999938964844
2015-12-03,327.3999938964844
2015-12-04,338.3999938964844
2015-12-07,341.3999938964844
2015-12-08,338.3999938964844
2015-12-09,336.79998779296875
2015-12-10,334.20001220703125
2015-12-11,319.3999938964844
2015-12-14,307.0
2015-12-15,317.3999938964844
2015-12-16,329.0
2015-12-17,333.20001220703125
2015-12-18,332.79998779296875
2015-12-21,340.0
2015-12-22,338.3999938964844
2015-12-23,327.3999938964844
2015-12-24,313.6000061035156
2015-12-28,330.20001220703125
2015-12-29,333.79998779296875
2015-12-30,345.20001220703125
2015-12-31,343.20001220703125
2016-01-04,338.6000061035156
2016-01-05,337.6000061035156
2016-01-06,321.0
2016-01-07,311.6000061035156
2016-01-08,310.0
2016-01-11,303.0
2016-01-12,286.3999938964844
2016-01-13,266.0
2016-01-14,263.3999938964844
2016-01-15,253.8000030517578
2016-01-19,245.39999389648438
2016-01-20,253.8000030517578
2016-01-21,252.0
2016-01-22,268.0
2016-01-25,266.79998779296875
2016-01-26,264.0
2016-01-27,251.8000030517578
2016-01-28,234.1999969482422
2016-01-29,233.1999969482422
2016-02-01,227.60000610351562
2016-02-02,232.39999389648438
2016-02-03,217.39999389648438
2016-02-04,218.1999969482422
2016-02-05,218.39999389648438
2016-02-08,206.8000030517578
2016-02-09,200.1999969482422
2016-02-10,195.39999389648438
2016-02-11,198.1999969482422
2016-02-12,216.1999969482422
2016-02-16,216.0
