Date,AFL
2010-01-04,16.221986770629883
2010-01-05,16.692588806152344
2010-01-06,16.839214324951172
2010-01-07,17.01996421813965
2010-01-08,16.849449157714844
2010-01-11,17.29276466369629
2010-01-12,17.2041015625
2010-01-13,17.39166259765625
2010-01-14,17.62013816833496
2010-01-15,17.429166793823242
2010-01-19,17.76677703857422
2010-01-20,17.44280433654785
2010-01-21,17.21092987060547
2010-01-22,16.743738174438477
2010-01-25,17.112031936645508
2010-01-26,16.955162048339844
2010-01-27,16.985855102539062
2010-01-28,16.77442741394043
2010-01-29,16.5152530670166
2010-02-01,16.771018981933594
2010-02-02,16.948335647583008
2010-02-03,17.371200561523438
2010-02-04,16.470928192138672
2010-02-05,16.249271392822266
2010-02-08,15.669550895690918
2010-02-09,16.04806900024414
2010-02-10,16.06511878967285
2010-02-11,16.246936798095703
2010-02-12,16.171466827392578
2010-02-16,16.5522518157959
2010-02-17,16.720352172851562
2010-02-18,16.758089065551758
2010-02-19,16.823266983032227
2010-02-22,16.850709915161133
2010-02-23,16.511091232299805
2010-02-24,16.83355140686035
2010-02-25,16.874719619750977
2010-02-26,16.963912963867188
2010-03-01,17.15945816040039
2010-03-02,17.132017135620117
2010-03-03,17.210914611816406
2010-03-04,17.34813690185547
2010-03-05,17.670602798461914
2010-03-08,17.73578643798828
2010-03-09,17.581411361694336
2010-03-10,17.999935150146484
2010-03-11,18.05481719970703
2010-03-12,18.075401306152344
2010-03-15,18.10284996032715
2010-03-16,18.42188262939453
2010-03-17,18.744356155395508
2010-03-18,18.806100845336914
2010-03-19,18.559112548828125
2010-03-22,18.476774215698242
2010-03-23,18.3532772064209
2010-03-24,18.404735565185547
2010-03-25,18.253799438476562
2010-03-26,18.342988967895508
2010-03-29,18.404735565185547
2010-03-30,18.4527645111084
2010-03-31,18.624286651611328
2010-04-01,18.778656005859375
2010-04-05,19.046241760253906
2010-04-06,19.197185516357422
2010-04-07,18.96390151977539
2010-04-08,19.005075454711914
2010-04-09,19.128576278686523
2010-04-12,19.059959411621094
2010-04-13,19.02908706665039
2010-04-14,19.40301513671875
2010-04-15,19.02908706665039
2010-04-16,18.66887855529785
2010-04-19,18.727201461791992
2010-04-20,18.977628707885742
2010-04-21,18.78209686279297
2010-04-22,18.730642318725586
2010-04-23,19.02908706665039
2010-04-26,18.77522850036621
