Date,D
2010-01-04,20.20009994506836
2010-01-05,19.95123291015625
2010-01-06,19.971960067749023
2010-01-07,20.003074645996094
2010-01-08,19.992712020874023
2010-01-11,20.288246154785156
2010-01-12,20.18454360961914
2010-01-13,20.298616409301758
2010-01-14,20.277873992919922
2010-01-15,20.1430606842041
2010-01-19,20.443796157836914
2010-01-20,20.2415771484375
2010-01-21,19.977155685424805
2010-01-22,19.598661422729492
2010-01-25,19.7386474609375
2010-01-26,19.75419807434082
2010-01-27,19.702354431152344
2010-01-28,19.49496078491211
2010-01-29,19.422374725341797
2010-02-01,19.572729110717773
2010-02-02,19.697172164916992
2010-02-03,19.51569938659668
2010-02-04,19.11128807067871
2010-02-05,19.054256439208984
2010-02-08,18.80537986755371
2010-02-09,18.960927963256836
2010-02-10,18.97648048400879
2010-02-11,19.220165252685547
2010-02-12,19.2564640045166
2010-02-16,19.826799392700195
2010-02-17,19.89937973022461
2010-02-18,20.075660705566406
2010-02-19,20.308975219726562
2010-02-22,20.220836639404297
2010-02-23,20.127517700195312
2010-02-24,20.215660095214844
2010-02-25,20.1159725189209
2010-02-26,19.93233299255371
2010-03-01,20.0949764251709
2010-03-02,20.189430236816406
2010-03-03,20.25762939453125
2010-03-04,20.331087112426758
2010-03-05,20.51997184753418
2010-03-08,20.504222869873047
2010-03-09,20.577680587768555
2010-03-10,20.66163444519043
2010-03-11,20.803285598754883
2010-03-12,20.82427215576172
2010-03-15,20.834760665893555
2010-03-16,20.929214477539062
2010-03-17,21.280746459960938
2010-03-18,21.25450897216797
2010-03-19,21.354198455810547
2010-03-22,21.055131912231445
2010-03-23,21.086610794067383
2010-03-24,21.028900146484375
2010-03-25,21.123336791992188
2010-03-26,21.30172348022461
2010-03-29,21.606040954589844
2010-03-30,21.648008346557617
2010-03-31,21.569318771362305
2010-04-01,21.947080612182617
2010-04-05,21.936586380004883
2010-04-06,21.87887191772461
2010-04-07,21.852636337280273
2010-04-08,21.758197784423828
2010-04-09,21.82115936279297
2010-04-12,21.93133544921875
2010-04-13,21.863130569458008
2010-04-14,21.76344108581543
2010-04-15,21.742456436157227
2010-04-16,21.606040954589844
2010-04-19,21.65850257873535
2010-04-20,21.731956481933594
2010-04-21,21.70047378540039
2010-04-22,21.695236206054688
2010-04-23,21.91559410095215
2010-04-26,21.962812423706055
2010-04-27,21.585058212280273
2010-04-28,21.731956481933594
2010-04-29,21.669008255004883
2010-04-30,21.93133544921875
2010-05-03,22.28287124633789
2010-05-04,21.868371963500977
2010-05-05,21.920846939086914
2010-05-06,21.09711265563965
2010-05-07,21.10235023498535
2010-05-10,21.989049911499023
2010-05-11,21.93133544921875
2010-05-12,21.95757293701172
2010-05-13,21.794923782348633
2010-05-14,21.506349563598633
2010-05-17,21.65325927734375
2010-05-18,21.359439849853516
2010-05-19,21.21253204345703
2010-05-20,20.588172912597656
2010-05-21,20.74033546447754
2010-05-24,20.59343147277832
2010-05-25,20.582931518554688
2010-05-26,20.470388412475586
2010-05-27,20.77828598022461
2010-05-28,20.682735443115234
2010-06-01,20.486316680908203
2010-06-02,21.086196899414062
2010-06-03,21.31446647644043
2010-06-04,20.70927619934082
2010-06-07,20.879146575927734
2010-06-08,21.31977653503418
2010-06-09,21.192367553710938
2010-06-10,21.66485023498535
2010-06-11,21.553354263305664
2010-06-14,21.489654541015625
2010-06-15,21.914348602294922
2010-06-16,22.12139320373535
2010-06-17,22.216949462890625
2010-06-18,22.296571731567383
2010-06-21,22.201025009155273
2010-06-22,21.69138526916504
2010-06-23,21.35693359375
2010-06-24,21.31446647644043
2010-06-25,21.32508087158203
2010-06-28,21.537429809570312
2010-06-29,20.847299575805664
2010-06-30,20.565942764282227
2010-07-01,20.69334602355957
2010-07-02,20.528776168823242
2010-07-06,20.77828598022461
2010-07-07,21.330394744873047
2010-07-08,21.63298797607422
2010-07-09,21.712615966796875
2010-07-12,21.76039695739746
2010-07-13,21.81879234313965
2010-07-14,21.99929428100586
2010-07-15,21.909040451049805
2010-07-16,21.46310806274414
2010-07-19,21.978059768676758
2010-07-20,22.275346755981445
2010-07-21,21.903728485107422
2010-07-22,22.413366317749023
2010-07-23,22.514230728149414
2010-07-26,22.615093231201172
2010-07-27,22.97078514099121
2010-07-28,22.81682777404785
2010-07-29,22.13201141357422
2010-07-30,22.29127311706543
2010-08-02,22.933622360229492
2010-08-03,22.891151428222656
2010-08-04,23.09288787841797
2010-08-05,23.119434356689453
2010-08-06,23.18313217163086
2010-08-09,23.37424659729004
2010-08-10,23.453872680664062
