Date,PAHC
2014-04-11,13.557066917419434
2014-04-14,13.29389762878418
2014-04-15,12.950984954833984
2014-04-16,13.00680923461914
2014-04-17,12.77553939819336
2014-04-21,12.863264083862305
2014-04-22,13.413521766662598
2014-04-23,13.644789695739746
2014-04-24,13.668710708618164
2014-04-25,14.250868797302246
2014-04-28,14.32264232635498
2014-04-29,13.99567699432373
2014-04-30,14.083405494689941
2014-05-01,14.027576446533203
2014-05-02,14.179091453552246
2014-05-05,14.32264232635498
2014-05-06,14.210992813110352
2014-05-07,14.330617904663086
2014-05-08,14.22694206237793
2014-05-09,14.16314697265625
2014-05-12,14.139219284057617
2014-05-13,14.22694206237793
2014-05-14,14.282773971557617
2014-05-15,14.32264232635498
2014-05-16,14.274787902832031
2014-05-19,14.729351043701172
2014-05-20,14.864919662475586
2014-05-21,14.665555000305176
2014-05-22,14.840999603271484
2014-05-23,14.872902870178223
2014-05-27,15.088213920593262
2014-05-28,14.785176277160645
2014-05-29,15.199859619140625
2014-05-30,15.17593765258789
2014-06-02,15.319485664367676
2014-06-03,15.678339004516602
2014-06-04,16.22062873840332
2014-06-05,16.48379898071289
2014-06-06,16.38810157775879
2014-06-09,17.345069885253906
2014-06-10,17.536462783813477
2014-06-11,18.42963981628418
2014-06-12,17.719884872436523
2014-06-13,17.488616943359375
2014-06-16,16.667213439941406
2014-06-17,15.973411560058594
2014-06-18,16.491779327392578
2014-06-19,16.55556297302246
2014-06-20,16.34025764465332
2014-06-23,16.68316650390625
2014-06-24,16.778865814208984
2014-06-25,17.488616943359375
2014-06-26,17.353038787841797
2014-06-27,16.523672103881836
2014-06-30,17.50456428527832
2014-07-01,17.67203712463379
2014-07-02,17.871402740478516
2014-07-03,17.943180084228516
2014-07-07,17.48063850402832
2014-07-08,16.24456214904785
2014-07-09,16.108983993530273
2014-07-10,15.638470649719238
2014-07-11,16.108983993530273
2014-07-14,16.116960525512695
2014-07-15,15.590628623962402
2014-07-16,15.742152214050293
2014-07-17,15.646448135375977
2014-07-18,16.00531005859375
2014-07-21,16.021263122558594
2014-07-22,15.797975540161133
2014-07-23,16.12492561340332
2014-07-24,15.901647567749023
2014-07-25,15.758100509643555
2014-07-28,15.6145601272583
2014-07-29,15.598602294921875
2014-07-30,15.247718811035156
2014-07-31,15.120118141174316
2014-08-01,15.159992218017578
2014-08-04,14.840999603271484
2014-08-05,14.713408470153809
2014-08-06,14.601757049560547
2014-08-07,14.402389526367188
2014-08-08,14.84897518157959
2014-08-11,15.144033432006836
2014-08-12,14.649609565734863
2014-08-13,15.064288139343262
2014-08-14,15.056316375732422
2014-08-15,14.769224166870117
2014-08-18,15.207839965820312
2014-08-19,15.21580982208252
2014-08-20,15.056316375732422
2014-08-21,15.295562744140625
2014-08-22,15.17593765258789
2014-08-25,15.359359741210938
2014-08-26,15.471003532409668
2014-08-27,15.152019500732422
2014-08-28,15.207839965820312
2014-08-29,15.344121932983398
2014-09-02,15.071553230285645
2014-09-03,15.207841873168945
2014-09-04,15.23188591003418
2014-09-05,15.953402519226074
2014-09-08,15.937369346618652
2014-09-09,15.75297737121582
2014-09-10,15.91331672668457
2014-09-11,16.033567428588867
2014-09-12,15.993476867675781
