Date,LCII
2010-01-04,13.170001029968262
2010-01-05,12.92508316040039
2010-01-06,12.6618070602417
2010-01-07,12.851612091064453
2010-01-08,12.974067687988281
2010-01-11,13.004682540893555
2010-01-12,12.808755874633789
2010-01-13,12.931211471557617
2010-01-14,12.961823463439941
2010-01-15,12.514863967895508
2010-01-19,12.869982719421387
2010-01-20,12.527111053466797
2010-01-21,12.42302131652832
2010-01-22,12.17811107635498
2010-01-25,12.153618812561035
2010-01-26,11.945446968078613
2010-01-27,12.043413162231445
2010-01-28,11.755647659301758
2010-01-29,11.388280868530273
2010-02-01,11.669926643371582
2010-02-02,11.755647659301758
2010-02-03,12.006677627563477
2010-02-04,12.36791706085205
2010-02-05,12.527111053466797
2010-02-08,12.576090812683105
2010-02-09,13.353671073913574
2010-02-10,13.54348087310791
2010-02-11,13.47000789642334
2010-02-12,13.408782958984375
2010-02-16,12.857732772827148
2010-02-17,12.808755874633789
2010-02-18,13.494504928588867
2010-02-19,13.653690338134766
2010-02-22,14.388418197631836
2010-02-23,14.327187538146973
2010-02-24,14.29045581817627
2010-02-25,14.027173042297363
2010-02-26,14.186369895935059
2010-03-01,14.46801471710205
2010-03-02,14.602714538574219
2010-03-03,14.627205848693848
2010-03-04,15.000697135925293
2010-03-05,14.93946361541748
2010-03-08,15.343567848205566
2010-03-09,14.688431739807129
2010-03-10,14.633331298828125
2010-03-11,14.706807136535645
2010-03-12,14.768031120300293
2010-03-15,14.85986328125
2010-03-16,14.810884475708008
2010-03-17,14.676188468933105
2010-03-18,14.376179695129395
2010-03-19,13.825128555297852
2010-03-22,14.14350700378418
2010-03-23,14.419028282165527
2010-03-24,13.855741500854492
2010-03-25,13.66594123840332
2010-03-26,13.463887214660645
2010-03-29,13.47000789642334
2010-03-30,13.476131439208984
2010-03-31,13.482255935668945
2010-04-01,13.788389205932617
2010-04-05,14.039426803588867
2010-04-06,14.106771469116211
2010-04-07,14.504751205444336
2010-04-08,14.89047908782959
2010-04-09,15.398667335510254
2010-04-12,15.40479564666748
2010-04-13,15.619091033935547
2010-04-14,16.010940551757812
2010-04-15,15.882369995117188
2010-04-16,15.619091033935547
2010-04-19,15.64358139038086
2010-04-20,15.64358139038086
2010-04-21,15.943593978881836
2010-04-22,15.466023445129395
2010-04-23,16.26197624206543
2010-04-26,16.806896209716797
2010-04-27,16.035429000854492
2010-04-28,16.05380630493164
2010-04-29,16.537498474121094
2010-04-30,15.704813003540039
2010-05-03,14.62108325958252
2010-05-04,14.155760765075684
2010-05-05,13.812882423400879
2010-05-06,13.255709648132324
2010-05-07,12.60669994354248
2010-05-10,14.247599601745605
2010-05-11,14.388418197631836
2010-05-12,14.572097778320312
2010-05-13,14.112894058227539
2010-05-14,14.31494140625
2010-05-17,14.345561027526855
