Date,NLY
2010-01-04,10.088336944580078
2010-01-05,10.09412956237793
2010-01-06,10.157869338989258
2010-01-07,10.088336944580078
2010-01-08,10.157869338989258
2010-01-11,10.204228401184082
2010-01-12,10.105720520019531
2010-01-13,10.152079582214355
2010-01-14,10.0246000289917
2010-01-15,9.955060958862305
2010-01-19,10.047773361206055
2010-01-20,10.030391693115234
2010-01-21,9.908703804016113
2010-01-22,9.891324043273926
2010-01-25,9.972445487976074
2010-01-26,9.879732131958008
2010-01-27,10.041980743408203
2010-01-28,10.030391693115234
2010-01-29,10.070953369140625
2010-02-01,10.111515998840332
2010-02-02,10.244790077209473
2010-02-03,10.459189414978027
2010-02-04,10.238993644714355
2010-02-05,10.430216789245605
2010-02-08,10.360682487487793
2010-02-09,10.018804550170898
2010-02-10,9.926088333129883
2010-02-11,9.960855484008789
2010-02-12,9.937678337097168
2010-02-16,10.070953369140625
2010-02-17,10.140484809875488
2010-02-18,10.215812683105469
2010-02-19,10.291147232055664
2010-02-22,10.372268676757812
2010-02-23,10.372268676757812
2010-02-24,10.551902770996094
2010-02-25,10.627229690551758
2010-02-26,10.650411605834961
2010-03-01,10.62143611907959
2010-03-02,10.598261833190918
2010-03-03,10.499751091003418
2010-03-04,10.470778465270996
2010-03-05,10.511340141296387
2010-03-08,10.575078010559082
2010-03-09,10.667792320251465
2010-03-10,10.586669921875
2010-03-11,10.499751091003418
2010-03-12,10.49395751953125
2010-03-15,10.644615173339844
2010-03-16,10.7778902053833
2010-03-17,10.789481163024902
2010-03-18,10.719947814941406
2010-03-19,10.83583927154541
2010-03-22,10.7778902053833
2010-03-23,10.49395751953125
2010-03-24,10.505546569824219
2010-03-25,10.30853271484375
2010-03-26,10.250582695007324
2010-03-29,10.360682487487793
2010-03-30,10.282512664794922
2010-03-31,10.33061695098877
2010-04-01,10.426823616027832
2010-04-05,10.360679626464844
2010-04-06,10.420812606811523
2010-04-07,10.34865665435791
2010-04-08,10.342644691467285
2010-04-09,10.360679626464844
2010-04-12,10.360679626464844
2010-04-13,10.45087718963623
2010-04-14,10.48094654083252
2010-04-15,10.360679626464844
2010-04-16,10.204336166381836
2010-04-19,10.156234741210938
2010-04-20,10.28852367401123
