Date,TT
2010-01-04,17.5824031829834
2010-01-05,17.40778923034668
2010-01-06,17.281675338745117
2010-01-07,17.456298828125
2010-01-08,17.757009506225586
2010-01-11,18.19353675842285
2010-01-12,17.810359954833984
2010-01-13,17.790966033935547
2010-01-14,17.941314697265625
2010-01-15,17.97526741027832
2010-01-19,18.1838321685791
2010-01-20,18.062580108642578
2010-01-21,17.786109924316406
2010-01-22,17.09251594543457
2010-01-25,16.980960845947266
2010-01-26,16.85970687866211
2010-01-27,16.43287467956543
2010-01-28,16.146705627441406
2010-01-29,15.744126319885254
2010-02-01,16.020591735839844
2010-02-02,16.72873878479004
2010-02-03,16.75299072265625
2010-02-04,16.03514862060547
2010-02-05,15.962394714355469
2010-02-08,15.947844505310059
2010-02-09,16.277664184570312
2010-02-10,16.195201873779297
2010-02-11,16.481372833251953
2010-02-12,15.193389892578125
2010-02-16,15.494728088378906
2010-02-17,15.810656547546387
2010-02-18,16.15573501586914
2010-02-19,16.21405792236328
2010-02-22,16.170318603515625
2010-02-23,15.80093002319336
2010-02-24,15.747462272644043
2010-02-25,15.54819393157959
2010-02-26,15.509317398071289
2010-03-01,15.888419151306152
2010-03-02,15.956452369689941
2010-03-03,16.355009078979492
2010-03-04,16.12657356262207
2010-03-05,16.495954513549805
2010-03-08,16.539697647094727
2010-03-09,16.447351455688477
2010-03-10,16.47165870666504
2010-03-11,16.875062942504883
2010-03-12,16.918807983398438
2010-03-15,16.98199462890625
2010-03-16,17.35137367248535
2010-03-17,17.103504180908203
2010-03-18,17.171545028686523
2010-03-19,16.947978973388672
2010-03-22,17.30763816833496
2010-03-23,17.570085525512695
2010-03-24,16.96255111694336
2010-03-25,16.777856826782227
2010-03-26,16.836183547973633
2010-03-29,16.841039657592773
2010-03-30,16.95283317565918
2010-03-31,16.947978973388672
2010-04-01,17.278474807739258
2010-04-05,17.642990112304688
2010-04-06,17.711040496826172
2010-04-07,17.81796646118164
2010-04-08,17.890878677368164
2010-04-09,18.143604278564453
2010-04-12,18.201932907104492
2010-04-13,17.983219146728516
2010-04-14,18.153322219848633
2010-04-15,18.381763458251953
2010-04-16,18.06097984313965
2010-04-19,18.109580993652344
2010-04-20,18.493549346923828
2010-04-21,18.58589744567871
2010-04-22,18.955284118652344
2010-04-23,18.03182029724121
2010-04-26,18.39148712158203
2010-04-27,17.832544326782227
2010-04-28,17.76450538635254
2010-04-29,18.109580993652344
2010-04-30,17.973501205444336
2010-05-03,18.493549346923828
