Date,UNTY
2010-01-04,3.052903652191162
2010-01-05,3.037715435028076
2010-01-06,3.052903652191162
2010-01-07,3.052903652191162
2010-01-08,3.052903652191162
2010-01-11,3.037715435028076
2010-01-12,3.052903652191162
2010-01-13,2.99215030670166
2010-01-14,3.037715435028076
2010-01-15,3.037715435028076
2010-01-19,3.052903652191162
2010-01-20,3.113658905029297
2010-01-21,3.113658905029297
2010-01-22,3.0604989528656006
2010-01-25,3.037715435028076
2010-01-26,3.0604989528656006
2010-01-27,3.113658905029297
2010-01-28,3.0680935382843018
2010-01-29,3.037715435028076
2010-02-01,3.037715435028076
2010-02-02,3.0225276947021484
2010-02-03,3.113658905029297
2010-02-04,3.166818857192993
2010-02-05,3.227574110031128
2010-02-08,3.2123842239379883
2010-02-09,3.113658905029297
2010-02-10,3.113658905029297
2010-02-11,3.1364409923553467
2010-02-12,3.15922474861145
2010-02-16,3.144036054611206
2010-02-17,3.144036054611206
2010-02-18,3.113658905029297
2010-02-19,3.151630401611328
2010-02-22,3.1896018981933594
2010-02-23,3.1896018981933594
2010-02-24,3.1896018981933594
2010-02-25,3.265544891357422
2010-02-26,3.151630401611328
2010-03-01,3.151630401611328
2010-03-02,3.4174304008483887
2010-03-03,3.5389389991760254
2010-03-04,3.6072866916656494
2010-03-05,3.3870527744293213
2010-03-08,3.356675386428833
2010-03-09,3.455401659011841
2010-03-10,3.637665271759033
2010-03-11,3.6452577114105225
2010-03-12,3.6452577114105225
2010-03-15,3.6452577114105225
2010-03-16,3.455401659011841
2010-03-17,4.024975776672363
2010-03-18,4.093321323394775
2010-03-19,4.1768598556518555
2010-03-22,3.835115671157837
2010-03-23,3.797144651412964
2010-03-24,3.873088836669922
2010-03-25,3.728795289993286
2010-03-26,4.024975776672363
2010-03-29,4.024975776672363
2010-03-30,3.979407548904419
2010-03-31,4.017378330230713
2010-04-01,3.9490296840667725
2010-04-05,4.15407657623291
2010-04-06,3.835115671157837
2010-04-07,3.873088836669922
2010-04-08,4.214829921722412
2010-04-09,4.1768598556518555
2010-04-12,4.214829921722412
2010-04-13,4.214829921722412
2010-04-14,4.222424507141113
2010-04-15,4.1768598556518555
2010-04-16,4.252800464630127
2010-04-19,4.275584697723389
2010-04-20,4.275584697723389
2010-04-21,4.252800464630127
2010-04-22,4.100916862487793
2010-04-23,4.1161041259765625
2010-04-26,4.222424507141113
2010-04-27,4.222424507141113
2010-04-28,4.245208263397217
