Date,CHH
2010-01-04,20.00257682800293
2010-01-05,19.977733612060547
2010-01-06,20.101905822753906
2010-01-07,20.325397491455078
2010-01-08,20.13294792175293
2010-01-11,20.17019271850586
2010-01-12,19.990158081054688
2010-01-13,20.37505531311035
2010-01-14,21.169702529907227
2010-01-15,21.057952880859375
2010-01-19,21.182109832763672
2010-01-20,20.741344451904297
2010-01-21,20.331607818603516
2010-01-22,20.07086753845215
2010-01-25,19.952903747558594
2010-01-26,19.971532821655273
2010-01-27,19.95911979675293
2010-01-28,19.93428611755371
2010-01-29,19.7045841217041
2010-02-01,19.865997314453125
2010-02-02,20.05844497680664
2010-02-03,19.673547744750977
2010-02-04,19.307262420654297
2010-02-05,19.68596076965332
2010-02-08,19.52454948425293
2010-02-09,19.43142318725586
2010-02-10,19.53075408935547
2010-02-11,19.673547744750977
2010-02-12,20.23848533630371
2010-02-16,20.09569549560547
2010-02-17,20.499225616455078
2010-02-18,20.555097579956055
2010-02-19,20.6171817779541
2010-02-22,20.592342376708984
2010-02-23,20.41231918334961
2010-02-24,20.579933166503906
2010-02-25,20.4805965423584
2010-02-26,20.511640548706055
2010-03-01,21.0082950592041
2010-03-02,21.00208282470703
2010-03-03,21.07036590576172
2010-03-04,21.16349220275879
2010-03-05,21.54840087890625
2010-03-08,21.64151382446289
2010-03-09,21.52977752685547
2010-03-10,21.647724151611328
2010-03-11,21.610471725463867
2010-03-12,21.684978485107422
2010-03-15,21.573238372802734
2010-03-16,21.355941772460938
2010-03-17,21.039335250854492
2010-03-18,20.964828491210938
2010-03-19,21.281452178955078
2010-03-22,21.380775451660156
2010-03-23,21.653932571411133
2010-03-24,21.43044090270996
2010-03-25,21.368362426757812
2010-03-26,21.604272842407227
2010-03-29,21.69118309020996
2010-03-30,22.014007568359375
2010-03-31,21.723814010620117
2010-04-01,21.598995208740234
2010-04-05,21.705089569091797
2010-04-06,22.404050827026367
2010-04-07,22.3041934967041
2010-04-08,22.67864227294922
2010-04-09,22.410289764404297
2010-04-12,22.466461181640625
2010-04-13,23.13420867919922
2010-04-14,23.146671295166016
2010-04-15,23.427528381347656
2010-04-16,23.36511993408203
2010-04-19,23.40256118774414
2010-04-20,23.4150390625
2010-04-21,23.79572105407715
2010-04-22,24.263769149780273
2010-04-23,24.525880813598633
2010-04-26,24.257539749145508
2010-04-27,23.24654769897461
2010-04-28,23.03435707092285
2010-04-29,23.377592086791992
2010-04-30,22.65991973876953
2010-05-03,22.74105453491211
2010-05-04,22.41653060913086
2010-05-05,22.129459381103516
2010-05-06,22.029605865478516
