Date,APTV
2011-11-17,16.338985443115234
2011-11-18,16.08620262145996
2011-11-21,15.549999237060547
2011-11-22,15.243590354919434
2011-11-23,15.036771774291992
2011-11-25,15.052088737487793
2011-11-28,15.350835800170898
2011-11-29,15.312536239624023
2011-11-30,15.963638305664062
2011-12-01,15.940661430358887
2011-12-02,16.369626998901367
2011-12-05,16.67603302001953
2011-12-06,16.951791763305664
2011-12-07,16.852216720581055
2011-12-08,16.614749908447266
2011-12-09,16.66071319580078
2011-12-12,16.476865768432617
2011-12-13,16.323667526245117
2011-12-14,15.810441970825195
2011-12-15,16.055559158325195
2011-12-16,16.06322479248047
2011-12-19,16.078540802001953
2011-12-20,16.46920394897461
2011-12-21,16.392606735229492
2011-12-22,16.691347122192383
2011-12-23,16.80624771118164
2011-12-27,16.584115982055664
2011-12-28,16.231740951538086
2011-12-29,16.40793228149414
2011-12-30,16.49985122680664
2012-01-03,17.036052703857422
2012-01-04,17.26585578918457
2012-01-05,16.959455490112305
2012-01-06,17.273517608642578
2012-01-09,17.396080017089844
2012-01-10,18.254009246826172
2012-01-11,18.345932006835938
2012-01-12,18.912778854370117
2012-01-13,18.997039794921875
2012-01-17,18.659997940063477
2012-01-18,18.767236709594727
2012-01-19,19.20386505126953
2012-01-20,19.226844787597656
2012-01-23,19.517927169799805
2012-01-24,19.770708084106445
2012-01-25,19.73240852355957
2012-01-26,19.877952575683594
2012-01-27,20.804821014404297
2012-01-30,20.74354362487793
2012-01-31,20.552040100097656
2012-02-01,21.90022087097168
2012-02-02,22.19129753112793
2012-02-03,23.554800033569336
2012-02-06,23.378616333007812
2012-02-07,23.04157066345215
2012-02-08,22.903688430786133
2012-02-09,22.82708740234375
2012-02-10,23.01092529296875
2012-02-13,22.987951278686523
2012-02-14,22.26024055480957
2012-02-15,22.505361557006836
2012-02-16,23.225414276123047
2012-02-17,23.96844482421875
2012-02-21,23.69268035888672
2012-02-22,23.761627197265625
2012-02-23,23.746301651000977
