Date,KODK
2013-09-23,19.399999618530273
2013-09-24,22.899999618530273
2013-09-25,23.049999237060547
2013-09-26,24.5
2013-09-27,25.5
2013-09-30,25.0
2013-10-01,25.649999618530273
2013-10-02,25.649999618530273
2013-10-03,28.0
2013-10-04,28.049999237060547
2013-10-07,29.0
2013-10-08,28.0
2013-10-09,27.0
2013-10-10,27.0
2013-10-11,27.0
2013-10-14,25.5
2013-10-15,26.0
2013-10-16,25.75
2013-10-17,25.549999237060547
2013-10-18,25.049999237060547
2013-10-21,24.5
2013-10-22,23.5
2013-10-23,23.25
2013-10-24,23.110000610351562
2013-10-25,22.799999237060547
2013-10-28,22.75
2013-10-29,22.6200008392334
2013-10-30,24.799999237060547
2013-10-31,26.0
2013-11-01,26.25
2013-11-04,26.899999618530273
2013-11-05,26.899999618530273
2013-11-06,26.0
2013-11-07,25.209999084472656
2013-11-08,25.239999771118164
2013-11-11,25.399999618530273
2013-11-12,24.799999237060547
2013-11-13,24.739999771118164
2013-11-14,24.739999771118164
2013-11-15,24.450000762939453
2013-11-18,23.760000228881836
2013-11-19,23.700000762939453
2013-11-20,23.459999084472656
2013-11-21,23.229999542236328
2013-11-22,23.020000457763672
2013-11-25,23.200000762939453
2013-11-26,24.6200008392334
2013-11-27,25.350000381469727
2013-11-29,26.479999542236328
2013-12-02,26.959999084472656
2013-12-03,26.889999389648438
2013-12-04,27.65999984741211
2013-12-05,27.0
2013-12-06,26.510000228881836
2013-12-09,26.270000457763672
2013-12-10,27.43000030517578
2013-12-11,27.700000762939453
2013-12-12,28.190000534057617
2013-12-13,29.299999237060547
2013-12-16,32.25
2013-12-17,32.099998474121094
2013-12-18,32.97999954223633
2013-12-19,33.90999984741211
2013-12-20,32.86000061035156
2013-12-23,32.060001373291016
2013-12-24,32.349998474121094
2013-12-26,33.41999816894531
2013-12-27,33.68000030517578
2013-12-30,33.40999984741211
2013-12-31,34.709999084472656
2014-01-02,34.02000045776367
2014-01-03,32.900001525878906
2014-01-06,34.27000045776367
2014-01-07,36.29999923706055
