Date,AMR
2021-02-08,12.768180847167969
2021-02-09,13.385231018066406
2021-02-10,14.325044631958008
2021-02-11,14.287071228027344
2021-02-12,14.429468154907227
2021-02-16,14.382001876831055
2021-02-17,14.211127281188965
2021-02-18,13.024492263793945
2021-02-19,13.04348087310791
2021-02-22,14.030759811401367
2021-02-23,14.980063438415527
2021-02-24,15.416747093200684
2021-02-25,14.476933479309082
2021-02-26,14.239605903625488
2021-03-01,14.30605697631836
2021-03-02,14.847163200378418
2021-03-03,15.018037796020508
2021-03-04,14.239605903625488
2021-03-05,14.9895601272583
2021-03-08,15.226886749267578
2021-03-09,15.587621688842773
2021-03-10,14.676287651062012
2021-03-11,15.502182960510254
2021-03-12,14.723753929138184
2021-03-15,12.530851364135742
2021-03-16,10.8695650100708
2021-03-17,11.135372161865234
2021-03-18,12.796658515930176
2021-03-19,11.94228458404541
2021-03-22,12.359978675842285
2021-03-23,11.980255126953125
2021-03-24,11.657491683959961
2021-03-25,11.94228458404541
2021-03-26,12.464402198791504
2021-03-29,11.505600929260254
2021-03-30,11.543573379516602
2021-03-31,11.98974895477295
2021-04-01,12.160623550415039
2021-04-05,12.63527774810791
2021-04-06,12.825139045715332
2021-04-07,13.356749534606934
2021-04-08,13.670021057128906
2021-04-09,13.470667839050293
2021-04-12,13.18587589263916
2021-04-13,13.499146461486816
2021-04-14,13.850391387939453
2021-04-15,13.726980209350586
2021-04-16,13.005507469177246
2021-04-19,12.720715522766113
2021-04-20,12.084678649902344
2021-04-21,12.83463191986084
2021-04-22,12.730207443237305
2021-04-23,13.119422912597656
2021-04-26,13.451681137084961
2021-04-27,13.470667839050293
2021-04-28,13.413710594177246
2021-04-29,12.549840927124023
2021-04-30,11.477123260498047
2021-05-03,12.227075576782227
2021-05-04,12.625783920288086
2021-05-05,12.81564712524414
2021-05-06,12.644770622253418
2021-05-07,12.673251152038574
2021-05-10,14.400988578796387
2021-05-11,14.429468154907227
2021-05-12,13.565598487854004
2021-05-13,13.242834091186523
2021-05-14,13.204861640930176
2021-05-17,14.438961029052734
2021-05-18,14.097209930419922
2021-05-19,13.916841506958008
2021-05-20,14.154168128967285
2021-05-21,14.543383598327637
2021-05-24,15.29333782196045
2021-05-25,15.21739387512207
2021-05-26,15.35978889465332
2021-05-27,17.486238479614258
2021-05-28,18.85323715209961
2021-06-01,19.650659561157227
2021-06-02,19.242456436157227
2021-06-03,19.831022262573242
2021-06-04,20.429088592529297
2021-06-07,18.454532623291016
2021-06-08,19.27093505859375
2021-06-09,21.21701431274414
2021-06-10,22.19479751586914
2021-06-11,22.42263412475586
2021-06-14,22.41313934326172
2021-06-15,22.023923873901367
2021-06-16,21.59673500061035
2021-06-17,19.77406883239746
2021-06-18,19.992408752441406
2021-06-21,21.15056037902832
2021-06-22,21.084110260009766
2021-06-23,22.242265701293945
2021-06-24,23.068161010742188
2021-06-25,24.425670623779297
2021-06-28,22.156827926635742
2021-06-29,22.023923873901367
2021-06-30,24.33074188232422
2021-07-01,24.90032196044922
2021-07-02,23.865577697753906
2021-07-06,22.830833435058594
2021-07-07,23.561800003051758
2021-07-08,22.06189727783203
2021-07-09,22.754892349243164
2021-07-12,22.849822998046875
2021-07-13,22.489084243774414
2021-07-14,22.74539566040039
2021-07-15,23.314983367919922
2021-07-16,22.906780242919922
2021-07-19,21.587242126464844
2021-07-20,22.27074432373047
2021-07-21,22.773876190185547
2021-07-22,22.640975952148438
2021-07-23,22.650468826293945
2021-07-26,22.62198829650879
2021-07-27,22.840328216552734
2021-07-28,23.390926361083984
2021-07-29,26.666038513183594
2021-07-30,26.457191467285156
2021-08-02,26.438201904296875
2021-08-03,26.779953002929688
2021-08-04,26.979307174682617
2021-08-05,27.805208206176758
2021-08-06,28.839948654174805
2021-08-09,31.175243377685547
2021-08-10,32.921966552734375
2021-08-11,33.6434440612793
2021-08-12,33.78583908081055
2021-08-13,34.67818832397461
2021-08-16,34.421878814697266
2021-08-17,34.85855484008789
2021-08-18,32.63717269897461
2021-08-19,31.175243377685547
2021-08-20,32.37136459350586
2021-08-23,34.516807556152344
2021-08-24,35.760398864746094
2021-08-25,36.36795425415039
2021-08-26,35.9692497253418
2021-08-27,36.9944953918457
2021-08-30,37.022972106933594
2021-08-31,37.12739562988281
2021-09-01,37.52610778808594
2021-09-02,39.16841125488281
2021-09-03,42.73780822753906
2021-09-07,46.57301330566406
2021-09-08,45.338905334472656
2021-09-09,48.585540771484375
2021-09-10,50.797420501708984
2021-09-13,50.20885467529297
2021-09-14,49.57281494140625
2021-09-15,53.161197662353516
2021-09-16,49.89558410644531
2021-09-17,46.81033706665039
2021-09-20,43.630149841308594
2021-09-21,41.21891403198242
2021-09-22,46.47807312011719
2021-09-23,46.67742919921875
2021-09-24,45.31991958618164
2021-09-27,46.174293518066406
2021-09-28,45.9654426574707
2021-09-29,47.37991714477539
2021-09-30,47.2660026550293
2021-10-01,52.80045700073242
2021-10-04,56.825523376464844
2021-10-05,57.90773391723633
2021-10-06,57.03437042236328
2021-10-07,55.82875061035156
2021-10-08,57.53750228881836
2021-10-11,55.62939453125
2021-10-12,56.986907958984375
2021-10-13,57.68939208984375
2021-10-14,54.72755813598633
2021-10-15,58.71464157104492
2021-10-18,60.6512336730957
2021-10-19,59.18929672241211
2021-10-20,58.90450668334961
2021-10-21,59.3791618347168
2021-10-22,61.20182418823242
2021-10-25,61.695465087890625
2021-10-26,62.87260818481445
2021-10-27,58.98994445800781
2021-10-28,59.52155685424805
2021-10-29,58.657684326171875
2021-11-01,58.91400146484375
