Date,ROOT
2020-10-28,486.0
2020-10-29,464.3999938964844
2020-10-30,431.4599914550781
2020-11-02,426.4200134277344
2020-11-03,409.5
2020-11-04,414.5400085449219
2020-11-05,427.67999267578125
2020-11-06,409.32000732421875
2020-11-09,408.7799987792969
2020-11-10,412.0199890136719
2020-11-11,409.32000732421875
2020-11-12,402.29998779296875
2020-11-13,378.0
2020-11-16,357.29998779296875
2020-11-17,345.9599914550781
2020-11-18,309.05999755859375
2020-11-19,346.67999267578125
2020-11-20,342.0
2020-11-23,306.3599853515625
2020-11-24,301.1400146484375
2020-11-25,306.17999267578125
2020-11-27,310.1400146484375
2020-11-30,318.6000061035156
2020-12-01,306.0
2020-12-02,264.6000061035156
2020-12-03,257.3999938964844
2020-12-04,256.67999267578125
2020-12-07,279.3599853515625
2020-12-08,269.4599914550781
2020-12-09,253.25999450683594
2020-12-10,252.36000061035156
2020-12-11,253.8000030517578
2020-12-14,262.79998779296875
2020-12-15,254.52000427246094
2020-12-16,250.3800048828125
2020-12-17,254.52000427246094
2020-12-18,252.89999389648438
2020-12-21,295.3800048828125
2020-12-22,326.5199890136719
2020-12-23,330.6600036621094
2020-12-24,309.05999755859375
2020-12-28,314.82000732421875
2020-12-29,303.8399963378906
2020-12-30,297.8999938964844
2020-12-31,282.7799987792969
2021-01-04,288.8999938964844
2021-01-05,310.67999267578125
2021-01-06,301.1400146484375
2021-01-07,331.20001220703125
2021-01-08,347.94000244140625
2021-01-11,334.0799865722656
2021-01-12,345.7799987792969
2021-01-13,416.70001220703125
2021-01-14,378.0
2021-01-15,357.4800109863281
2021-01-19,342.17999267578125
2021-01-20,321.8399963378906
2021-01-21,320.0400085449219
2021-01-22,352.6199951171875
2021-01-25,376.55999755859375
2021-01-26,392.94000244140625
2021-01-27,394.9200134277344
2021-01-28,369.5400085449219
2021-01-29,362.7900085449219
2021-02-01,382.67999267578125
2021-02-02,385.3800048828125
2021-02-03,402.29998779296875
2021-02-04,394.3800048828125
2021-02-05,391.8599853515625
2021-02-08,373.32000732421875
2021-02-09,393.8399963378906
2021-02-10,384.4800109863281
2021-02-11,374.3999938964844
2021-02-12,366.1199951171875
2021-02-16,352.0799865722656
2021-02-17,352.0799865722656
2021-02-18,330.4800109863281
2021-02-19,320.5799865722656
2021-02-22,311.94000244140625
2021-02-23,299.5199890136719
2021-02-24,293.760009765625
2021-02-25,295.55999755859375
2021-02-26,242.82000732421875
2021-03-01,248.5800018310547
2021-03-02,243.89999389648438
2021-03-03,252.36000061035156
2021-03-04,241.9199981689453
2021-03-05,233.10000610351562
2021-03-08,222.3000030517578
2021-03-09,219.05999755859375
2021-03-10,207.0
2021-03-11,211.32000732421875
2021-03-12,197.82000732421875
2021-03-15,205.3800048828125
2021-03-16,201.9600067138672
2021-03-17,203.22000122070312
2021-03-18,201.4199981689453
2021-03-19,216.0
2021-03-22,213.83999633789062
2021-03-23,223.1999969482422
2021-03-24,220.86000061035156
2021-03-25,231.66000366210938
2021-03-26,258.1199951171875
2021-03-29,234.89999389648438
2021-03-30,234.72000122070312
2021-03-31,229.13999938964844
2021-04-01,219.4199981689453
2021-04-05,215.27999877929688
2021-04-06,221.39999389648438
2021-04-07,217.44000244140625
2021-04-08,222.3000030517578
2021-04-09,213.47999572753906
2021-04-12,203.5800018310547
2021-04-13,203.22000122070312
2021-04-14,199.8000030517578
2021-04-15,200.16000366210938
2021-04-16,199.97999572753906
2021-04-19,183.60000610351562
2021-04-20,178.1999969482422
2021-04-21,183.60000610351562
2021-04-22,184.67999267578125
2021-04-23,191.8800048828125
2021-04-26,197.63999938964844
2021-04-27,201.9600067138672
2021-04-28,195.3000030517578
2021-04-29,195.3000030517578
2021-04-30,193.86000061035156
2021-05-03,191.8800048828125
2021-05-04,189.0
2021-05-05,183.60000610351562
2021-05-06,183.9600067138672
2021-05-07,187.02000427246094
2021-05-10,170.10000610351562
2021-05-11,170.00999450683594
2021-05-12,163.0800018310547
2021-05-13,161.82000732421875
2021-05-14,168.1199951171875
2021-05-17,164.16000366210938
2021-05-18,170.91000366210938
2021-05-19,164.33999633789062
2021-05-20,166.67999267578125
2021-05-21,164.52000427246094
2021-05-24,160.74000549316406
2021-05-25,150.83999633789062
2021-05-26,156.4199981689453
2021-05-27,160.3800048828125
2021-05-28,164.16000366210938
2021-06-01,166.5
2021-06-02,177.1199951171875
2021-06-03,172.44000244140625
2021-06-04,171.0
2021-06-07,176.39999389648438
2021-06-08,203.5800018310547
2021-06-09,242.4600067138672
2021-06-10,216.36000061035156
2021-06-11,215.82000732421875
2021-06-14,216.17999267578125
2021-06-15,194.39999389648438
2021-06-16,194.0399932861328
2021-06-17,197.63999938964844
2021-06-18,192.77999877929688
2021-06-21,190.25999450683594
2021-06-22,193.32000732421875
2021-06-23,194.22000122070312
2021-06-24,197.27999877929688
2021-06-25,193.5
2021-06-28,199.0800018310547
2021-06-29,194.39999389648438
2021-06-30,194.75999450683594
2021-07-01,178.9199981689453
2021-07-02,172.0800018310547
2021-07-06,170.82000732421875
2021-07-07,163.25999450683594
2021-07-08,163.44000244140625
2021-07-09,164.6999969482422
