Date,INSW
2016-11-16,6.278841495513916
2016-11-17,9.712543487548828
2016-11-18,8.847461700439453
2016-11-21,8.917226791381836
2016-11-22,9.805140495300293
2016-11-23,10.147624969482422
2016-11-25,10.147624969482422
2016-11-28,10.065174102783203
2016-11-29,10.065174102783203
2016-11-30,9.513396263122559
2016-12-01,8.213232040405273
2016-12-02,7.3443450927734375
2016-12-05,6.7481689453125
2016-12-06,7.610715866088867
2016-12-07,7.940515518188477
2016-12-08,8.58742618560791
2016-12-09,9.107491493225098
2016-12-12,9.437291145324707
2016-12-13,9.031384468078613
2016-12-14,8.765008926391602
2016-12-15,8.70158863067627
2016-12-16,8.904540061950684
2016-12-19,8.847461700439453
2016-12-20,8.682559967041016
2016-12-21,8.435213088989258
2016-12-22,8.251290321350098
2016-12-23,8.879169464111328
2016-12-27,8.815746307373047
2016-12-28,8.834775924682617
2016-12-29,8.784037590026855
2016-12-30,8.904540061950684
2017-01-03,9.126519203186035
2017-01-04,9.386551856994629
2017-01-05,9.532423973083496
2017-01-06,9.722691535949707
2017-01-09,10.07785701751709
2017-01-10,10.046148300170898
2017-01-11,9.989068031311035
2017-01-12,10.065174102783203
2017-01-13,10.128597259521484
2017-01-17,10.502792358398438
2017-01-18,10.807219505310059
2017-01-19,10.82624626159668
2017-01-20,10.889669418334961
2017-01-23,10.8389310836792
2017-01-24,11.378024101257324
2017-01-25,11.485845565795898
2017-01-26,11.403390884399414
2017-01-27,11.479497909545898
2017-01-30,11.276549339294434
2017-01-31,11.022856712341309
2017-02-01,11.073594093322754
2017-02-02,10.8389310836792
2017-02-03,11.035540580749512
2017-02-06,11.035540580749512
2017-02-07,10.959433555603027
2017-02-08,11.149701118469238
2017-02-09,11.289233207702637
2017-02-10,11.282889366149902
2017-02-13,11.397048950195312
2017-02-14,11.549263000488281
2017-02-15,11.574633598327637
2017-02-16,11.612687110900879
2017-02-17,11.739532470703125
2017-02-21,11.841009140014648
2017-02-22,11.904433250427246
2017-02-23,11.967855453491211
2017-02-24,12.107383728027344
2017-02-27,12.08835506439209
2017-02-28,11.891746520996094
2017-03-01,11.86003589630127
2017-03-02,11.92345905303955
2017-03-03,11.86003589630127
2017-03-06,11.898089408874512
2017-03-07,11.7014799118042
2017-03-08,11.593663215637207
2017-03-09,11.60634708404541
2017-03-10,11.72050666809082
2017-03-13,11.898089408874512
2017-03-14,11.777584075927734
2017-03-15,11.967855453491211
2017-03-16,12.03127384185791
2017-03-17,11.986882209777832
2017-03-20,12.08835506439209
2017-03-21,12.487919807434082
2017-03-22,12.589398384094238
2017-03-23,12.583052635192871
2017-03-24,12.589398384094238
2017-03-27,12.583052635192871
2017-03-28,12.944563865661621
2017-03-29,12.1327543258667
2017-03-30,12.183489799499512
2017-03-31,12.126413345336914
2017-04-03,12.158123016357422
2017-04-04,11.936141014099121
2017-04-05,11.872718811035156
2017-04-06,12.037619590759277
2017-04-07,11.961514472961426
2017-04-10,12.158123016357422
2017-04-11,12.17714786529541
2017-04-12,11.92345905303955
2017-04-13,11.815637588500977
2017-04-17,11.97419548034668
2017-04-18,12.05030345916748
2017-04-19,12.018595695495605
2017-04-20,12.043959617614746
2017-04-21,12.139098167419434
2017-04-24,12.170807838439941
2017-04-25,12.310332298278809
2017-04-26,12.411811828613281
2017-04-27,12.392786026000977
2017-04-28,12.259598731994629
2017-05-01,12.354732513427734
2017-05-02,12.525973320007324
2017-05-03,12.44986629486084
2017-05-04,12.570367813110352
2017-05-05,12.652820587158203
2017-05-08,12.551342964172363
2017-05-09,12.602082252502441
2017-05-10,13.38852310180664
2017-05-11,13.318757057189941
2017-05-12,12.957244873046875
2017-05-15,12.659159660339355
2017-05-16,12.671845436096191
2017-05-17,12.931876182556152
2017-05-18,13.090435981750488
2017-05-19,13.268019676208496
2017-05-22,13.103119850158691
2017-05-23,12.887482643127441
2017-05-24,12.747952461242676
2017-05-25,12.798693656921387
2017-05-26,13.03969669342041
2017-05-30,12.665505409240723
2017-05-31,12.545001029968262
2017-06-01,12.557682991027832
2017-06-02,12.589398384094238
2017-06-05,12.595736503601074
2017-06-06,12.602082252502441
2017-06-07,12.684530258178711
2017-06-08,12.703558921813965
2017-06-09,12.576712608337402
2017-06-12,12.652820587158203
2017-06-13,13.03969669342041
2017-06-14,12.766979217529297
2017-06-15,12.430837631225586
2017-06-16,12.614765167236328
2017-06-19,12.969929695129395
2017-06-20,13.052382469177246
2017-06-21,12.950901985168457
2017-06-22,12.969929695129395
2017-06-23,13.248991966247559
2017-06-26,13.420233726501465
2017-06-27,13.470970153808594
2017-06-28,13.496337890625
2017-06-29,13.711976051330566
2017-06-30,13.743685722351074
2017-07-03,13.883216857910156
2017-07-05,14.016403198242188
2017-07-06,13.813454627990723
2017-07-07,13.699292182922363
2017-07-10,13.642213821411133
2017-07-11,13.940299034118652
2017-07-12,14.174962043762207
2017-07-13,14.162278175354004
2017-07-14,14.016403198242188
2017-07-17,14.073485374450684
2017-07-18,14.079830169677734
2017-07-19,14.276436805725098
2017-07-20,14.365233421325684
2017-07-21,14.415968894958496
2017-07-24,14.352547645568848
2017-07-25,14.599897384643555
2017-07-26,14.523785591125488
2017-07-27,14.56183910369873
2017-07-28,14.263755798339844
2017-07-31,14.466706275939941
2017-08-01,14.473047256469727
2017-08-02,14.257411003112793
2017-08-03,14.219358444213867
2017-08-04,14.238383293151855
2017-08-07,14.08617115020752
2017-08-08,13.965662956237793
2017-08-09,13.62952709197998
2017-08-10,13.534391403198242
2017-08-11,13.31241512298584
2017-08-14,13.109458923339844
