Date,ENSG
2010-01-04,3.630059242248535
2010-01-05,3.630059242248535
2010-01-06,3.8471615314483643
2010-01-07,3.8308207988739014
2010-01-08,3.805140972137451
2010-01-11,3.742110252380371
2010-01-12,3.732774257659912
2010-01-13,3.898519515991211
2010-01-14,3.8541653156280518
2010-01-15,4.059596061706543
2010-01-19,4.2416815757751465
2010-01-20,4.1926589012146
2010-01-21,4.06893253326416
2010-01-22,4.050257682800293
2010-01-25,4.038585662841797
2010-01-26,3.9872283935546875
2010-01-27,4.0222487449646
2010-01-28,4.012909412384033
2010-01-29,3.989563226699829
2010-02-01,4.010573387145996
2010-02-02,3.998900890350342
2010-02-03,3.980224370956421
2010-02-04,3.891517400741577
2010-02-05,4.019911766052246
2010-02-08,3.8821771144866943
2010-02-09,3.8611698150634766
2010-02-10,3.828486204147339
2010-02-11,3.9965660572052
2010-02-12,4.078273296356201
2010-02-16,4.071267127990723
2010-02-17,4.050257682800293
2010-02-18,4.07360315322876
2010-02-19,4.127294540405273
2010-02-22,3.9312031269073486
2010-02-23,3.9638843536376953
2010-02-24,3.9522132873535156
2010-02-25,3.949878692626953
2010-02-26,3.8891818523406982
2010-03-01,4.101615905761719
2010-03-02,4.09694766998291
2010-03-03,4.117959499359131
2010-03-04,4.17631721496582
2010-03-05,4.344396114349365
2010-03-08,4.166982173919678
2010-03-09,4.17631721496582
2010-03-10,4.103950500488281
2010-03-11,4.078273296356201
2010-03-12,4.150639533996582
2010-03-15,4.075936317443848
2010-03-16,4.120291709899902
2010-03-17,4.04325532913208
2010-03-18,4.138967514038086
2010-03-19,4.078273296356201
2010-03-22,4.141302108764648
2010-03-23,4.159978866577148
2010-03-24,4.201995849609375
2010-03-25,4.101615905761719
2010-03-26,4.103950500488281
2010-03-29,4.0711774826049805
2010-03-30,4.094587326049805
2010-03-31,4.043083190917969
2010-04-01,4.13906717300415
2010-04-05,4.211643695831299
2010-04-06,4.167162895202637
2010-04-07,4.120338439941406
2010-04-08,4.089905261993408
2010-04-09,4.103950500488281
2010-04-12,4.089905261993408
2010-04-13,4.080540180206299
2010-04-14,4.080540180206299
2010-04-15,4.047767639160156
2010-04-16,4.066494464874268
2010-04-19,4.0524468421936035
2010-04-20,4.157796859741211
2010-04-21,4.176526069641113
2010-04-22,4.120338439941406
2010-04-23,4.169500350952148
2010-04-26,4.141410827636719
2010-04-27,4.10161018371582
2010-04-28,4.122681617736816
2010-04-29,4.185889720916748
2010-04-30,4.064152240753174
2010-05-03,4.146091461181641
2010-05-04,4.117997646331787
2010-05-05,4.120338439941406
2010-05-06,3.979872941970825
2010-05-07,4.075860023498535
2010-05-10,4.2584638595581055
2010-05-11,4.27017068862915
2010-05-12,4.32635498046875
2010-05-13,4.272510051727295
2010-05-14,4.235052585601807
2010-05-17,4.216322898864746
2010-05-18,4.2139811515808105
2010-05-19,4.2139811515808105
2010-05-20,4.176526069641113
2010-05-21,4.183548927307129
2010-05-24,4.169500350952148
2010-05-25,4.221007347106934
2010-05-26,4.190571308135986
2010-05-27,4.3240132331848145
2010-05-28,4.267827987670898
2010-06-01,4.089905261993408
2010-06-02,4.199936866760254
2010-06-03,4.277193069458008
2010-06-04,4.174184322357178
2010-06-07,4.108633995056152
2010-06-08,4.075860023498535
2010-06-09,4.0524468421936035
2010-06-10,4.120338439941406
2010-06-11,4.2139811515808105
2010-06-14,4.284214496612549
2010-06-15,4.331036567687988
2010-06-16,4.230371952056885
2010-06-17,4.244416236877441
2010-06-18,4.199936866760254
2010-06-21,4.164820671081543
2010-06-22,4.075860023498535
2010-06-23,4.146091461181641
2010-06-24,4.043083190917969
2010-06-25,4.153114318847656
2010-06-28,4.077989101409912
2010-06-29,4.007554531097412
2010-06-30,3.878432035446167
2010-07-01,3.8643453121185303
2010-07-02,3.812694787979126
2010-07-06,3.6929619312286377
2010-07-07,3.638964891433716
2010-07-08,3.8173913955688477
2010-07-09,3.8267810344696045
2010-07-12,3.7657411098480225
2010-07-13,3.9418187141418457
2010-07-14,3.9465155601501465
2010-07-15,4.1930251121521
2010-07-16,4.080334663391113
2010-07-19,4.1085052490234375
2010-07-20,4.101466655731201
2010-07-21,4.068597793579102
2010-07-22,4.0826849937438965
2010-07-23,4.195373058319092
2010-07-26,4.129638195037842
2010-07-27,4.204765319824219
2010-07-28,4.155463695526123
2010-07-29,4.218850612640381
2010-07-30,4.225892543792725
2010-08-02,4.235283851623535
2010-08-03,4.183635234832764
2010-08-04,4.329194068908691
2010-08-05,4.277543544769287
2010-08-06,4.28223991394043
2010-08-09,4.31041145324707
2010-08-10,4.225892543792725
2010-08-11,4.155463695526123
2010-08-12,4.143725395202637
2010-08-13,4.127289295196533
2010-08-16,4.195373058319092
2010-08-17,4.228241920471191
2010-08-18,4.239980220794678
2010-08-19,4.162505626678467
2010-08-20,4.2634596824646
2010-08-23,4.101466655731201
2010-08-24,4.096769332885742
2010-08-25,4.115550518035889
2010-08-26,4.04277229309082
2010-08-27,4.089725971221924
2010-08-30,3.915997266769409
2010-08-31,3.9066033363342285
2010-09-01,4.124941825866699
2010-09-02,4.225892543792725
2010-09-03,4.195373058319092
2010-09-07,4.05216121673584
2010-09-08,4.1038126945495605
2010-09-09,4.139029502868652
2010-09-10,4.120246887207031
2010-09-13,4.035730361938477
2010-09-14,4.089725971221924
2010-09-15,4.183635234832764
2010-09-16,4.155463695526123
2010-09-17,4.178941249847412
2010-09-20,4.1061601638793945
2010-09-21,4.120246887207031
2010-09-22,4.089725971221924
2010-09-23,3.986426830291748
2010-09-24,4.080334663391113
