Date,OTTR
2010-01-04,14.195944786071777
2010-01-05,13.785527229309082
2010-01-06,13.48193073272705
2010-01-07,13.560638427734375
2010-01-08,13.555013656616211
2010-01-11,13.526905059814453
2010-01-12,13.465066909790039
2010-01-13,13.48193073272705
2010-01-14,13.470682144165039
2010-01-15,13.279534339904785
2010-01-19,13.54377269744873
2010-01-20,13.37510871887207
2010-01-21,12.987178802490234
2010-01-22,12.818510055541992
2010-01-25,12.807273864746094
2010-01-26,12.627360343933105
2010-01-27,12.773539543151855
2010-01-28,12.396855354309082
2010-01-29,12.143855094909668
2010-02-01,12.082011222839355
2010-02-02,12.031411170959473
2010-02-03,12.03703498840332
2010-02-04,11.67159652709961
2010-02-05,11.632241249084473
2010-02-08,11.559151649475098
2010-02-09,11.429845809936523
2010-02-10,11.445817947387695
2010-02-11,11.417291641235352
2010-02-12,11.462936401367188
2010-02-16,11.622702598571777
2010-02-17,11.514289855957031
2010-02-18,11.72540283203125
2010-02-19,11.816696166992188
2010-02-22,11.72540283203125
2010-02-23,11.622702598571777
2010-02-24,11.594169616699219
2010-02-25,11.531400680541992
2010-02-26,11.405876159667969
2010-03-01,11.616992950439453
2010-03-02,11.66834545135498
2010-03-03,11.59987735748291
2010-03-04,11.651227951049805
2010-03-05,11.845223426818848
2010-03-08,12.033514022827148
2010-03-09,12.181868553161621
2010-03-10,12.501389503479004
2010-03-11,12.649739265441895
2010-03-12,12.649739265441895
2010-03-15,12.609797477722168
2010-03-16,12.661149024963379
2010-03-17,12.758151054382324
2010-03-18,12.672560691833496
2010-03-19,12.50709342956543
2010-03-22,12.62121295928955
2010-03-23,12.769569396972656
2010-03-24,12.701089859008789
2010-03-25,12.598388671875
2010-03-26,12.62121295928955
2010-03-29,12.638330459594727
2010-03-30,12.58697509765625
2010-03-31,12.529916763305664
2010-04-01,12.655450820922852
2010-04-05,12.695385932922363
2010-04-06,12.632623672485352
2010-04-07,12.604094505310059
2010-04-08,12.484273910522461
2010-04-09,12.47856616973877
2010-04-12,12.398686408996582
2010-04-13,12.410096168518066
2010-04-14,12.718210220336914
2010-04-15,12.860859870910645
2010-04-16,12.74674129486084
