Date,RVMD
2020-02-13,28.899999618530273
2020-02-14,28.309999465942383
2020-02-18,29.049999237060547
2020-02-19,30.3799991607666
2020-02-20,31.0
2020-02-21,30.420000076293945
2020-02-24,30.700000762939453
2020-02-25,32.06999969482422
2020-02-26,33.16999816894531
2020-02-27,32.15999984741211
2020-02-28,31.270000457763672
2020-03-02,32.84000015258789
2020-03-03,33.130001068115234
2020-03-04,34.08000183105469
2020-03-05,32.97999954223633
2020-03-06,31.959999084472656
2020-03-09,31.829999923706055
2020-03-10,29.010000228881836
2020-03-11,29.670000076293945
2020-03-12,24.540000915527344
2020-03-13,24.780000686645508
2020-03-16,20.0
2020-03-17,20.34000015258789
2020-03-18,20.15999984741211
2020-03-19,22.6299991607666
2020-03-20,23.239999771118164
2020-03-23,22.68000030517578
2020-03-24,24.350000381469727
2020-03-25,25.959999084472656
2020-03-26,25.219999313354492
2020-03-27,22.479999542236328
2020-03-30,22.329999923706055
2020-03-31,21.90999984741211
2020-04-01,19.649999618530273
2020-04-02,22.219999313354492
2020-04-03,23.43000030517578
2020-04-06,23.690000534057617
2020-04-07,23.75
2020-04-08,23.360000610351562
2020-04-09,23.649999618530273
2020-04-13,23.729999542236328
2020-04-14,23.739999771118164
2020-04-15,20.850000381469727
2020-04-16,22.229999542236328
2020-04-17,23.0
2020-04-20,25.209999084472656
2020-04-21,25.690000534057617
2020-04-22,26.34000015258789
2020-04-23,27.799999237060547
2020-04-24,26.709999084472656
2020-04-27,29.440000534057617
2020-04-28,30.950000762939453
2020-04-29,33.630001068115234
2020-04-30,31.270000457763672
2020-05-01,29.489999771118164
2020-05-04,29.299999237060547
2020-05-05,34.13999938964844
2020-05-06,36.290000915527344
2020-05-07,37.95000076293945
2020-05-08,37.2400016784668
2020-05-11,37.900001525878906
2020-05-12,36.130001068115234
2020-05-13,34.38999938964844
2020-05-14,35.939998626708984
2020-05-15,33.939998626708984
2020-05-18,37.11000061035156
2020-05-19,34.66999816894531
2020-05-20,35.93000030517578
2020-05-21,35.86000061035156
2020-05-22,33.27000045776367
2020-05-26,33.630001068115234
2020-05-27,31.43000030517578
2020-05-28,30.239999771118164
2020-05-29,30.719999313354492
2020-06-01,33.58000183105469
2020-06-02,33.77000045776367
2020-06-03,33.599998474121094
2020-06-04,33.029998779296875
2020-06-05,32.849998474121094
2020-06-08,35.5
2020-06-09,35.08000183105469
2020-06-10,33.849998474121094
2020-06-11,32.790000915527344
2020-06-12,36.08000183105469
2020-06-15,38.86000061035156
2020-06-16,38.029998779296875
2020-06-17,36.56999969482422
2020-06-18,38.0
2020-06-19,37.650001525878906
2020-06-22,39.34000015258789
2020-06-23,35.040000915527344
2020-06-24,33.560001373291016
2020-06-25,34.09000015258789
2020-06-26,31.440000534057617
2020-06-29,30.549999237060547
2020-06-30,31.56999969482422
2020-07-01,32.54999923706055
2020-07-02,31.010000228881836
2020-07-06,29.459999084472656
2020-07-07,26.079999923706055
2020-07-08,27.0
2020-07-09,27.65999984741211
2020-07-10,30.489999771118164
2020-07-13,28.0
2020-07-14,25.399999618530273
2020-07-15,26.010000228881836
2020-07-16,25.3700008392334
2020-07-17,25.40999984741211
2020-07-20,24.600000381469727
2020-07-21,24.40999984741211
2020-07-22,25.209999084472656
2020-07-23,26.0
2020-07-24,24.649999618530273
2020-07-27,25.610000610351562
2020-07-28,25.0
2020-07-29,23.450000762939453
2020-07-30,22.610000610351562
2020-07-31,24.1200008392334
2020-08-03,24.290000915527344
2020-08-04,23.520000457763672
2020-08-05,24.559999465942383
2020-08-06,25.639999389648438
2020-08-07,26.219999313354492
2020-08-10,28.5
2020-08-11,28.030000686645508
2020-08-12,26.110000610351562
2020-08-13,27.239999771118164
2020-08-14,25.229999542236328
2020-08-17,25.790000915527344
2020-08-18,25.8700008392334
2020-08-19,26.280000686645508
2020-08-20,25.649999618530273
2020-08-21,26.219999313354492
2020-08-24,26.940000534057617
2020-08-25,28.200000762939453
2020-08-26,28.219999313354492
2020-08-27,28.420000076293945
2020-08-28,28.690000534057617
2020-08-31,28.34000015258789
2020-09-01,28.25
2020-09-02,28.65999984741211
2020-09-03,28.079999923706055
2020-09-04,26.8799991607666
2020-09-08,26.8700008392334
2020-09-09,28.399999618530273
2020-09-10,27.93000030517578
2020-09-11,27.850000381469727
2020-09-14,28.100000381469727
2020-09-15,27.709999084472656
2020-09-16,28.799999237060547
2020-09-17,30.959999084472656
2020-09-18,30.940000534057617
2020-09-21,33.06999969482422
2020-09-22,33.22999954223633
2020-09-23,31.989999771118164
2020-09-24,31.40999984741211
2020-09-25,32.869998931884766
2020-09-28,33.869998931884766
2020-09-29,33.970001220703125
2020-09-30,34.79999923706055
2020-10-01,35.04999923706055
2020-10-02,35.54999923706055
2020-10-05,38.970001220703125
2020-10-06,39.880001068115234
2020-10-07,39.650001525878906
2020-10-08,40.189998626708984
2020-10-09,39.86000061035156
2020-10-12,41.56999969482422
2020-10-13,44.540000915527344
2020-10-14,43.65999984741211
2020-10-15,44.70000076293945
2020-10-16,45.4900016784668
2020-10-19,44.70000076293945
2020-10-20,42.70000076293945
2020-10-21,38.54999923706055
2020-10-22,39.45000076293945
2020-10-23,40.369998931884766
2020-10-26,33.66999816894531
2020-10-27,32.91999816894531
2020-10-28,31.68000030517578
2020-10-29,31.530000686645508
2020-10-30,30.190000534057617
2020-11-02,30.780000686645508
2020-11-03,31.200000762939453
2020-11-04,31.93000030517578
2020-11-05,33.59000015258789
2020-11-06,33.5099983215332
2020-11-09,34.47999954223633
2020-11-10,35.040000915527344
