Date,NNE
2024-05-08,5.190000057220459
2024-05-09,5.050000190734863
2024-05-10,4.510000228881836
2024-05-13,4.130000114440918
2024-05-14,3.259999990463257
2024-05-15,4.119999885559082
2024-05-16,4.079999923706055
2024-05-17,3.9200000762939453
2024-05-20,3.8299999237060547
2024-05-21,3.859999895095825
2024-05-22,3.930000066757202
2024-05-23,3.9800000190734863
2024-05-24,4.400000095367432
2024-05-28,5.489999771118164
2024-05-29,6.909999847412109
2024-05-30,8.75
2024-05-31,7.46999979019165
2024-06-03,6.400000095367432
2024-06-04,6.699999809265137
2024-06-05,7.769999980926514
2024-06-06,7.650000095367432
2024-06-07,6.75
2024-06-10,7.389999866485596
2024-06-11,7.489999771118164
2024-06-12,7.099999904632568
2024-06-13,7.070000171661377
2024-06-14,9.369999885559082
2024-06-17,9.40999984741211
2024-06-18,11.600000381469727
2024-06-20,15.220000267028809
2024-06-21,15.729999542236328
2024-06-24,20.8700008392334
2024-06-25,29.100000381469727
2024-06-26,24.020000457763672
2024-06-27,16.219999313354492
2024-06-28,23.440000534057617
2024-07-01,28.100000381469727
2024-07-02,25.93000030517578
2024-07-03,23.649999618530273
2024-07-05,28.399999618530273
2024-07-08,29.799999237060547
2024-07-09,26.5
2024-07-10,25.299999237060547
2024-07-11,26.239999771118164
2024-07-12,25.0
2024-07-15,24.010000228881836
2024-07-16,22.559999465942383
2024-07-17,22.68000030517578
2024-07-18,19.100000381469727
2024-07-19,19.299999237060547
2024-07-22,15.970000267028809
2024-07-23,15.489999771118164
2024-07-24,14.369999885559082
2024-07-25,13.720000267028809
2024-07-26,16.06999969482422
2024-07-29,13.770000457763672
2024-07-30,12.75
2024-07-31,11.8100004196167
2024-08-01,9.859999656677246
2024-08-02,9.619999885559082
2024-08-05,7.880000114440918
2024-08-06,9.109999656677246
2024-08-07,7.829999923706055
2024-08-08,8.109999656677246
2024-08-09,8.84000015258789
2024-08-12,8.0600004196167
2024-08-13,6.650000095367432
2024-08-14,7.949999809265137
2024-08-15,8.390000343322754
2024-08-16,8.699999809265137
2024-08-19,11.069999694824219
2024-08-20,10.90999984741211
2024-08-21,11.199999809265137
2024-08-22,10.4399995803833
2024-08-23,10.199999809265137
2024-08-26,11.229999542236328
2024-08-27,10.720000267028809
2024-08-28,10.100000381469727
2024-08-29,10.739999771118164
2024-08-30,10.119999885559082
2024-09-03,8.579999923706055
2024-09-04,8.390000343322754
2024-09-05,7.300000190734863
2024-09-06,7.0
2024-09-09,7.400000095367432
2024-09-10,8.789999961853027
2024-09-11,10.850000381469727
2024-09-12,11.699999809265137
2024-09-13,15.229999542236328
