Date,FWONK
2014-07-08,23.80818748474121
2014-07-09,24.139896392822266
2014-07-10,23.471126556396484
2014-07-11,23.62093162536621
2014-07-14,23.80818748474121
2014-07-15,23.8616886138916
2014-07-16,24.23619842529297
2014-07-17,24.262950897216797
2014-07-18,24.343202590942383
2014-07-21,24.487655639648438
2014-07-22,24.450204849243164
2014-07-23,24.61071014404297
2014-07-24,25.290178298950195
2014-07-25,24.872867584228516
2014-07-28,24.824716567993164
2014-07-29,25.19922637939453
2014-07-30,25.58443832397461
2014-07-31,25.14572525024414
2014-08-01,24.89961814880371
2014-08-04,24.942419052124023
2014-08-05,24.78726577758789
2014-08-06,24.862167358398438
2014-08-07,24.824716567993164
2014-08-08,24.89961814880371
2014-08-11,24.824716567993164
2014-08-12,24.79261589050293
2014-08-13,25.081523895263672
2014-08-14,25.851945877075195
2014-08-15,26.156904220581055
2014-08-18,26.108753204345703
2014-08-19,26.012449264526367
2014-08-20,26.18365478515625
2014-08-21,26.205055236816406
2014-08-22,26.033851623535156
2014-08-25,25.94289779663086
2014-08-26,25.734241485595703
2014-08-27,25.862646102905273
2014-08-28,25.94289779663086
2014-08-29,25.93219757080078
2014-09-02,26.06060218811035
2014-09-03,26.055252075195312
2014-09-04,25.900096893310547
2014-09-05,26.055252075195312
2014-09-08,26.001750946044922
2014-09-09,25.916147232055664
2014-09-10,26.253206253051758
2014-09-11,26.226455688476562
2014-09-12,26.103403091430664
2014-09-15,26.039201736450195
2014-09-16,26.1355037689209
2014-09-17,26.31740951538086
2014-09-18,26.279958724975586
2014-09-19,26.242507934570312
2014-09-22,25.365081787109375
2014-09-23,25.081523895263672
2014-09-24,25.177825927734375
2014-09-25,24.98522186279297
2014-09-26,25.33833122253418
2014-09-29,24.98522186279297
2014-09-30,25.1403751373291
2014-10-01,24.509056091308594
2014-10-02,24.509056091308594
2014-10-03,24.926368713378906
2014-10-06,24.65886116027832
2014-10-07,24.41810417175293
2014-10-08,24.696311950683594
2014-10-09,23.968690872192383
2014-10-10,23.294572830200195
2014-10-13,22.609752655029297
2014-10-14,22.748855590820312
2014-10-15,22.631153106689453
2014-10-16,22.58300018310547
2014-10-17,23.176868438720703
2014-10-20,23.524629592895508
2014-10-21,24.54115867614746
2014-10-22,23.893789291381836
2014-10-23,24.386003494262695
2014-10-24,24.519756317138672
2014-10-27,24.621410369873047
2014-10-28,24.888917922973633
2014-10-29,24.878217697143555
2014-10-30,25.044071197509766
2014-10-31,25.64328956604004
2014-11-03,25.8251953125
2014-11-04,25.7609920501709
2014-11-05,24.95084571838379
2014-11-06,25.42508888244629
2014-11-07,25.255210876464844
2014-11-10,24.908376693725586
2014-11-11,24.965002059936523
2014-11-12,24.858829498291016
2014-11-13,24.915454864501953
2014-11-14,24.802202224731445
2014-11-17,25.16319465637207
2014-11-18,25.50295066833496
2014-11-19,25.21274185180664
2014-11-20,25.333072662353516
2014-11-21,25.1065673828125
2014-11-24,25.19150733947754
2014-11-25,25.807315826416016
2014-11-26,25.913488388061523
2014-11-28,25.856861114501953
2014-12-01,25.65867042541504
2014-12-02,25.5595760345459
2014-12-03,25.566654205322266
2014-12-04,25.382619857788086
2014-12-05,24.830516815185547
2014-12-08,24.172237396240234
2014-12-09,24.327959060668945
2014-12-10,24.07314109802246
2014-12-11,24.511993408203125
2014-12-12,24.235942840576172
2014-12-15,23.804168701171875
2014-12-16,23.71215057373047
2014-12-17,23.797090530395508
2014-12-18,23.981124877929688
2014-12-19,24.05898666381836
2014-12-22,24.00235939025879
2014-12-23,23.874950408935547
2014-12-24,24.094377517700195
2014-12-26,24.1793155670166
2014-12-29,24.752655029296875
2014-12-30,25.007471084594727
2014-12-31,24.795124053955078
2015-01-02,24.519071578979492
2015-01-05,24.05898666381836
2015-01-06,23.563507080078125
2015-01-07,24.122690200805664
2015-01-08,24.908376693725586
2015-01-09,24.76681137084961
2015-01-12,24.95084571838379
2015-01-13,25.071176528930664
2015-01-14,24.618167877197266
2015-01-15,24.200550079345703
2015-01-16,24.561542510986328
2015-01-20,24.455368041992188
2015-01-21,24.6535587310791
2015-01-22,25.05702018737793
2015-01-23,24.42705535888672
2015-01-26,25.333072662353516
2015-01-27,25.0853328704834
2015-01-28,24.278411865234375
2015-01-29,24.327959060668945
2015-01-30,24.151002883911133
2015-02-02,24.469524383544922
2015-02-03,25.248132705688477
2015-02-04,25.304758071899414
2015-02-05,25.89933204650879
2015-02-06,25.885175704956055
2015-02-09,25.757766723632812
2015-02-10,25.991348266601562
2015-02-11,26.15414810180664
2015-02-12,26.84781837463379
2015-02-13,26.946914672851562
2015-02-17,26.989383697509766
2015-02-18,27.37160873413086
2015-02-19,27.21588706970215
2015-02-20,27.244199752807617
2015-02-23,27.428234100341797
2015-02-24,27.463626861572266
2015-02-25,27.463626861572266
2015-02-26,27.34329605102539
2015-02-27,27.32206153869629
2015-03-02,27.57687759399414
2015-03-03,28.32009506225586
2015-03-04,28.065277099609375
2015-03-05,27.91663360595703
2015-03-06,27.718442916870117
2015-03-09,27.91663360595703
2015-03-10,27.230043411254883
2015-03-11,27.548564910888672
2015-03-12,27.79630470275879
2015-03-13,27.435312271118164
2015-03-16,27.789226531982422
2015-03-17,27.626426696777344
2015-03-18,27.9449462890625
2015-03-19,28.08651351928711
2015-03-20,28.298860549926758
2015-03-23,27.810461044311523
2015-03-24,27.414077758789062
2015-03-25,26.677940368652344
2015-03-26,26.60715675354004
2015-03-27,26.692096710205078
2015-03-30,26.904443740844727
2015-03-31,27.038930892944336
2015-04-01,27.152183532714844
