Date,FULT
2010-01-04,5.32665491104126
2010-01-05,5.223988056182861
2010-01-06,5.151515960693359
2010-01-07,5.399127960205078
2010-01-08,5.399127960205078
2010-01-11,5.344772815704346
2010-01-12,5.356854438781738
2010-01-13,5.405169486999512
2010-01-14,5.658820152282715
2010-01-15,5.5742669105529785
2010-01-19,5.7614850997924805
2010-01-20,5.948704719543457
2010-01-21,5.924548149108887
2010-01-22,5.477638244628906
2010-01-25,5.550108909606934
2010-01-26,5.501795768737793
2010-01-27,5.7614850997924805
2010-01-28,5.610503673553467
2010-01-29,5.580305576324463
2010-02-01,5.465562343597412
2010-02-02,5.435364723205566
2010-02-03,5.332695960998535
2010-02-04,5.205872058868408
2010-02-05,5.133397579193115
2010-02-08,5.091125965118408
2010-02-09,5.338736534118652
2010-02-10,5.453482627868652
2010-02-11,5.47160005569458
2010-02-12,5.51991605758667
2010-02-16,5.544070720672607
2010-02-17,5.405169486999512
2010-02-18,5.501795768737793
2010-02-19,5.544070720672607
2010-02-22,5.731289386749268
2010-02-23,5.646739959716797
2010-02-24,5.960781097412109
2010-02-25,5.785643100738525
2010-02-26,5.809800624847412
2010-03-01,5.749406814575195
2010-03-02,5.7735676765441895
2010-03-03,5.713173866271973
2010-03-04,5.6346611976623535
2010-03-05,5.797722339630127
2010-03-08,5.737329006195068
2010-03-09,5.737329006195068
2010-03-10,5.876232147216797
2010-03-11,5.978899002075195
2010-03-12,5.906427383422852
2010-03-15,5.98493766784668
2010-03-16,6.057412147521973
2010-03-17,6.099687576293945
2010-03-18,6.292945861816406
2010-03-19,6.280867099761963
2010-03-22,6.335218906402588
2010-03-23,6.280867099761963
2010-03-24,6.256707191467285
2010-03-25,6.25670862197876
2010-03-26,6.208251476287842
2010-03-29,6.353618621826172
2010-03-30,6.202197074890137
2010-03-31,6.177970886230469
2010-04-01,6.232481479644775
2010-04-05,6.238537311553955
2010-04-06,6.468698024749756
2010-04-07,6.402071952819824
2010-04-08,6.517151355743408
2010-04-09,6.595892429351807
2010-04-12,6.595892429351807
2010-04-13,6.5110955238342285
2010-04-14,6.844224452972412
2010-04-15,6.85027551651001
2010-04-16,6.583775043487549
2010-04-19,6.5474395751953125
2010-04-20,6.6322340965271
2010-04-21,6.789709568023682
2010-04-22,6.904787540435791
2010-04-23,7.080435276031494
