Date,AVO
2020-10-02,12.449999809265137
2020-10-05,12.359999656677246
2020-10-06,12.100000381469727
2020-10-07,11.859999656677246
2020-10-08,12.229999542236328
2020-10-09,12.5
2020-10-12,13.0
2020-10-13,12.970000267028809
2020-10-14,12.84000015258789
2020-10-15,13.149999618530273
2020-10-16,13.1899995803833
2020-10-19,13.510000228881836
2020-10-20,13.680000305175781
2020-10-21,13.300000190734863
2020-10-22,13.40999984741211
2020-10-23,13.170000076293945
2020-10-26,13.010000228881836
2020-10-27,13.229999542236328
2020-10-28,13.229999542236328
2020-10-29,13.229999542236328
2020-10-30,13.1899995803833
2020-11-02,12.850000381469727
2020-11-03,12.770000457763672
2020-11-04,13.100000381469727
2020-11-05,13.1899995803833
2020-11-06,13.680000305175781
2020-11-09,14.020000457763672
2020-11-10,13.949999809265137
2020-11-11,13.5
2020-11-12,12.970000267028809
2020-11-13,13.289999961853027
2020-11-16,13.720000267028809
2020-11-17,13.640000343322754
2020-11-18,13.90999984741211
2020-11-19,13.970000267028809
2020-11-20,13.789999961853027
2020-11-23,13.600000381469727
2020-11-24,13.539999961853027
2020-11-25,13.399999618530273
2020-11-27,13.34000015258789
2020-11-30,13.449999809265137
2020-12-01,13.600000381469727
2020-12-02,13.460000038146973
2020-12-03,13.369999885559082
2020-12-04,13.630000114440918
2020-12-07,13.680000305175781
2020-12-08,13.8100004196167
2020-12-09,13.609999656677246
2020-12-10,13.140000343322754
2020-12-11,13.3100004196167
2020-12-14,13.40999984741211
2020-12-15,13.649999618530273
2020-12-16,14.229999542236328
2020-12-17,14.869999885559082
2020-12-18,14.289999961853027
2020-12-21,14.710000038146973
2020-12-22,14.119999885559082
2020-12-23,14.5
2020-12-24,14.649999618530273
2020-12-28,14.779999732971191
2020-12-29,14.65999984741211
2020-12-30,15.039999961853027
2020-12-31,15.050000190734863
2021-01-04,15.0
2021-01-05,15.199999809265137
2021-01-06,15.680000305175781
2021-01-07,15.520000457763672
2021-01-08,15.699999809265137
2021-01-11,15.270000457763672
2021-01-12,15.170000076293945
2021-01-13,15.289999961853027
2021-01-14,15.65999984741211
2021-01-15,15.640000343322754
2021-01-19,16.18000030517578
2021-01-20,16.239999771118164
2021-01-21,16.309999465942383
2021-01-22,16.200000762939453
2021-01-25,16.239999771118164
2021-01-26,16.34000015258789
2021-01-27,17.079999923706055
2021-01-28,18.350000381469727
2021-01-29,19.229999542236328
2021-02-01,18.809999465942383
2021-02-02,19.399999618530273
2021-02-03,20.15999984741211
2021-02-04,20.079999923706055
2021-02-05,20.739999771118164
2021-02-08,21.15999984741211
2021-02-09,21.239999771118164
2021-02-10,21.06999969482422
2021-02-11,21.290000915527344
2021-02-12,21.739999771118164
2021-02-16,21.260000228881836
