Date,HWKN
2010-01-04,8.36861515045166
2010-01-05,8.049956321716309
2010-01-06,7.974084854125977
2010-01-07,8.084095001220703
2010-01-08,8.080301284790039
2010-01-11,7.970288276672363
2010-01-12,8.015813827514648
2010-01-13,8.156170845031738
2010-01-14,8.178936958312988
2010-01-15,8.1865234375
2010-01-19,8.520357131958008
2010-01-20,8.345853805541992
2010-01-21,8.167552947998047
2010-01-22,8.175139427185059
2010-01-25,8.099268913269043
2010-01-26,7.845098495483398
2010-01-27,8.137207984924316
2010-01-28,7.776815414428711
2010-01-29,7.822339057922363
2010-02-01,7.841305732727051
2010-02-02,7.750260829925537
2010-02-03,7.681981563568115
2010-02-04,7.515059471130371
2010-02-05,7.609898567199707
2010-02-08,7.587136745452881
2010-02-09,7.613693714141846
2010-02-10,7.575756072998047
2010-02-11,7.541615009307861
2010-02-12,7.757848262786865
2010-02-16,7.598520278930664
2010-02-17,7.587136745452881
2010-02-18,7.7123236656188965
2010-02-19,7.640246868133545
2010-02-22,7.617486953735352
2010-02-23,7.628866195678711
2010-02-24,7.647836685180664
2010-02-25,7.613693714141846
2010-02-26,7.56817102432251
2010-03-01,7.814754009246826
2010-03-02,8.080301284790039
2010-03-03,8.21687126159668
2010-03-04,8.345853805541992
2010-03-05,8.372406005859375
2010-03-08,8.345853805541992
2010-03-09,8.269979476928711
2010-03-10,8.33446979522705
2010-03-11,8.436897277832031
2010-03-12,8.338265419006348
2010-03-15,8.524151802062988
2010-03-16,8.683478355407715
2010-03-17,8.879345893859863
2010-03-18,9.00992488861084
2010-03-19,8.952316284179688
2010-03-22,8.994564056396484
2010-03-23,9.132824897766113
2010-03-24,8.986884117126465
2010-03-25,8.956157684326172
2010-03-26,9.00224781036377
2010-03-29,9.090578079223633
2010-03-30,9.159707069396973
2010-03-31,9.294124603271484
2010-04-01,9.274923324584961
2010-04-05,9.543761253356934
2010-04-06,9.589850425720215
2010-04-07,9.593688011169434
2010-04-08,9.620572090148926
2010-04-09,9.766514778137207
2010-04-12,9.835643768310547
