Date,BX
2010-01-04,6.248837947845459
2010-01-05,6.285304069519043
2010-01-06,6.399248123168945
2010-01-07,6.422038555145264
2010-01-08,6.403807163238525
2010-01-11,6.403807163238525
2010-01-12,6.239724159240723
2010-01-13,6.226051330566406
2010-01-14,6.267072677612305
2010-01-15,6.285304069519043
2010-01-19,6.1804728507995605
2010-01-20,6.239724159240723
2010-01-21,6.116663932800293
2010-01-22,5.806727409362793
2010-01-25,5.761146068572998
2010-01-26,5.67454719543457
2010-01-27,5.802170276641846
2010-01-28,5.752032279968262
2010-01-29,5.528695106506348
2010-02-01,5.879652976989746
2010-02-02,6.075640678405762
2010-02-03,6.020946025848389
2010-02-04,5.79761266708374
2010-02-05,5.793052673339844
2010-02-08,5.688220977783203
2010-02-09,5.788494110107422
2010-02-10,5.669989109039307
2010-02-11,5.701895236968994
2010-02-12,5.8431901931762695
2010-02-16,6.080198287963867
2010-02-17,6.089314937591553
2010-02-18,6.148565769195557
2010-02-19,6.257956027984619
2010-02-22,6.308093070983887
2010-02-23,6.303536891937256
2010-02-24,6.3810200691223145
2010-02-25,6.344553470611572
2010-02-26,6.371902942657471
2010-03-01,6.431153774261475
2010-03-02,6.431153774261475
2010-03-03,6.4858479499816895
2010-03-04,6.52686882019043
2010-03-05,6.7912278175354
2010-03-08,6.677281379699707
2010-03-09,6.768436431884766
2010-03-10,6.763879299163818
2010-03-11,6.931349754333496
2010-03-12,6.8150529861450195
2010-03-15,6.712707996368408
2010-03-16,6.712707996368408
2010-03-17,6.8150529861450195
2010-03-18,6.745273113250732
2010-03-19,6.494069576263428
2010-03-22,6.568498134613037
2010-03-23,6.6940999031066895
2010-03-24,6.754572868347168
2010-03-25,6.833653450012207
2010-03-26,6.759227275848389
2010-03-29,6.638277053833008
2010-03-30,6.647582054138184
2010-03-31,6.512678146362305
2010-04-01,6.652230262756348
2010-04-05,6.73596715927124
2010-04-06,6.810399055480957
2010-04-07,6.829006195068359
2010-04-08,6.801093101501465
2010-04-09,6.852264404296875
2010-04-12,6.991823196411133
2010-04-13,7.0941643714904785
2010-04-14,7.098816394805908
2010-04-15,7.066251754760742
2010-04-16,6.8569183349609375
2010-04-19,6.829006195068359
2010-04-20,6.870872497558594
2010-04-21,6.954606056213379
2010-04-22,6.903435230255127
2010-04-23,6.931349754333496
2010-04-26,6.973212242126465
2010-04-27,6.749924182891846
2010-04-28,6.610363960266113
2010-04-29,6.768529415130615
2010-04-30,6.5033721923828125
2010-05-03,6.712707996368408
2010-05-04,6.456851005554199
2010-05-05,6.187042713165283
2010-05-06,5.866059303283691
2010-05-07,5.661376476287842
2010-05-10,6.131216049194336
2010-05-11,6.056788444519043
2010-05-12,6.089604377746582
2010-05-13,6.094290733337402
2010-05-14,5.742697238922119
2010-05-17,5.663003444671631
2010-05-18,5.452049255371094
2010-05-19,5.414544105529785
2010-05-20,5.156710624694824
2010-05-21,5.189523220062256
2010-05-24,4.9223127365112305
2010-05-25,4.983256816864014
2010-05-26,5.062950611114502
