Date,NRG
2010-01-04,17.922958374023438
2010-01-05,18.200769424438477
2010-01-06,18.598724365234375
2010-01-07,18.703845977783203
2010-01-08,18.3959903717041
2010-01-11,18.56868553161621
2010-01-12,18.05059242248535
2010-01-13,18.245826721191406
2010-01-14,18.058103561401367
2010-01-15,18.320911407470703
2010-01-19,18.884048461914062
2010-01-20,18.52363395690918
2010-01-21,18.020566940307617
2010-01-22,18.56868553161621
2010-01-25,18.726369857788086
2010-01-26,18.71135902404785
2010-01-27,18.763904571533203
2010-01-28,18.56118392944336
2010-01-29,18.103164672851562
2010-02-01,17.945476531982422
2010-02-02,17.690187454223633
2010-02-03,17.35230255126953
2010-02-04,16.59393882751465
2010-02-05,16.301105499267578
2010-02-08,16.210996627807617
2010-02-09,16.436256408691406
2010-02-10,16.263559341430664
2010-02-11,16.684043884277344
2010-02-12,16.56389808654785
2010-02-16,16.88677215576172
2010-02-17,16.96185302734375
2010-02-18,16.94683837890625
2010-02-19,17.419878005981445
2010-02-22,17.322265625
2010-02-23,16.714075088500977
2010-02-24,16.413734436035156
2010-02-25,16.571409225463867
2010-02-26,16.39871597290039
2010-03-01,16.954349517822266
2010-03-02,17.021923065185547
2010-03-03,16.894285202026367
2010-03-04,16.744112014770508
2010-03-05,17.134546279907227
2010-03-08,17.19462776184082
2010-03-09,17.081993103027344
2010-03-10,16.99939727783203
2010-03-11,17.22465705871582
2010-03-12,16.66152000427246
2010-03-15,16.72157859802246
2010-03-16,16.894285202026367
2010-03-17,16.871753692626953
2010-03-18,16.533870697021484
2010-03-19,16.56389808654785
2010-03-22,16.233522415161133
2010-03-23,16.203489303588867
2010-03-24,15.895639419555664
2010-03-25,15.25741195678711
2010-03-26,15.204849243164062
2010-03-29,15.467652320861816
2010-03-30,15.835573196411133
2010-03-31,15.692902565002441
2010-04-01,16.11338996887207
2010-04-05,16.256044387817383
2010-04-06,16.248546600341797
2010-04-07,16.105876922607422
2010-04-08,16.263559341430664
2010-04-09,16.36867904663086
2010-04-12,16.82670021057129
2010-04-13,16.93181610107422
2010-04-14,16.88677215576172
2010-04-15,17.044443130493164
2010-04-16,16.40622329711914
2010-04-19,16.56389808654785
2010-04-20,16.9092960357666
2010-04-21,16.774147033691406
2010-04-22,16.82670021057129
2010-04-23,17.097013473510742
2010-04-26,17.509984970092773
