Date,CART
2023-09-19,33.70000076293945
2023-09-20,30.100000381469727
2023-09-21,30.649999618530273
2023-09-22,30.0
2023-09-25,30.389999389648438
2023-09-26,29.889999389648438
2023-09-27,28.540000915527344
2023-09-28,29.829999923706055
2023-09-29,29.690000534057617
2023-10-02,26.959999084472656
2023-10-03,26.540000915527344
2023-10-04,27.309999465942383
2023-10-05,26.200000762939453
2023-10-06,25.469999313354492
2023-10-09,24.65999984741211
2023-10-10,26.920000076293945
2023-10-11,24.940000534057617
2023-10-12,24.719999313354492
2023-10-13,25.56999969482422
2023-10-16,24.850000381469727
2023-10-17,24.520000457763672
2023-10-18,25.40999984741211
2023-10-19,24.43000030517578
2023-10-20,24.850000381469727
2023-10-23,24.6200008392334
2023-10-24,26.399999618530273
2023-10-25,25.15999984741211
2023-10-26,24.690000534057617
2023-10-27,24.90999984741211
2023-10-30,25.829999923706055
2023-10-31,24.6299991607666
2023-11-01,25.049999237060547
2023-11-02,26.65999984741211
2023-11-03,26.90999984741211
2023-11-06,27.309999465942383
2023-11-07,28.469999313354492
2023-11-08,27.239999771118164
2023-11-09,24.479999542236328
2023-11-10,25.209999084472656
2023-11-13,25.559999465942383
2023-11-14,25.8799991607666
2023-11-15,25.899999618530273
2023-11-16,25.040000915527344
2023-11-17,25.25
2023-11-20,25.850000381469727
2023-11-21,24.690000534057617
2023-11-22,25.059999465942383
2023-11-24,25.68000030517578
2023-11-27,25.15999984741211
2023-11-28,25.459999084472656
2023-11-29,25.510000228881836
2023-11-30,24.190000534057617
2023-12-01,25.3700008392334
2023-12-04,24.40999984741211
2023-12-05,23.729999542236328
2023-12-06,23.510000228881836
2023-12-07,23.709999084472656
2023-12-08,24.440000534057617
2023-12-11,24.229999542236328
2023-12-12,23.530000686645508
2023-12-13,24.8799991607666
2023-12-14,26.030000686645508
2023-12-15,24.600000381469727
2023-12-18,25.100000381469727
2023-12-19,24.610000610351562
2023-12-20,23.149999618530273
2023-12-21,23.389999389648438
2023-12-22,23.78499984741211
2023-12-26,24.190000534057617
2023-12-27,23.93000030517578
2023-12-28,23.84000015258789
2023-12-29,23.469999313354492
2024-01-02,24.030000686645508
2024-01-03,23.559999465942383
2024-01-04,22.989999771118164
2024-01-05,22.43000030517578
2024-01-08,23.399999618530273
2024-01-09,22.969999313354492
2024-01-10,23.399999618530273
2024-01-11,23.229999542236328
2024-01-12,23.09000015258789
2024-01-16,23.8799991607666
2024-01-17,25.670000076293945
2024-01-18,25.6299991607666
2024-01-19,26.010000228881836
2024-01-22,27.170000076293945
2024-01-23,25.229999542236328
2024-01-24,24.799999237060547
2024-01-25,25.540000915527344
2024-01-26,25.479999542236328
2024-01-29,25.8799991607666
2024-01-30,25.459999084472656
2024-01-31,24.469999313354492
2024-02-01,25.25
2024-02-02,25.079999923706055
2024-02-05,23.940000534057617
2024-02-06,24.469999313354492
2024-02-07,24.459999084472656
2024-02-08,26.06999969482422
2024-02-09,26.600000381469727
2024-02-12,27.3799991607666
2024-02-13,27.850000381469727
2024-02-14,27.329999923706055
2024-02-15,26.229999542236328
2024-02-16,26.770000457763672
2024-02-20,27.700000762939453
2024-02-21,28.829999923706055
2024-02-22,29.8799991607666
2024-02-23,30.59000015258789
2024-02-26,31.389999389648438
2024-02-27,31.559999465942383
2024-02-28,31.219999313354492
2024-02-29,32.540000915527344
2024-03-01,33.16999816894531
2024-03-04,33.70000076293945
2024-03-05,32.810001373291016
2024-03-06,33.619998931884766
2024-03-07,34.38999938964844
2024-03-08,34.380001068115234
2024-03-11,34.5
2024-03-12,35.5099983215332
2024-03-13,35.349998474121094
2024-03-14,35.7400016784668
2024-03-15,35.79999923706055
2024-03-18,37.25
2024-03-19,36.9900016784668
2024-03-20,38.08000183105469
2024-03-21,37.81999969482422
2024-03-22,37.52000045776367
2024-03-25,38.029998779296875
2024-03-26,36.540000915527344
2024-03-27,37.09000015258789
2024-03-28,37.290000915527344
2024-04-01,36.86000061035156
2024-04-02,37.099998474121094
2024-04-03,37.369998931884766
2024-04-04,37.900001525878906
2024-04-05,39.119998931884766
2024-04-08,38.439998626708984
2024-04-09,38.5099983215332
2024-04-10,38.470001220703125
2024-04-11,38.58000183105469
2024-04-12,37.810001373291016
2024-04-15,37.09000015258789
2024-04-16,36.95000076293945
2024-04-17,36.349998474121094
2024-04-18,36.400001525878906
2024-04-19,35.22999954223633
2024-04-22,36.09000015258789
2024-04-23,33.41999816894531
2024-04-24,34.279998779296875
2024-04-25,34.540000915527344
2024-04-26,34.689998626708984
2024-04-29,34.47999954223633
2024-04-30,34.130001068115234
2024-05-01,35.459999084472656
2024-05-02,35.61000061035156
2024-05-03,36.70000076293945
2024-05-06,36.529998779296875
2024-05-07,37.52000045776367
2024-05-08,37.47999954223633
2024-05-09,36.09000015258789
2024-05-10,34.939998626708984
2024-05-13,34.75
2024-05-14,34.29999923706055
2024-05-15,32.849998474121094
2024-05-16,33.20000076293945
2024-05-17,34.439998626708984
2024-05-20,32.91999816894531
2024-05-21,32.58000183105469
2024-05-22,32.869998931884766
2024-05-23,32.599998474121094
2024-05-24,32.369998931884766
2024-05-28,32.220001220703125
2024-05-29,30.920000076293945
2024-05-30,30.5
2024-05-31,30.479999542236328
2024-06-03,31.0
2024-06-04,30.1299991607666
2024-06-05,30.950000762939453
2024-06-06,33.779998779296875
2024-06-07,32.97999954223633
2024-06-10,34.5099983215332
2024-06-11,33.369998931884766
2024-06-12,33.77000045776367
2024-06-13,32.290000915527344
2024-06-14,32.63999938964844
2024-06-17,33.2400016784668
