Date,ALGT
2010-01-04,38.88690185546875
2010-01-05,40.23957061767578
2010-01-06,40.296268463134766
2010-01-07,40.18286895751953
2010-01-08,39.72118377685547
2010-01-11,39.88317108154297
2010-01-12,40.085662841796875
2010-01-13,40.296268463134766
2010-01-14,40.66885757446289
2010-01-15,40.62834548950195
2010-01-19,41.46261978149414
2010-01-20,40.4096565246582
2010-01-21,41.45454788208008
2010-01-22,40.82275390625
2010-01-25,41.300636291503906
2010-01-26,41.68132781982422
2010-01-27,43.21217727661133
2010-01-28,42.28071594238281
2010-01-29,41.470726013183594
2010-02-01,41.470726013183594
2010-02-02,42.11060333251953
2010-02-03,42.361698150634766
2010-02-04,40.55545425415039
2010-02-05,40.717445373535156
2010-02-08,41.46261978149414
2010-02-09,42.89628982543945
2010-02-10,42.26451110839844
2010-02-11,42.62900161743164
2010-02-12,43.29316711425781
2010-02-16,43.3903694152832
2010-02-17,42.62089157104492
2010-02-18,42.85578536987305
2010-02-19,43.22026824951172
2010-02-22,42.4265022277832
2010-02-23,42.05390167236328
2010-02-24,42.07822036743164
2010-02-25,42.28071594238281
2010-02-26,42.23210525512695
2010-03-01,42.928680419921875
2010-03-02,42.94487762451172
2010-03-03,42.62089157104492
2010-03-04,42.95298767089844
2010-03-05,42.85578536987305
2010-03-08,43.989749908447266
2010-03-09,42.118709564208984
2010-03-10,44.11935043334961
2010-03-11,43.99785232543945
2010-03-12,44.17604064941406
2010-03-15,44.36233901977539
2010-03-16,43.76295852661133
2010-03-17,44.046451568603516
2010-03-18,44.14364242553711
2010-03-19,44.20845413208008
2010-03-22,45.00221633911133
2010-03-23,46.76796340942383
2010-03-24,47.02716064453125
2010-03-25,46.15238952636719
2010-03-26,45.8203010559082
2010-03-29,46.889461517333984
2010-03-30,47.18104553222656
2010-03-31,46.86517333984375
2010-04-01,45.68259811401367
2010-04-05,44.71873474121094
2010-04-06,43.90064239501953
2010-04-07,44.50813293457031
2010-04-08,44.71062088012695
2010-04-09,43.51995849609375
2010-04-12,45.083213806152344
2010-04-13,44.76732635498047
2010-04-14,45.69879913330078
2010-04-15,46.33867645263672
2010-04-16,45.812198638916016
2010-04-19,45.496307373046875
2010-04-20,41.18724822998047
2010-04-21,41.34922790527344
2010-04-22,41.66511917114258
2010-04-23,43.55236053466797
2010-04-26,42.62089157104492
2010-04-27,41.72180938720703
2010-04-28,41.810916900634766
