Date,ACLS
2010-01-04,5.800000190734863
2010-01-05,5.71999979019165
2010-01-06,6.039999961853027
2010-01-07,6.079999923706055
2010-01-08,6.519999980926514
2010-01-11,6.559999942779541
2010-01-12,6.599999904632568
2010-01-13,6.599999904632568
2010-01-14,6.599999904632568
2010-01-15,6.360000133514404
2010-01-19,6.28000020980835
2010-01-20,7.0
2010-01-21,6.880000114440918
2010-01-22,6.400000095367432
2010-01-25,6.159999847412109
2010-01-26,6.0
2010-01-27,6.039999961853027
2010-01-28,6.119999885559082
2010-01-29,6.0
2010-02-01,6.320000171661377
2010-02-02,7.039999961853027
2010-02-03,7.119999885559082
2010-02-04,6.480000019073486
2010-02-05,6.360000133514404
2010-02-08,5.960000038146973
2010-02-09,6.0
2010-02-10,6.199999809265137
2010-02-11,6.519999980926514
2010-02-12,6.840000152587891
2010-02-16,6.880000114440918
2010-02-17,7.119999885559082
2010-02-18,6.71999979019165
2010-02-19,6.519999980926514
2010-02-22,6.960000038146973
2010-02-23,6.71999979019165
2010-02-24,6.599999904632568
2010-02-25,6.71999979019165
2010-02-26,6.599999904632568
2010-03-01,6.840000152587891
2010-03-02,7.0
2010-03-03,6.880000114440918
2010-03-04,6.840000152587891
2010-03-05,6.800000190734863
2010-03-08,6.800000190734863
2010-03-09,6.840000152587891
2010-03-10,6.679999828338623
2010-03-11,6.71999979019165
2010-03-12,6.760000228881836
2010-03-15,6.800000190734863
2010-03-16,6.920000076293945
2010-03-17,6.840000152587891
2010-03-18,6.71999979019165
2010-03-19,5.920000076293945
2010-03-22,6.360000133514404
2010-03-23,6.559999942779541
2010-03-24,6.320000171661377
2010-03-25,6.519999980926514
2010-03-26,6.559999942779541
2010-03-29,6.559999942779541
2010-03-30,6.71999979019165
2010-03-31,6.639999866485596
2010-04-01,7.360000133514404
2010-04-05,7.880000114440918
2010-04-06,7.960000038146973
2010-04-07,7.960000038146973
2010-04-08,8.359999656677246
2010-04-09,8.520000457763672
2010-04-12,8.84000015258789
2010-04-13,8.680000305175781
2010-04-14,9.279999732971191
2010-04-15,9.239999771118164
2010-04-16,8.880000114440918
2010-04-19,9.119999885559082
2010-04-20,9.199999809265137
2010-04-21,9.520000457763672
2010-04-22,9.4399995803833
2010-04-23,9.880000114440918
2010-04-26,10.0
2010-04-27,10.0
2010-04-28,9.399999618530273
2010-04-29,9.800000190734863
2010-04-30,9.520000457763672
2010-05-03,9.600000381469727
2010-05-04,9.399999618530273
