Date,GAP
2010-01-04,12.900531768798828
2010-01-05,13.057543754577637
2010-01-06,13.214564323425293
2010-01-07,12.730949401855469
2010-01-08,12.812600135803223
2010-01-11,12.950776100158691
2010-01-12,12.536250114440918
2010-01-13,12.548810005187988
2010-01-14,12.398077011108398
2010-01-15,12.28502082824707
2010-01-19,12.555092811584473
2010-01-20,12.423196792602539
2010-01-21,12.052638053894043
2010-01-22,11.845373153686523
2010-01-25,11.933302879333496
2010-01-26,11.901905059814453
2010-01-27,12.058919906616211
2010-01-28,11.952144622802734
2010-01-29,11.983548164367676
2010-02-01,12.033794403076172
2010-02-02,12.228493690490723
2010-02-03,11.945867538452148
2010-02-04,12.234776496887207
2010-02-05,12.486000061035156
2010-02-08,12.354105949401855
2010-02-09,12.51740550994873
2010-02-10,12.492290496826172
2010-02-11,12.643024444580078
2010-02-12,12.529966354370117
2010-02-16,12.416919708251953
2010-02-17,12.498563766479492
2010-02-18,12.555092811584473
2010-02-19,12.46716022491455
2010-02-22,12.416919708251953
2010-02-23,12.486000061035156
2010-02-24,12.743512153625488
2010-02-25,12.806317329406738
2010-02-26,13.503472328186035
2010-03-01,13.566283226013184
2010-03-02,13.534875869750977
2010-03-03,13.66677474975586
2010-03-04,13.848909378051758
2010-03-05,14.018497467041016
2010-03-08,14.02476978302002
2010-03-09,13.968246459960938
2010-03-10,14.049893379211426
2010-03-11,14.244596481323242
2010-03-12,14.319962501525879
2010-03-15,14.489545822143555
2010-03-16,14.63399887084961
2010-03-17,14.539788246154785
2010-03-18,14.640280723571777
2010-03-19,14.583756446838379
2010-03-22,14.696805000305176
2010-03-23,14.57746410369873
2010-03-24,14.483263969421387
2010-03-25,14.696805000305176
2010-03-26,14.709365844726562
2010-03-29,14.5900297164917
2010-03-30,14.602592468261719
2010-03-31,14.514670372009277
2010-04-01,14.841261863708496
2010-04-05,14.998944282531738
2010-04-06,15.03679084777832
2010-04-07,15.049406051635742
2010-04-08,15.509842872619629
2010-04-09,15.673834800720215
2010-04-12,15.724297523498535
2010-04-13,15.781062126159668
2010-04-14,15.919821739196777
2010-04-15,15.982894897460938
2010-04-16,15.768442153930664
2010-04-19,15.793676376342773
2010-04-20,15.781062126159668
2010-04-21,16.159503936767578
2010-04-22,16.44333839416504
2010-04-23,16.437026977539062
2010-04-26,16.53163719177246
2010-04-27,15.85675048828125
2010-04-28,15.900897026062012
2010-04-29,16.165803909301758
2010-04-30,15.59814453125
2010-05-03,16.20996856689453
2010-05-04,15.585526466369629
2010-05-05,15.566609382629395
2010-05-06,14.450204849243164
2010-05-07,14.046537399291992
2010-05-10,14.98002815246582
2010-05-11,15.030485153198242
2010-05-12,15.2449312210083
2010-05-13,14.576355934143066
2010-05-14,14.481740951538086
2010-05-17,14.645734786987305
2010-05-18,14.242056846618652
2010-05-19,14.090681076049805
