Date,PH
2010-01-04,41.681434631347656
2010-01-05,41.482669830322266
2010-01-06,41.30685043334961
2010-01-07,41.796112060546875
2010-01-08,42.981136322021484
2010-01-11,44.2043571472168
2010-01-12,44.29609298706055
2010-01-13,44.5330924987793
2010-01-14,44.94593811035156
2010-01-15,44.770103454589844
2010-01-19,46.95661163330078
2010-01-20,46.33735275268555
2010-01-21,45.5040283203125
2010-01-22,44.051456451416016
2010-01-25,43.86033630371094
2010-01-26,43.27164077758789
2010-01-27,43.883262634277344
2010-01-28,43.05757522583008
2010-01-29,42.7441291809082
2010-02-01,43.684471130371094
2010-02-02,44.448997497558594
2010-02-03,43.80680847167969
2010-02-04,41.99489974975586
2010-02-05,42.02547836303711
2010-02-08,41.69673156738281
2010-02-09,42.62181854248047
2010-02-10,42.468894958496094
2010-02-11,43.39395523071289
2010-02-12,42.87409591674805
2010-02-16,43.96457290649414
2010-02-17,44.68642807006836
2010-02-18,45.1241569519043
2010-02-19,45.30846405029297
2010-02-22,45.24702453613281
2010-02-23,44.778594970703125
2010-02-24,45.20863723754883
2010-02-25,45.23167037963867
2010-02-26,46.31447219848633
2010-03-01,47.38957977294922
2010-03-02,47.666038513183594
2010-03-03,47.92715072631836
2010-03-04,47.666038513183594
2010-03-05,48.326473236083984
2010-03-08,48.39558792114258
2010-03-09,48.63364791870117
2010-03-10,49.00994110107422
2010-03-11,48.91011428833008
2010-03-12,48.84866714477539
2010-03-15,49.02527618408203
2010-03-16,49.48605728149414
2010-03-17,50.20024871826172
2010-03-18,50.376861572265625
2010-03-19,50.000579833984375
2010-03-22,50.338462829589844
2010-03-23,51.121768951416016
2010-03-24,50.17721176147461
2010-03-25,49.754825592041016
2010-03-26,49.61662292480469
2010-03-29,50.10041427612305
2010-03-30,50.3154296875
2010-03-31,49.716434478759766
2010-04-01,50.123451232910156
2010-04-05,51.006587982177734
2010-04-06,50.929786682128906
2010-04-07,51.06801986694336
2010-04-08,51.905086517333984
2010-04-09,52.588539123535156
2010-04-12,53.35650634765625
2010-04-13,53.57150650024414
2010-04-14,54.17049789428711
2010-04-15,53.917057037353516
2010-04-16,53.04163360595703
2010-04-19,53.2873420715332
2010-04-20,52.06633758544922
2010-04-21,54.52375030517578
2010-04-22,54.093711853027344
2010-04-23,54.516075134277344
2010-04-26,54.646610260009766
2010-04-27,52.79587173461914
2010-04-28,53.0339241027832
2010-04-29,54.700374603271484
2010-04-30,53.126102447509766
2010-05-03,54.385528564453125
2010-05-04,52.20457458496094
2010-05-05,51.63629150390625
2010-05-06,49.53213882446289
2010-05-07,47.80427932739258
2010-05-10,51.981876373291016
2010-05-11,51.490386962890625
2010-05-12,53.0339241027832
2010-05-13,52.358150482177734
2010-05-14,51.03728485107422
2010-05-17,50.89139175415039
2010-05-18,50.07417678833008
2010-05-19,49.05651092529297
2010-05-20,46.0265998840332
2010-05-21,46.69734191894531
2010-05-24,45.918678283691406
2010-05-25,46.14224624633789
