Date,DHR
2010-01-04,15.20690631866455
2010-01-05,15.188691139221191
2010-01-06,15.217020988464355
2010-01-07,15.342479705810547
2010-01-08,15.556976318359375
2010-01-11,15.733030319213867
2010-01-12,15.514484405517578
2010-01-13,15.552929878234863
2010-01-14,15.617687225341797
2010-01-15,15.421398162841797
2010-01-19,15.542813301086426
2010-01-20,15.376879692077637
2010-01-21,15.117864608764648
2010-01-22,14.862903594970703
2010-01-25,15.079422950744629
2010-01-26,14.986337661743164
2010-01-27,15.012646675109863
2010-01-28,14.743508338928223
2010-01-29,14.437962532043457
2010-02-01,14.539138793945312
2010-02-02,14.786008834838867
2010-02-03,14.747560501098633
2010-02-04,14.320592880249023
2010-02-05,14.36915397644043
2010-02-08,14.195133209228516
2010-02-09,14.344877243041992
2010-02-10,14.363089561462402
2010-02-11,14.549250602722168
2010-02-12,14.555322647094727
2010-02-16,14.873016357421875
2010-02-17,15.223090171813965
2010-02-18,15.275701522827148
2010-02-19,15.36878776550293
2010-02-22,15.328316688537598
2010-02-23,15.1037015914917
2010-02-24,15.079422950744629
2010-02-25,15.085489273071289
2010-02-26,14.968122482299805
2010-03-01,15.2473726272583
2010-03-02,15.28177547454834
2010-03-03,15.235231399536133
2010-03-04,15.356648445129395
2010-03-05,15.571144104003906
2010-03-08,15.500317573547363
2010-03-09,15.692553520202637
2010-03-10,15.767428398132324
2010-03-11,15.840274810791016
2010-03-12,15.807897567749023
2010-03-15,15.787659645080566
2010-03-16,15.779566764831543
2010-03-17,15.664226531982422
2010-03-18,15.78159236907959
2010-03-19,15.5772123336792
2010-03-22,15.67434024810791
2010-03-23,15.692553520202637
2010-03-24,15.459722518920898
2010-03-25,15.481995582580566
2010-03-26,15.512365341186523
2010-03-29,15.664210319519043
2010-03-30,16.37484359741211
2010-03-31,16.178451538085938
2010-04-01,16.324228286743164
2010-04-05,16.378889083862305
2010-04-06,16.31207847595215
2010-04-07,16.27765464782715
2010-04-08,16.166301727294922
2010-04-09,16.261459350585938
2010-04-12,16.269561767578125
2010-04-13,16.040786743164062
2010-04-14,16.378889083862305
2010-04-15,16.415328979492188
2010-04-16,16.162260055541992
2010-04-19,16.18047523498535
2010-04-20,16.362695693969727
2010-04-21,16.494285583496094
2010-04-22,17.085466384887695
2010-04-23,17.291975021362305
2010-04-26,17.208969116210938
2010-04-27,16.8566951751709
2010-04-28,16.90730094909668
2010-04-29,17.21099281311035
2010-04-30,17.063196182250977
2010-05-03,17.30412483215332
2010-05-04,16.830373764038086
2010-05-05,16.692699432373047
2010-05-06,16.2513427734375
2010-05-07,16.15821075439453
2010-05-10,17.038898468017578
2010-05-11,17.051050186157227
2010-05-12,17.69891929626465
2010-05-13,17.44178581237793
2010-05-14,17.215038299560547
2010-05-17,17.087491989135742
2010-05-18,16.791906356811523
2010-05-19,16.344472885131836
2010-05-20,15.901083946228027
2010-05-21,16.17643165588379
2010-05-24,15.939553260803223
2010-05-25,15.967899322509766
2010-05-26,15.935503959655762
2010-05-27,16.297903060913086
2010-05-28,16.071151733398438
2010-06-01,15.949670791625977
2010-06-02,16.441650390625
2010-06-03,16.498334884643555
2010-06-04,15.747212409973145
2010-06-07,15.411134719848633
2010-06-08,15.522490501403809
2010-06-09,15.42530632019043
2010-06-10,15.919305801391602
2010-06-11,15.927408218383789
2010-06-14,16.059009552001953
2010-06-15,16.472015380859375
2010-06-16,16.488216400146484
2010-06-17,16.42342758178711
2010-06-18,16.48416519165039
2010-06-21,16.4072322845459
2010-06-22,16.054950714111328
2010-06-23,16.030649185180664
2010-06-24,15.70654582977295
2010-06-25,15.840239524841309
2010-06-28,15.726801872253418
2010-06-29,15.224456787109375
2010-06-30,15.038101196289062
2010-07-01,14.851737976074219
2010-07-02,14.68564510345459
2010-07-06,14.543854713439941
2010-07-07,15.074559211730957
2010-07-08,15.212303161621094
2010-07-09,15.285223960876465
2010-07-12,15.200149536132812
2010-07-13,15.431069374084473
2010-07-14,15.431069374084473
2010-07-15,15.536399841308594
2010-07-16,15.155583381652832
2010-07-19,15.269018173217773
2010-07-20,15.443218231201172
2010-07-21,15.313580513000488
2010-07-22,15.175840377807617
2010-07-23,15.41891860961914
2010-07-26,15.637677192687988
2010-07-27,15.520191192626953
2010-07-28,15.402711868286133
2010-07-29,15.50804328918457
2010-07-30,15.560702323913574
2010-08-02,15.803781509399414
2010-08-03,15.65793228149414
2010-08-04,15.95772647857666
2010-08-05,16.08330535888672
2010-08-06,15.80783462524414
2010-08-09,15.876701354980469
2010-08-10,15.767317771911621
2010-08-11,15.212303161621094
2010-08-12,15.074559211730957
2010-08-13,14.997590065002441
2010-08-16,15.070511817932129
2010-08-17,15.23255729675293
2010-08-18,15.131280899047852
2010-08-19,14.730205535888672
2010-08-20,14.718052864074707
2010-08-23,14.72615909576416
2010-08-24,14.479033470153809
2010-08-25,14.596516609191895
2010-08-26,14.53575325012207
2010-08-27,14.884151458740234
2010-08-30,14.722103118896484
2010-08-31,14.718052864074707
2010-09-01,15.39460563659668
2010-09-02,15.580964088439941
2010-09-03,15.892901420593262
2010-09-07,15.856444358825684
2010-09-08,15.969876289367676
2010-09-09,15.9982328414917
2010-09-10,16.038745880126953
2010-09-13,16.285873413085938
2010-09-14,16.281822204589844
2010-09-15,16.22510528564453
2010-09-16,16.273717880249023
2010-09-17,16.520843505859375
2010-09-20,16.662639617919922
2010-09-21,16.62618064880371
2010-09-22,16.472156524658203
2010-09-23,16.257335662841797
2010-09-24,16.711294174194336
2010-09-27,16.53700828552246
2010-09-28,16.800466537475586
