Date,NVT
2018-04-24,19.225706100463867
2018-04-25,19.66129493713379
2018-04-26,19.85773277282715
2018-04-27,19.51609992980957
2018-04-30,18.875526428222656
2018-05-01,19.405065536499023
2018-05-02,19.439224243164062
2018-05-03,20.079803466796875
2018-05-04,21.266992568969727
2018-05-07,21.642793655395508
2018-05-08,21.036386489868164
2018-05-09,20.908275604248047
2018-05-10,21.335323333740234
2018-05-11,21.856321334838867
2018-05-14,21.907567977905273
2018-05-15,21.55738639831543
2018-05-16,21.318239212036133
2018-05-17,21.343860626220703
2018-05-18,21.591552734375
2018-05-21,21.745288848876953
2018-05-22,22.21504020690918
2018-05-23,22.462730407714844
2018-05-24,22.69333839416504
2018-05-25,22.513973236083984
2018-05-29,22.71895980834961
2018-05-30,22.82999038696289
2018-05-31,23.128921508789062
2018-06-01,22.8897762298584
2018-06-04,23.598676681518555
2018-06-05,24.324661254882812
2018-06-06,24.000102996826172
2018-06-07,23.453479766845703
2018-06-08,23.470565795898438
2018-06-11,23.453479766845703
2018-06-12,23.060598373413086
2018-06-13,23.1545467376709
2018-06-14,22.83853530883789
2018-06-15,22.8897762298584
2018-06-18,22.97518539428711
2018-06-19,23.299745559692383
2018-06-20,23.12038803100586
2018-06-21,23.19725227355957
2018-06-22,22.88123893737793
2018-06-25,21.916101455688477
2018-06-26,21.625713348388672
2018-06-27,21.3267822265625
2018-06-28,21.198665618896484
2018-06-29,21.43781280517578
2018-07-02,21.147424697875977
2018-07-03,21.15595817565918
2018-07-05,21.138885498046875
2018-07-06,21.07909393310547
2018-07-09,21.856321334838867
2018-07-10,21.44635581970215
2018-07-11,20.728910446166992
2018-07-12,20.7972412109375
2018-07-13,21.343860626220703
2018-07-16,21.23282814025879
2018-07-17,20.95098114013672
2018-07-18,21.292612075805664
2018-07-19,21.63425636291504
2018-07-20,21.00222396850586
2018-07-23,21.548847198486328
2018-07-24,21.73674774169922
2018-07-25,22.915401458740234
2018-07-26,23.23141860961914
