Date,TYRA
2021-09-15,26.0
2021-09-16,20.809999465942383
2021-09-17,19.90999984741211
2021-09-20,18.549999237060547
2021-09-21,19.81999969482422
2021-09-22,18.40999984741211
2021-09-23,18.020000457763672
2021-09-24,17.610000610351562
2021-09-27,17.950000762939453
2021-09-28,17.780000686645508
2021-09-29,16.90999984741211
2021-09-30,17.59000015258789
2021-10-01,17.170000076293945
2021-10-04,14.75
2021-10-05,13.460000038146973
2021-10-06,13.739999771118164
2021-10-07,15.100000381469727
2021-10-08,16.260000228881836
2021-10-11,15.399999618530273
2021-10-12,15.65999984741211
2021-10-13,16.3799991607666
2021-10-14,16.270000457763672
2021-10-15,16.34000015258789
2021-10-18,18.229999542236328
2021-10-19,18.639999389648438
2021-10-20,21.229999542236328
2021-10-21,21.469999313354492
2021-10-22,22.979999542236328
2021-10-25,20.209999084472656
2021-10-26,20.959999084472656
2021-10-27,22.469999313354492
2021-10-28,23.760000228881836
2021-10-29,22.389999389648438
2021-11-01,23.0
2021-11-02,24.149999618530273
2021-11-03,28.959999084472656
2021-11-04,31.350000381469727
2021-11-05,28.389999389648438
2021-11-08,29.049999237060547
2021-11-09,28.190000534057617
2021-11-10,27.739999771118164
2021-11-11,28.219999313354492
2021-11-12,27.56999969482422
2021-11-15,28.3700008392334
2021-11-16,27.600000381469727
2021-11-17,26.790000915527344
2021-11-18,23.829999923706055
2021-11-19,24.0
2021-11-22,22.8799991607666
2021-11-23,19.34000015258789
2021-11-24,20.209999084472656
2021-11-26,23.8700008392334
2021-11-29,24.979999542236328
2021-11-30,25.09000015258789
2021-12-01,21.0
2021-12-02,19.09000015258789
2021-12-03,17.729999542236328
2021-12-06,18.040000915527344
2021-12-07,19.979999542236328
2021-12-08,17.260000228881836
2021-12-09,17.989999771118164
2021-12-10,17.6299991607666
2021-12-13,16.079999923706055
2021-12-14,15.050000190734863
2021-12-15,15.289999961853027
2021-12-16,13.739999771118164
2021-12-17,12.510000228881836
2021-12-20,12.229999542236328
2021-12-21,12.430000305175781
