Date,RS
2010-01-04,33.982757568359375
2010-01-05,33.7145881652832
2010-01-06,34.87664794921875
2010-01-07,34.68295669555664
2010-01-08,36.06851577758789
2010-01-11,35.345924377441406
2010-01-12,34.6978645324707
2010-01-13,34.96603012084961
2010-01-14,34.213687896728516
2010-01-15,33.11867141723633
2010-01-19,33.826332092285156
2010-01-20,34.90643310546875
2010-01-21,33.89335250854492
2010-01-22,32.239662170410156
2010-01-25,32.60466384887695
2010-01-26,31.479862213134766
2010-01-27,31.256378173828125
2010-01-28,30.690250396728516
2010-01-29,30.34760284423828
2010-02-01,31.457517623901367
2010-02-02,32.10557556152344
2010-02-03,31.435165405273438
2010-02-04,29.394113540649414
2010-02-05,30.638120651245117
2010-02-08,29.84105682373047
2010-02-09,30.906274795532227
2010-02-10,30.47422981262207
2010-02-11,31.50965118408203
2010-02-12,31.88955307006836
2010-02-16,32.80580139160156
2010-02-17,33.1707878112793
2010-02-18,32.7760009765625
2010-02-19,32.790897369384766
2010-02-22,32.91753387451172
2010-02-23,31.88955307006836
2010-02-24,32.46314239501953
2010-02-25,33.05162048339844
2010-02-26,33.02927017211914
2010-03-01,33.90081787109375
2010-03-02,34.385005950927734
2010-03-03,34.36259841918945
2010-03-04,34.66869354248047
2010-03-05,35.2584342956543
2010-03-08,35.31815719604492
2010-03-09,35.086734771728516
2010-03-10,35.31815719604492
2010-03-11,35.35548782348633
2010-03-12,35.4002685546875
2010-03-15,35.2584342956543
2010-03-16,36.094547271728516
2010-03-17,36.17667007446289
2010-03-18,35.191261291503906
2010-03-19,34.310340881347656
2010-03-22,35.72129440307617
2010-03-23,36.766422271728516
2010-03-24,36.139347076416016
2010-03-25,35.37041091918945
2010-03-26,35.95269775390625
2010-03-29,37.66972351074219
2010-03-30,36.878395080566406
2010-03-31,36.75149917602539
2010-04-01,38.05045700073242
2010-04-05,41.02908706665039
2010-04-06,40.05113983154297
2010-04-07,39.53603744506836
2010-04-08,39.356868743896484
2010-04-09,40.013816833496094
2010-04-12,39.17023468017578
2010-04-13,39.409122467041016
2010-04-14,40.02127456665039
2010-04-15,39.371803283691406
2010-04-16,38.86415481567383
2010-04-19,38.5133056640625
2010-04-20,39.610687255859375
2010-04-21,39.99142837524414
2010-04-22,37.84889602661133
2010-04-23,38.528228759765625
2010-04-26,39.08065414428711
2010-04-27,36.773887634277344
2010-04-28,37.087432861328125
2010-04-29,37.64732360839844
2010-04-30,36.43794631958008
2010-05-03,37.54281234741211
2010-05-04,36.848533630371094
2010-05-05,35.06435012817383
2010-05-06,34.48952102661133
2010-05-07,33.653419494628906
2010-05-10,35.840721130371094
2010-05-11,35.45252990722656
2010-05-12,36.102012634277344
2010-05-13,35.86311721801758
2010-05-14,34.78812789916992
2010-05-17,34.198368072509766
2010-05-18,33.586219787597656
2010-05-19,33.70566177368164
2010-05-20,31.488489151000977
2010-05-21,32.8994026184082
2010-05-24,32.369388580322266
2010-05-25,33.06364059448242
2010-05-26,32.92180633544922
2010-05-27,35.00461196899414
2010-05-28,34.34627151489258
2010-06-01,32.67048263549805
2010-06-02,34.28643798828125
2010-06-03,33.837547302246094
2010-06-04,31.9747257232666
2010-06-07,30.8525390625
2010-06-08,31.533329010009766
2010-06-09,31.66051483154297
2010-06-10,33.037071228027344
2010-06-11,33.24653625488281
2010-06-14,33.32134246826172
2010-06-15,34.121822357177734
2010-06-16,34.15925216674805
2010-06-17,33.12683868408203
2010-06-18,32.77521514892578
2010-06-21,32.64056396484375
2010-06-22,31.600666046142578
2010-06-23,31.922353744506836
2010-06-24,30.68048667907715
2010-06-25,30.912391662597656
2010-06-28,29.41614532470703
2010-06-29,27.538360595703125
2010-06-30,27.044597625732422
2010-07-01,26.894987106323242
2010-07-02,26.663068771362305
2010-07-06,26.44609260559082
2010-07-07,27.418659210205078
2010-07-08,27.500961303710938
2010-07-09,28.032129287719727
2010-07-12,27.156822204589844
2010-07-13,27.613174438476562
2010-07-14,27.860063552856445
2010-07-15,27.658071517944336
2010-07-16,26.827646255493164
2010-07-19,26.715438842773438
2010-07-20,27.403709411621094
2010-07-21,27.209190368652344
2010-07-22,29.251554489135742
2010-07-23,30.41863441467285
2010-07-26,30.8525390625
2010-07-27,30.141815185546875
2010-07-28,29.595706939697266
2010-07-29,29.520891189575195
2010-07-30,29.38623046875
2010-08-02,30.224123001098633
2010-08-03,30.149311065673828
2010-08-04,30.553298950195312
2010-08-05,30.201683044433594
2010-08-06,30.964759826660156
2010-08-09,30.508405685424805
2010-08-10,30.19420051574707
2010-08-11,28.817649841308594
2010-08-12,29.13934898376465
2010-08-13,28.69795036315918
2010-08-16,29.05705451965332
2010-08-17,29.745323181152344
2010-08-18,30.04532814025879
2010-08-19,29.362829208374023
2010-08-20,28.86031150817871
2010-08-23,27.975303649902344
2010-08-24,26.970304489135742
2010-08-25,27.30029296875
2010-08-26,27.31528663635254
2010-08-27,28.545316696166992
2010-08-30,27.5703067779541
2010-08-31,27.937807083129883
2010-09-01,29.83533477783203
2010-09-02,29.8878231048584
2010-09-03,30.427827835083008
2010-09-07,30.112836837768555
2010-09-08,30.630332946777344
2010-09-09,30.375322341918945
2010-09-10,30.465328216552734
2010-09-13,30.96785545349121
2010-09-14,30.757835388183594
2010-09-15,30.450332641601562
