Date,POWI
2010-01-04,16.034692764282227
2010-01-05,15.868441581726074
2010-01-06,15.759055137634277
2010-01-07,15.842181205749512
2010-01-08,15.964689254760742
2010-01-11,15.59718132019043
2010-01-12,15.282183647155762
2010-01-13,15.3128023147583
2010-01-14,15.356554985046387
2010-01-15,14.879674911499023
2010-01-19,14.63904094696045
2010-01-20,14.433414459228516
2010-01-21,14.219034194946289
2010-01-22,14.0221529006958
2010-01-25,14.16653060913086
2010-01-26,13.799026489257812
2010-01-27,14.039655685424805
2010-01-28,13.904027938842773
2010-01-29,13.654644012451172
2010-02-01,13.987153053283691
2010-02-02,14.009026527404785
2010-02-03,14.030900955200195
2010-02-04,14.249658584594727
2010-02-05,14.42903995513916
2010-02-08,14.376538276672363
2010-02-09,14.831543922424316
2010-02-10,14.888422012329102
2010-02-11,15.124674797058105
2010-02-12,15.395931243896484
2010-02-16,15.395931243896484
2010-02-17,15.3128023147583
2010-02-18,15.417810440063477
2010-02-19,15.59718132019043
2010-02-22,15.470305442810059
2010-02-23,15.317174911499023
2010-02-24,15.75531005859375
2010-02-25,15.729029655456543
2010-02-26,15.75531005859375
2010-03-01,16.736732482910156
2010-03-02,17.069717407226562
2010-03-03,16.903226852416992
2010-03-04,16.93389320373535
2010-03-05,16.876934051513672
2010-03-08,17.04343032836914
2010-03-09,16.903226852416992
2010-03-10,17.148574829101562
2010-03-11,17.096006393432617
2010-03-12,17.50784683227539
2010-03-15,17.608623504638672
2010-03-16,17.871505737304688
2010-03-17,18.160669326782227
2010-03-18,18.213247299194336
2010-03-19,18.116859436035156
2010-03-22,18.32278060913086
2010-03-23,18.50240707397461
2010-03-24,18.2877254486084
2010-03-25,18.357837677001953
2010-03-26,18.121238708496094
2010-03-29,17.740060806274414
2010-03-30,18.19133949279785
2010-03-31,18.051132202148438
2010-04-01,17.853979110717773
2010-04-05,18.401647567749023
2010-04-06,18.445453643798828
2010-04-07,18.392887115478516
2010-04-08,18.406028747558594
2010-04-09,18.357837677001953
2010-04-12,18.366594314575195
2010-04-13,19.019411087036133
2010-04-14,20.027124404907227
2010-04-15,20.110370635986328
2010-04-16,19.562702178955078
