Date,MDLZ
2010-01-04,12.709547996520996
2010-01-05,13.33043098449707
2010-01-06,13.423097610473633
2010-01-07,13.390670776367188
2010-01-08,13.40456485748291
2010-01-11,13.344330787658691
2010-01-12,13.571369171142578
2010-01-13,13.543561935424805
2010-01-14,13.492599487304688
2010-01-15,13.705741882324219
2010-01-19,13.626971244812012
2010-01-20,13.335061073303223
2010-01-21,13.08485221862793
2010-01-22,12.913418769836426
2010-01-25,12.8300199508667
2010-01-26,12.862454414367676
2010-01-27,13.135826110839844
2010-01-28,12.9921875
2010-01-29,12.816121101379395
2010-02-01,13.00145435333252
2010-02-02,13.205330848693848
2010-02-03,13.196063041687012
2010-02-04,13.1543607711792
2010-02-05,13.177525520324707
2010-02-08,13.14045524597168
2010-02-09,13.390670776367188
2010-02-10,13.40456485748291
2010-02-11,13.432365417480469
2010-02-12,13.478703498840332
2010-02-16,13.423097610473633
2010-02-17,13.265565872192383
2010-02-18,13.348969459533691
2010-02-19,13.39992618560791
2010-02-22,13.41383171081543
2010-02-23,13.497238159179688
2010-02-24,13.460165023803711
2010-02-25,13.348969459533691
2010-02-26,13.172895431518555
2010-03-01,13.307259559631348
2010-03-02,13.39530086517334
2010-03-03,13.423097610473633
2010-03-04,13.474068641662598
2010-03-05,13.594542503356934
2010-03-08,13.515768051147461
2010-03-09,13.543561935424805
2010-03-10,13.61307144165039
2010-03-11,13.631606101989746
2010-03-12,13.645506858825684
2010-03-15,13.696473121643066
2010-03-16,13.756705284118652
2010-03-17,13.76134204864502
2010-03-18,13.821579933166504
2010-03-19,13.728907585144043
2010-03-22,13.775242805480957
2010-03-23,14.261754989624023
2010-03-24,14.233952522277832
2010-03-25,14.271018028259277
2010-03-26,14.192249298095703
2010-03-29,14.285808563232422
2010-03-30,14.267094612121582
2010-03-31,14.145471572875977
2010-04-01,14.192249298095703
2010-04-05,14.131442070007324
2010-04-06,14.070631980895996
2010-04-07,14.06595516204834
2010-04-08,14.094023704528809
2010-04-09,14.145471572875977
2010-04-12,14.192249298095703
2010-04-13,14.337257385253906
2010-04-14,14.444849014282227
2010-04-15,14.53372573852539
2010-04-16,14.341937065124512
2010-04-19,14.402750968933105
2010-04-20,14.243708610534668
2010-04-21,14.150154113769531
2010-04-22,14.122084617614746
2010-04-23,14.075305938720703
2010-04-26,14.075305938720703
2010-04-27,13.799321174621582
2010-04-28,13.916266441345215
2010-04-29,13.991106033325195
2010-04-30,13.846098899841309
2010-05-03,13.98643684387207
2010-05-04,13.832066535949707
2010-05-05,13.916266441345215
2010-05-06,13.663668632507324
2010-05-07,14.06595516204834
2010-05-10,14.276450157165527
2010-05-11,14.206286430358887
2010-05-12,14.220321655273438
2010-05-13,14.178223609924316
2010-05-14,14.047242164611816
2010-05-17,14.290482521057129
2010-05-18,14.047242164611816
2010-05-19,14.168866157531738
2010-05-20,13.62624740600586
2010-05-21,13.88819694519043
2010-05-24,13.53269100189209
2010-05-25,13.270743370056152
2010-05-26,13.284773826599121
2010-05-27,13.593503952026367
2010-05-28,13.378324508666992
2010-06-01,13.518660545349121
2010-06-02,13.813356399536133
2010-06-03,13.69641399383545
2010-06-04,13.336228370666504
2010-06-07,13.24734878540039
2010-06-08,13.3970365524292
2010-06-09,13.509302139282227
2010-06-10,13.743188858032227
2010-06-11,13.705769538879395
2010-06-14,13.7478666305542
2010-06-15,13.897557258605957
2010-06-16,13.906909942626953
2010-06-17,14.023852348327637
2010-06-18,14.037886619567871
2010-06-21,14.005138397216797
2010-06-22,13.73383617401123
2010-06-23,13.818034172058105
2010-06-24,13.785290718078613
2010-06-25,13.71980094909668
2010-06-28,13.672550201416016
2010-06-29,13.436330795288086
2010-06-30,13.228462219238281
2010-07-01,13.228462219238281
2010-07-02,13.14341926574707
2010-07-06,13.34657096862793
2010-07-07,13.601690292358398
2010-07-08,13.715080261230469
2010-07-09,13.696175575256348
2010-07-12,13.700899124145508
2010-07-13,13.889880180358887
2010-07-14,13.852089881896973
2010-07-15,13.852089881896973
2010-07-16,13.611137390136719
2010-07-19,13.620588302612305
2010-07-20,13.800118446350098
2010-07-21,13.625310897827148
2010-07-22,13.833189010620117
2010-07-23,13.993818283081055
2010-07-26,14.04106616973877
2010-07-27,14.116653442382812
2010-07-28,14.04106616973877
2010-07-29,13.752876281738281
2010-07-30,13.800118446350098
2010-08-02,13.93239974975586
2010-08-03,13.833189010620117
2010-08-04,14.055233001708984
2010-08-05,14.012717247009277
2010-08-06,14.343422889709473
2010-08-09,14.3576021194458
2010-08-10,14.300909042358398
2010-08-11,13.974923133850098
2010-08-12,13.937124252319336
2010-08-13,13.937124252319336
2010-08-16,13.913500785827637
2010-08-17,13.82373332977295
2010-08-18,13.861533164978027
2010-08-19,13.762319564819336
2010-08-20,13.748148918151855
2010-08-23,13.771768569946289
2010-08-24,13.837911605834961
2010-08-25,13.979646682739258
2010-08-26,13.899330139160156
2010-08-27,14.17334270477295
2010-08-30,14.0316162109375
2010-08-31,14.130826950073242
2010-09-01,14.352872848510742
2010-09-02,14.338700294494629
2010-09-03,14.447365760803223
2010-09-07,14.338700294494629
2010-09-08,14.447365760803223
2010-09-09,14.522956848144531
2010-09-10,14.541853904724121
2010-09-13,14.622170448303223
2010-09-14,14.669416427612305
2010-09-15,14.92453670501709
2010-09-16,14.834771156311035
2010-09-17,14.811147689819336
2010-09-20,14.91508674621582
2010-09-21,14.938708305358887
2010-09-22,14.792251586914062
2010-09-23,14.773354530334473
2010-09-24,15.094618797302246
2010-09-27,15.023746490478516
2010-09-28,15.009441375732422
