Date,SMMT
2015-03-05,10.1899995803833
2015-03-06,10.289999961853027
2015-03-09,10.539999961853027
2015-03-10,11.479999542236328
2015-03-11,10.989999771118164
2015-03-12,10.670000076293945
2015-03-13,10.699999809265137
2015-03-16,10.760000228881836
2015-03-17,11.199999809265137
2015-03-18,11.489999771118164
2015-03-19,11.899999618530273
2015-03-20,11.819999694824219
2015-03-23,12.1899995803833
2015-03-24,12.0
2015-03-25,11.380000114440918
2015-03-26,11.600000381469727
2015-03-27,11.300000190734863
2015-03-30,12.25
2015-03-31,12.390000343322754
2015-04-01,12.569999694824219
2015-04-02,13.050000190734863
2015-04-06,13.680000305175781
2015-04-07,13.40999984741211
2015-04-08,13.600000381469727
2015-04-09,13.199999809265137
2015-04-10,13.0
2015-04-13,12.890000343322754
2015-04-14,13.029999732971191
2015-04-15,12.949999809265137
2015-04-16,12.149999618530273
2015-04-17,12.600000381469727
2015-04-20,12.050000190734863
2015-04-21,11.59000015258789
2015-04-22,11.0
2015-04-23,10.5
2015-04-24,10.300000190734863
2015-04-27,10.239999771118164
2015-04-28,10.289999961853027
2015-04-29,10.40999984741211
2015-04-30,10.4399995803833
2015-05-01,10.930000305175781
2015-05-04,11.449999809265137
2015-05-05,11.430000305175781
2015-05-06,11.050000190734863
2015-05-07,10.90999984741211
2015-05-08,10.569000244140625
2015-05-11,10.649999618530273
2015-05-12,10.300000190734863
2015-05-13,10.15999984741211
2015-05-14,10.5
2015-05-15,10.130000114440918
2015-05-18,10.25
2015-05-19,10.510000228881836
2015-05-20,11.350000381469727
2015-05-21,11.0
2015-05-22,11.180000305175781
2015-05-26,10.819999694824219
2015-05-27,10.899999618530273
2015-05-28,10.40999984741211
2015-05-29,10.380000114440918
2015-06-01,10.697999954223633
2015-06-02,10.510000228881836
2015-06-03,10.260000228881836
2015-06-04,10.770000457763672
2015-06-05,10.770000457763672
2015-06-08,10.899999618530273
2015-06-09,10.800000190734863
2015-06-10,10.982000350952148
2015-06-11,11.199999809265137
2015-06-12,11.5
2015-06-15,11.399999618530273
2015-06-16,11.5
2015-06-17,11.5
2015-06-18,12.100000381469727
2015-06-19,11.90999984741211
2015-06-22,12.399999618530273
2015-06-23,11.75
2015-06-24,11.300000190734863
2015-06-25,11.100000381469727
2015-06-26,11.170000076293945
2015-06-29,10.649999618530273
2015-06-30,10.562000274658203
2015-07-01,10.59000015258789
2015-07-02,10.989999771118164
2015-07-06,11.1899995803833
2015-07-07,10.710000038146973
2015-07-08,11.069999694824219
2015-07-09,11.210000038146973
2015-07-10,11.270000457763672
2015-07-13,11.399999618530273
2015-07-14,11.859999656677246
2015-07-15,12.149999618530273
2015-07-16,12.539999961853027
2015-07-17,12.140000343322754
2015-07-20,12.09000015258789
2015-07-21,12.59000015258789
2015-07-22,12.479999542236328
2015-07-23,12.40999984741211
2015-07-24,12.699999809265137
2015-07-27,12.765999794006348
2015-07-28,13.0
2015-07-29,12.850000381469727
2015-07-30,12.829999923706055
2015-07-31,12.949999809265137
2015-08-03,13.199999809265137
2015-08-04,13.289999961853027
2015-08-05,13.0
2015-08-06,12.720000267028809
2015-08-07,12.746999740600586
2015-08-10,12.5
2015-08-11,12.699999809265137
