Date,GBCI
2010-01-04,8.28512954711914
2010-01-05,8.237377166748047
2010-01-06,8.29110050201416
2010-01-07,8.31497573852539
2010-01-08,8.29110050201416
2010-01-11,8.279158592224121
2010-01-12,8.446295738220215
2010-01-13,8.476136207580566
2010-01-14,8.607463836669922
2010-01-15,8.482108116149902
2010-01-19,8.726844787597656
2010-01-20,8.762659072875977
2010-01-21,8.995452880859375
2010-01-22,8.738780975341797
2010-01-25,8.911884307861328
2010-01-26,8.929794311523438
2010-01-27,9.32972240447998
2010-01-28,9.186467170715332
2010-01-29,8.559706687927246
2010-02-01,8.61343002319336
2010-02-02,8.416448593139648
2010-02-03,8.428389549255371
2010-02-04,8.28512954711914
2010-02-05,8.39257526397705
2010-02-08,8.255285263061523
2010-02-09,8.350788116455078
2010-02-10,8.332881927490234
2010-02-11,8.207527160644531
2010-02-12,8.207527160644531
2010-02-16,8.320942878723145
2010-02-17,8.297067642211914
2010-02-18,8.33885383605957
2010-02-19,8.309003829956055
2010-02-22,8.31497573852539
2010-02-23,8.398544311523438
2010-02-24,8.64327621459961
2010-02-25,8.553738594055176
2010-02-26,8.655217170715332
2010-03-01,8.655217170715332
2010-03-02,8.637308120727539
2010-03-03,8.625368118286133
2010-03-04,8.577615737915039
2010-03-05,8.667152404785156
2010-03-08,8.619400024414062
2010-03-09,8.732810974121094
2010-03-10,8.720874786376953
2010-03-11,8.78056526184082
2010-03-12,8.828316688537598
2010-03-15,8.98351764678955
2010-03-16,9.120804786682129
2010-03-17,9.311816215515137
2010-03-18,9.389415740966797
2010-03-19,9.508798599243164
2010-03-22,9.514761924743652
2010-03-23,9.461044311523438
2010-03-24,9.419260025024414
2010-03-25,9.240185737609863
2010-03-26,9.144679069519043
2010-03-29,9.126773834228516
2010-03-30,8.989485740661621
2010-03-31,9.090956687927246
2010-04-01,9.120804786682129
2010-04-05,9.29987907409668
2010-04-06,9.634146690368652
2010-04-07,9.789346694946289
2010-04-08,9.986323356628418
2010-04-09,9.998360633850098
2010-04-12,10.076562881469727
2010-04-13,10.052501678466797
2010-04-14,10.491660118103027
2010-04-15,10.455562591552734
2010-04-16,10.202893257141113
2010-04-19,10.353293418884277
2010-04-20,10.377352714538574
2010-04-21,10.49767780303955
2010-04-22,10.64205265045166
2010-04-23,11.357941627502441
2010-04-26,10.996993064880371
2010-04-27,10.654088973999023
2010-04-28,10.624006271362305
2010-04-29,11.129341125488281
2010-04-30,11.123324394226074
2010-05-03,11.345908164978027
2010-05-04,10.912771224975586
2010-05-05,10.786434173583984
2010-05-06,10.1788330078125
2010-05-07,9.962262153625488
2010-05-10,10.569866180419922
2010-05-11,10.786434173583984
2010-05-12,11.063163757324219
2010-05-13,11.009020805358887
2010-05-14,10.768389701843262
2010-05-17,10.846593856811523
2010-05-18,10.50970458984375
2010-05-19,10.389389038085938
2010-05-20,9.769755363464355
2010-05-21,9.920150756835938
2010-05-24,9.607325553894043
2010-05-25,9.673500061035156
2010-05-26,9.559199333190918
2010-05-27,9.817880630493164
2010-05-28,9.541152954101562
2010-06-01,9.282470703125
2010-06-02,9.61935806274414
2010-06-03,9.805850982666016
2010-06-04,9.114023208618164
2010-06-07,9.342629432678223
2010-06-08,9.07793140411377
2010-06-09,8.9515962600708
2010-06-10,9.162149429321289
2010-06-11,9.420831680297852
2010-06-14,9.234344482421875
2010-06-15,9.462947845458984
2010-06-16,9.450909614562988
2010-06-17,9.438884735107422
2010-06-18,9.462947845458984
2010-06-21,9.378726959228516
2010-06-22,9.264423370361328
2010-06-23,9.126055717468262
2010-06-24,9.059883117675781
2010-06-25,9.180204391479492
2010-06-28,9.198249816894531
2010-06-29,8.9094877243042
2010-06-30,8.825263023376465
2010-07-01,8.801199913024902
2010-07-02,8.873394012451172
2010-07-06,8.777138710021973
2010-07-07,9.15613842010498
2010-07-08,9.168168067932129
2010-07-09,9.2955904006958
2010-07-12,9.24098014831543
2010-07-13,9.544361114501953
2010-07-14,9.356264114379883
2010-07-15,9.168169021606445
2010-07-16,8.949732780456543
2010-07-19,8.955803871154785
2010-07-20,9.204577445983887
2010-07-21,8.8405179977417
2010-07-22,9.089290618896484
2010-07-23,9.853809356689453
2010-07-26,10.13292407989502
2010-07-27,10.151123046875
2010-07-28,9.975162506103516
2010-07-29,9.987298965454102
2010-07-30,9.696049690246582
2010-08-02,9.920555114746094
2010-08-03,9.896282196044922
2010-08-04,9.993367195129395
2010-08-05,9.787065505981445
2010-08-06,9.629307746887207
2010-08-09,9.963024139404297
2010-08-10,9.732457160949707
2010-08-11,9.23491382598877
2010-08-12,9.149968147277832
2010-08-13,9.065016746520996
2010-08-16,9.174237251281738
2010-08-17,9.253116607666016
2010-08-18,9.24098014831543
2010-08-19,8.85265064239502
2010-08-20,8.755572319030762
2010-08-23,8.66455364227295
2010-08-24,8.585676193237305
2010-08-25,8.585676193237305
2010-08-26,8.573545455932617
2010-08-27,8.749503135681152
2010-08-30,8.37938117980957
2010-08-31,8.397583961486816
2010-09-01,8.646353721618652
2010-09-02,8.682760238647461
2010-09-03,8.713101387023926
2010-09-07,8.464326858520508
2010-09-08,8.549270629882812
2010-09-09,8.573545455932617
2010-09-10,8.549270629882812
2010-09-13,8.70703125
2010-09-14,8.543206214904785
2010-09-15,8.549270629882812
2010-09-16,8.482529640197754
2010-09-17,8.458259582519531
2010-09-20,8.694893836975098
2010-09-21,8.51893138885498
2010-09-22,8.458259582519531
2010-09-23,8.342977523803711
2010-09-24,8.652419090270996
2010-09-27,8.60995101928711
2010-09-28,8.725234985351562
2010-09-29,8.773776054382324
2010-09-30,8.85265064239502
2010-10-01,8.876922607421875
2010-10-04,8.70703125
2010-10-05,9.004342079162598
2010-10-06,8.92546558380127
2010-10-07,8.931588172912598
2010-10-08,9.03565788269043
2010-10-11,8.894854545593262
2010-10-12,8.907096862792969
2010-10-13,9.188700675964355
2010-10-14,9.115242004394531
2010-10-15,8.956070899963379
2010-10-18,9.231551170349121
2010-10-19,9.066263198852539
2010-10-20,8.992803573608398
2010-10-21,8.656109809875488
2010-10-22,8.356144905090332
2010-10-25,8.154128074645996
2010-10-26,8.117399215698242
2010-10-27,8.141883850097656
2010-10-28,8.007210731506348
2010-10-29,7.958232879638672
2010-11-01,7.964353561401367
2010-11-02,8.154128074645996
2010-11-03,8.264320373535156
2010-11-04,8.356144905090332
2010-11-05,8.392875671386719
2010-11-08,8.32553482055664
2010-11-09,8.160245895385742
2010-11-10,8.368389129638672
2010-11-11,8.270440101623535
