Date,CABO
2015-06-11,354.1516418457031
2015-06-12,333.84173583984375
2015-06-15,333.84173583984375
2015-06-16,333.84173583984375
2015-06-17,349.8646545410156
2015-06-18,350.75042724609375
2015-06-19,351.81341552734375
2015-06-22,372.0079650878906
2015-06-23,380.8653564453125
2015-06-24,380.8653564453125
2015-06-25,380.8653564453125
2015-06-26,380.8653564453125
2015-06-29,380.8653564453125
2015-06-30,376.8795471191406
2015-07-01,353.4076232910156
2015-07-02,354.03656005859375
2015-07-06,350.5290222167969
2015-07-07,348.8106994628906
2015-07-08,337.0215759277344
2015-07-09,338.9967956542969
2015-07-10,339.9444885253906
2015-07-13,343.5760192871094
2015-07-14,345.75482177734375
2015-07-15,349.5811767578125
2015-07-16,351.1932067871094
2015-07-17,354.1516418457031
2015-07-20,348.5892028808594
2015-07-21,354.28448486328125
2015-07-22,351.77789306640625
2015-07-23,354.727294921875
2015-07-24,374.41729736328125
2015-07-27,365.49786376953125
2015-07-28,362.80523681640625
2015-07-29,368.5005187988281
2015-07-30,365.56878662109375
2015-07-31,367.7742004394531
2015-08-03,368.9964904785156
2015-08-04,367.2427978515625
2015-08-05,369.3507385253906
2015-08-06,368.0488586425781
2015-08-07,367.9513244628906
2015-08-10,381.131103515625
2015-08-11,378.68646240234375
2015-08-12,376.9769592285156
2015-08-13,376.3924255371094
2015-08-14,375.7724304199219
2015-08-17,389.72271728515625
2015-08-18,388.8634948730469
2015-08-19,383.4162902832031
2015-08-20,376.34814453125
2015-08-21,371.78662109375
2015-08-24,363.14190673828125
2015-08-25,366.01165771484375
2015-08-26,366.622802734375
2015-08-27,368.4739990234375
2015-08-28,370.3959045410156
2015-08-31,367.8805236816406
2015-09-01,363.7972106933594
2015-09-02,359.54571533203125
2015-09-03,362.18524169921875
2015-09-04,368.1374206542969
2015-09-08,376.43670654296875
2015-09-09,378.589111328125
2015-09-10,365.6838684082031
2015-09-11,369.85577392578125
2015-09-14,372.07891845703125
2015-09-15,372.07891845703125
2015-09-16,373.7882995605469
2015-09-17,375.8697509765625
2015-09-18,375.4800720214844
2015-09-21,378.084228515625
2015-09-22,383.9743347167969
2015-09-23,385.0283203125
2015-09-24,376.00262451171875
2015-09-25,378.07525634765625
2015-09-28,379.0762634277344
2015-09-29,378.8370361328125
2015-09-30,371.494384765625
2015-10-01,379.412841796875
2015-10-02,381.7510681152344
2015-10-05,379.97955322265625
2015-10-06,368.9875793457031
2015-10-07,378.9697570800781
2015-10-08,373.74407958984375
2015-10-09,380.1213073730469
2015-10-12,388.1993103027344
2015-10-13,383.7528381347656
2015-10-14,385.3028869628906
2015-10-15,389.72271728515625
2015-10-16,392.80499267578125
2015-10-19,391.8484802246094
2015-10-20,385.2674560546875
2015-10-21,376.51641845703125
2015-10-22,373.2657470703125
2015-10-23,375.7989807128906
2015-10-26,383.0177001953125
2015-10-27,378.88134765625
2015-10-28,386.47198486328125
2015-10-29,384.496826171875
2015-10-30,383.9122009277344
2015-11-02,393.8058776855469
2015-11-03,389.3330078125
2015-11-04,389.1470031738281
2015-11-05,387.0742492675781
2015-11-06,405.62152099609375
2015-11-09,420.28045654296875
2015-11-10,434.4345703125
2015-11-11,423.8853454589844
