Date,BWIN
2019-10-24,16.3700008392334
2019-10-25,16.149999618530273
2019-10-28,15.699999809265137
2019-10-29,15.40999984741211
2019-10-30,15.75
2019-10-31,15.75
2019-11-01,16.139999389648438
2019-11-04,15.869999885559082
2019-11-05,16.059999465942383
2019-11-06,16.299999237060547
2019-11-07,16.549999237060547
2019-11-08,16.579999923706055
2019-11-11,16.760000228881836
2019-11-12,16.84000015258789
2019-11-13,17.020000457763672
2019-11-14,17.520000457763672
2019-11-15,17.469999313354492
2019-11-18,17.100000381469727
2019-11-19,16.93000030517578
2019-11-20,17.0
2019-11-21,16.899999618530273
2019-11-22,16.889999389648438
2019-11-25,17.0
2019-11-26,17.020000457763672
2019-11-27,17.25
2019-11-29,17.219999313354492
2019-12-02,16.799999237060547
2019-12-03,16.0
2019-12-04,14.8100004196167
2019-12-05,13.619999885559082
2019-12-06,14.779999732971191
2019-12-09,14.25
2019-12-10,14.479999542236328
2019-12-11,14.619999885559082
2019-12-12,14.470000267028809
2019-12-13,14.149999618530273
2019-12-16,13.619999885559082
2019-12-17,14.800000190734863
2019-12-18,15.3100004196167
2019-12-19,15.970000267028809
2019-12-20,16.020000457763672
2019-12-23,15.470000267028809
2019-12-24,15.609999656677246
2019-12-26,15.550000190734863
2019-12-27,15.5600004196167
2019-12-30,15.739999771118164
2019-12-31,16.049999237060547
2020-01-02,16.31999969482422
2020-01-03,16.68000030517578
2020-01-06,16.43000030517578
2020-01-07,16.229999542236328
2020-01-08,16.139999389648438
2020-01-09,16.100000381469727
2020-01-10,16.030000686645508
2020-01-13,16.34000015258789
2020-01-14,16.15999984741211
2020-01-15,16.219999313354492
2020-01-16,16.510000228881836
2020-01-17,16.469999313354492
2020-01-21,16.450000762939453
2020-01-22,16.459999084472656
2020-01-23,16.329999923706055
2020-01-24,16.25
2020-01-27,16.3700008392334
2020-01-28,16.3700008392334
2020-01-29,15.84000015258789
2020-01-30,15.640000343322754
2020-01-31,15.079999923706055
2020-02-03,15.859999656677246
2020-02-04,16.68000030517578
2020-02-05,16.770000457763672
2020-02-06,16.924999237060547
2020-02-07,16.989999771118164
2020-02-10,16.440000534057617
2020-02-11,16.469999313354492
2020-02-12,16.34000015258789
2020-02-13,16.84000015258789
2020-02-14,16.68000030517578
2020-02-18,16.510000228881836
2020-02-19,16.93000030517578
2020-02-20,17.309999465942383
2020-02-21,17.420000076293945
2020-02-24,17.110000610351562
2020-02-25,17.190000534057617
2020-02-26,17.170000076293945
2020-02-27,16.399999618530273
2020-02-28,15.4399995803833
2020-03-02,16.18000030517578
2020-03-03,16.079999923706055
2020-03-04,16.469999313354492
2020-03-05,16.510000228881836
2020-03-06,16.190000534057617
2020-03-09,14.510000228881836
2020-03-10,14.229999542236328
2020-03-11,14.029999732971191
2020-03-12,13.199999809265137
2020-03-13,13.479999542236328
2020-03-16,11.119999885559082
2020-03-17,11.630000114440918
2020-03-18,12.09000015258789
2020-03-19,11.5
2020-03-20,11.170000076293945
2020-03-23,10.380000114440918
2020-03-24,10.1899995803833
2020-03-25,11.569999694824219
2020-03-26,11.720000267028809
2020-03-27,11.289999961853027
2020-03-30,11.039999961853027
2020-03-31,10.550000190734863
2020-04-01,9.25
2020-04-02,9.359999656677246
2020-04-03,8.920000076293945
2020-04-06,9.949999809265137
2020-04-07,9.970000267028809
2020-04-08,10.539999961853027
2020-04-09,10.949999809265137
2020-04-13,10.6899995803833
2020-04-14,10.710000038146973
2020-04-15,10.069999694824219
2020-04-16,9.9399995803833
2020-04-17,10.229999542236328
2020-04-20,9.569999694824219
2020-04-21,9.34000015258789
2020-04-22,9.65999984741211
2020-04-23,9.539999961853027
2020-04-24,9.649999618530273
2020-04-27,9.649999618530273
2020-04-28,9.600000381469727
2020-04-29,10.039999961853027
2020-04-30,10.020000457763672
2020-05-01,10.380000114440918
2020-05-04,10.25
2020-05-05,10.244999885559082
2020-05-06,10.010000228881836
2020-05-07,10.3100004196167
2020-05-08,11.039999961853027
2020-05-11,10.489999771118164
2020-05-12,9.989999771118164
2020-05-13,9.100000381469727
2020-05-14,10.1899995803833
2020-05-15,10.829999923706055
2020-05-18,11.640000343322754
2020-05-19,11.34000015258789
2020-05-20,11.600000381469727
2020-05-21,11.979999542236328
2020-05-22,11.760000228881836
2020-05-26,12.220000267028809
2020-05-27,13.095000267028809
2020-05-28,12.4399995803833
2020-05-29,12.399999618530273
2020-06-01,12.550000190734863
2020-06-02,13.210000038146973
2020-06-03,14.279999732971191
2020-06-04,14.420000076293945
2020-06-05,14.710000038146973
2020-06-08,14.970000267028809
2020-06-09,14.920000076293945
2020-06-10,15.09000015258789
2020-06-11,14.710000038146973
2020-06-12,14.779999732971191
2020-06-15,14.59000015258789
2020-06-16,14.789999961853027
2020-06-17,14.75
2020-06-18,15.399999618530273
2020-06-19,15.869999885559082
2020-06-22,15.1899995803833
2020-06-23,14.510000228881836
2020-06-24,13.670000076293945
2020-06-25,16.540000915527344
2020-06-26,18.299999237060547
2020-06-29,16.899999618530273
2020-06-30,17.270000457763672
2020-07-01,16.610000610351562
2020-07-02,16.520000457763672
2020-07-06,17.110000610351562
2020-07-07,16.5
2020-07-08,16.350000381469727
2020-07-09,16.469999313354492
2020-07-10,16.90999984741211
2020-07-13,16.84000015258789
2020-07-14,16.709999084472656
2020-07-15,16.40999984741211
2020-07-16,16.950000762939453
2020-07-17,16.65999984741211
2020-07-20,17.139999389648438
2020-07-21,17.920000076293945
2020-07-22,17.540000915527344
2020-07-23,17.469999313354492
2020-07-24,16.950000762939453
