Date,BDC
2010-01-04,22.138381958007812
2010-01-05,24.14667320251465
2010-01-06,23.967527389526367
2010-01-07,24.042953491210938
2010-01-08,23.637527465820312
2010-01-11,23.354677200317383
2010-01-12,23.373533248901367
2010-01-13,23.524385452270508
2010-01-14,23.505531311035156
2010-01-15,23.20380973815918
2010-01-19,23.618669509887695
2010-01-20,22.968097686767578
2010-01-21,22.44009017944336
2010-01-22,21.808372497558594
2010-01-25,22.034669876098633
2010-01-26,21.930950164794922
2010-01-27,22.19495391845703
2010-01-28,21.8366641998291
2010-01-29,21.525516510009766
2010-02-01,21.94037628173828
2010-02-02,22.138381958007812
2010-02-03,22.04410171508789
2010-02-04,20.922090530395508
2010-02-05,20.54494285583496
2010-02-08,19.818944931030273
2010-02-09,20.130083084106445
2010-02-10,19.969791412353516
2010-02-11,20.130083084106445
2010-02-12,20.3375186920166
2010-02-16,20.714658737182617
2010-02-17,20.554370880126953
2010-02-18,20.60152244567871
2010-02-19,20.53551483154297
2010-02-22,20.4600772857666
2010-02-23,19.649221420288086
2010-02-24,19.37579345703125
2010-02-25,19.70579719543457
2010-02-26,19.969791412353516
2010-03-01,20.884368896484375
2010-03-02,21.468942642211914
2010-03-03,21.695234298706055
2010-03-04,21.874378204345703
2010-03-05,22.647531509399414
2010-03-08,22.722949981689453
2010-03-09,23.11894989013672
2010-03-10,23.213237762451172
2010-03-11,23.354677200317383
2010-03-12,23.316953659057617
2010-03-15,23.11894989013672
2010-03-16,22.929994583129883
2010-03-17,23.241779327392578
2010-03-18,23.156753540039062
2010-03-19,22.731597900390625
2010-03-22,23.052827835083008
2010-03-23,23.874784469604492
2010-03-24,23.86532974243164
2010-03-25,23.912580490112305
2010-03-26,24.196014404296875
2010-03-29,25.433679580688477
2010-03-30,25.547061920166016
2010-03-31,25.94387435913086
2010-04-01,26.246192932128906
2010-04-05,26.643014907836914
2010-04-06,26.539077758789062
2010-04-07,26.425710678100586
2010-04-08,26.35957908630371
2010-04-09,26.633563995361328
2010-04-12,26.340675354003906
2010-04-13,26.510744094848633
2010-04-14,27.304367065429688
2010-04-15,27.40829086303711
2010-04-16,26.82251739501953
2010-04-19,26.472944259643555
2010-04-20,27.18154525756836
2010-04-21,27.61614990234375
2010-04-22,27.975170135498047
2010-04-23,29.108909606933594
2010-04-26,29.12779998779297
2010-04-27,28.21136474609375
2010-04-28,28.324737548828125
2010-04-29,28.126331329345703
2010-04-30,25.94387435913086
2010-05-03,27.209882736206055
2010-05-04,26.31233024597168
2010-05-05,25.924972534179688
2010-05-06,25.518714904785156
2010-05-07,24.366073608398438
2010-05-10,26.00055694580078
2010-05-11,25.433679580688477
2010-05-12,26.633563995361328
2010-05-13,27.11540985107422
2010-05-14,26.17062759399414
2010-05-17,26.01000213623047
2010-05-18,25.509265899658203
2010-05-19,24.800687789916992
2010-05-20,23.374053955078125
2010-05-21,23.836997985839844
2010-05-24,23.364599227905273
2010-05-25,23.62914276123047
2010-05-26,24.054296493530273
2010-05-27,25.38644790649414
2010-05-28,24.515623092651367
2010-06-01,23.928756713867188
2010-06-02,24.193796157836914
2010-06-03,24.7427921295166
2010-06-04,23.4649600982666
2010-06-07,23.010604858398438
2010-06-08,23.228315353393555
2010-06-09,23.095802307128906
2010-06-10,23.777313232421875
2010-06-11,24.184329986572266
2010-06-14,23.938217163085938
2010-06-15,25.291793823242188
2010-06-16,25.007823944091797
2010-06-17,25.064617156982422
2010-06-18,25.064617156982422
2010-06-21,24.951038360595703
2010-06-22,25.168737411499023
2010-06-23,24.70492935180664
2010-06-24,23.559608459472656
2010-06-25,23.247251510620117
2010-06-28,22.773975372314453
2010-06-29,21.41093635559082
2010-06-30,20.824079513549805
2010-07-01,21.335216522216797
2010-07-02,21.136438369750977
2010-07-06,21.164836883544922
2010-07-07,22.18711280822754
2010-07-08,22.414283752441406
2010-07-09,22.8212947845459
2010-07-12,22.18711280822754
2010-07-13,23.966630935668945
