Date,NVRI
2010-01-04,26.64811897277832
2010-01-05,26.258928298950195
2010-01-06,26.481325149536133
2010-01-07,26.791095733642578
2010-01-08,27.39474868774414
2010-01-11,27.98250961303711
2010-01-12,27.204118728637695
2010-01-13,27.703529357910156
2010-01-14,27.815404891967773
2010-01-15,27.43185043334961
2010-01-19,27.823383331298828
2010-01-20,27.519744873046875
2010-01-21,26.464981079101562
2010-01-22,25.78577995300293
2010-01-25,25.673906326293945
2010-01-26,25.28237533569336
2010-01-27,25.010684967041016
2010-01-28,24.723024368286133
2010-01-29,23.780132293701172
2010-02-01,24.57120132446289
2010-02-02,25.07461166381836
2010-02-03,24.411392211914062
2010-02-04,22.981067657470703
2010-02-05,22.84522819519043
2010-02-08,22.933124542236328
2010-02-09,23.380605697631836
2010-02-10,23.021020889282227
2010-02-11,23.021020889282227
2010-02-12,23.396575927734375
2010-02-16,23.820083618164062
2010-02-17,24.075782775878906
2010-02-18,24.579200744628906
2010-02-19,24.71503448486328
2010-02-22,24.595176696777344
2010-02-23,23.891998291015625
2010-02-24,24.075782775878906
2010-02-25,23.89999008178711
2010-02-26,23.987882614135742
2010-03-01,24.45134925842285
2010-03-02,24.41938018798828
2010-03-03,24.25956916809082
2010-03-04,24.21162223815918
2010-03-05,24.75498390197754
2010-03-08,24.627138137817383
2010-03-09,24.75498390197754
2010-03-10,24.94676399230957
2010-03-11,25.114566802978516
2010-03-12,25.138534545898438
2010-03-15,25.10658073425293
2010-03-16,25.258398056030273
2010-03-17,25.24242401123047
2010-03-18,24.691059112548828
2010-03-19,24.47531509399414
2010-03-22,24.762977600097656
2010-03-23,25.5061092376709
2010-03-24,25.434188842773438
2010-03-25,25.22643280029297
2010-03-26,25.306339263916016
2010-03-29,25.60199737548828
2010-03-30,25.474143981933594
2010-03-31,25.52208709716797
2010-04-01,26.145360946655273
2010-04-05,26.62479591369629
2010-04-06,26.62479591369629
2010-04-07,26.441011428833008
2010-04-08,26.337133407592773
2010-04-09,26.57685089111328
2010-04-12,26.281204223632812
2010-04-13,26.55860710144043
2010-04-14,27.08125114440918
2010-04-15,27.049095153808594
2010-04-16,26.614887237548828
2010-04-19,26.33346176147461
2010-04-20,26.590768814086914
2010-04-21,26.526443481445312
2010-04-22,27.451133728027344
2010-04-23,27.901412963867188
2010-04-26,27.780803680419922
2010-04-27,27.330516815185547
2010-04-28,27.041048049926758
2010-04-29,26.245012283325195
2010-04-30,24.894168853759766
2010-05-03,24.36347770690918
2010-05-04,24.21070671081543
2010-05-05,22.996553421020508
2010-05-06,22.08794593811035
2010-05-07,21.211502075195312
2010-05-10,21.89496612548828
2010-05-11,22.15226936340332
2010-05-12,22.506067276000977
2010-05-13,22.642763137817383
2010-05-14,22.16031265258789
2010-05-17,22.063827514648438
2010-05-18,21.870847702026367
2010-05-19,21.525096893310547
2010-05-20,20.359182357788086
2010-05-21,20.857709884643555
2010-05-24,20.656694412231445
2010-05-25,20.857709884643555
2010-05-26,21.211502075195312
2010-05-27,22.3613338470459
2010-05-28,21.878889083862305
2010-06-01,21.179346084594727
2010-06-02,21.701988220214844
2010-06-03,21.806522369384766
2010-06-04,20.809465408325195
2010-06-07,20.230533599853516
2010-06-08,20.359182357788086
2010-06-09,20.16620445251465
2010-06-10,20.825550079345703
2010-06-11,20.897912979125977
2010-06-14,20.970285415649414
2010-06-15,21.33211898803711
2010-06-16,21.203466415405273
2010-06-17,20.994409561157227
2010-06-18,20.897912979125977
2010-06-21,20.8175048828125
2010-06-22,20.246618270874023
2010-06-23,20.447635650634766
2010-06-24,19.908903121948242
2010-06-25,20.142086029052734
2010-06-28,20.085800170898438
2010-06-29,19.17719078063965
2010-06-30,18.895767211914062
2010-07-01,18.895767211914062
2010-07-02,18.694753646850586
2010-07-06,18.614341735839844
2010-07-07,19.434497833251953
2010-07-08,19.80436897277832
2010-07-09,20.02147674560547
2010-07-12,19.868696212768555
2010-07-13,20.497068405151367
2010-07-14,20.40788459777832
2010-07-15,20.35112762451172
2010-07-16,19.90518569946289
2010-07-19,20.12410545349121
2010-07-20,20.805177688598633
2010-07-21,20.975444793701172
2010-07-22,21.413278579711914
2010-07-23,21.721385955810547
2010-07-26,21.97273063659668
2010-07-27,21.802459716796875
2010-07-28,21.770034790039062
2010-07-29,18.616016387939453
2010-07-30,18.778169631958008
2010-08-02,19.6700496673584
2010-08-03,19.216007232666016
2010-08-04,19.175460815429688
2010-08-05,19.110595703125
2010-08-06,18.770061492919922
2010-08-09,18.680879592895508
2010-08-10,18.624116897583008
2010-08-11,17.9916934967041
2010-08-12,17.8781795501709
2010-08-13,17.975481033325195
2010-08-16,17.643047332763672
2010-08-17,18.04844856262207
2010-08-18,18.032230377197266
2010-08-19,17.626834869384766
2010-08-20,17.561967849731445
2010-08-23,17.140356063842773
2010-08-24,16.75116729736328
2010-08-25,16.799814224243164
2010-08-26,16.45928192138672
2010-08-27,16.816030502319336
2010-08-30,16.3538761138916
2010-08-31,16.167388916015625
2010-09-01,17.740341186523438
2010-09-02,18.616016387939453
2010-09-03,18.86735725402832
2010-09-07,18.770061492919922
2010-09-08,18.891679763793945
2010-09-09,19.08627700805664
2010-09-10,19.110595703125
2010-09-13,19.661945343017578
2010-09-14,19.548437118530273
2010-09-15,19.637622833251953
2010-09-16,19.459247589111328
2010-09-17,19.532217025756836
2010-09-20,19.751134872436523
2010-09-21,19.56464958190918
2010-09-22,19.540325164794922
2010-09-23,18.83492660522461
2010-09-24,19.71059226989746
2010-09-27,19.451133728027344
2010-09-28,19.799781799316406
