Date,OLP
2010-01-04,2.8523945808410645
2010-01-05,2.9587559700012207
2010-01-06,3.1553614139556885
2010-01-07,3.2359368801116943
2010-01-08,3.2037057876586914
2010-01-11,3.3616364002227783
2010-01-12,3.303621530532837
2010-01-13,3.326183795928955
2010-01-14,3.2907297611236572
2010-01-15,3.2875070571899414
2010-01-19,3.2262675762176514
2010-01-20,3.2294921875
2010-01-21,3.2456068992614746
2010-01-22,3.2037057876586914
2010-01-25,3.1456923484802246
2010-01-26,3.0812318325042725
2010-01-27,2.9426398277282715
2010-01-28,2.9426398277282715
2010-01-29,2.920079231262207
2010-02-01,2.9329707622528076
2010-02-02,3.042555093765259
2010-02-03,3.055447578430176
2010-02-04,2.9329707622528076
2010-02-05,2.955533027648926
2010-02-08,3.013546943664551
2010-02-09,3.1166858673095703
2010-02-10,3.110238552093506
2010-02-11,3.1618080139160156
2010-02-12,3.084454298019409
2010-02-16,3.090902090072632
2010-02-17,3.090902090072632
2010-02-18,3.110238552093506
2010-02-19,3.123131275177002
2010-02-22,3.11346173286438
2010-02-23,3.132800340652466
2010-02-24,3.1650311946868896
2010-02-25,3.1714768409729004
2010-02-26,3.1714768409729004
2010-03-01,3.1618080139160156
2010-03-02,3.1747000217437744
2010-03-03,3.258498430252075
2010-03-04,3.348745346069336
2010-03-05,3.3519678115844727
2010-03-08,3.3390753269195557
2010-03-09,3.3358519077301025
2010-03-10,4.119052886962891
2010-03-11,4.0255842208862305
2010-03-12,4.012691974639893
2010-03-15,4.415572166442871
2010-03-16,4.795890808105469
2010-03-17,4.937706470489502
2010-03-18,4.9151434898376465
2010-03-19,4.750768184661865
2010-03-22,4.902251720428467
2010-03-23,5.011836051940918
2010-03-24,5.212310314178467
2010-03-25,5.2813239097595215
2010-03-26,5.287899017333984
2010-03-29,5.396350860595703
2010-03-30,5.478511810302734
2010-03-31,5.475225448608398
2010-04-01,5.468652248382568
2010-04-05,5.580392837524414
2010-04-06,5.695418357849121
2010-04-07,5.685558795928955
2010-04-08,5.8301615715026855
2010-04-09,6.0602126121521
2010-04-12,5.984622955322266
2010-04-13,5.987911224365234
2010-04-14,6.066784858703613
2010-04-15,6.050354480743408
2010-04-16,5.872884750366211
2010-04-19,5.94847297668457
2010-04-20,6.004342079162598
2010-04-21,5.971479892730713
2010-04-22,6.139087200164795
2010-04-23,6.00762939453125
2010-04-26,6.0372090339660645
2010-04-27,5.803870677947998
2010-04-28,5.632973670959473
2010-04-29,5.761146545410156
2010-04-30,5.603397369384766
2010-05-03,5.662552356719971
2010-05-04,5.494943141937256
2010-05-05,5.169587135314941
2010-05-06,5.018408298492432
2010-05-07,4.9789719581604
2010-05-10,5.343767166137695
2010-05-11,5.5573859214782715
2010-05-12,5.524523735046387
2010-05-13,5.448934555053711
2010-05-14,5.452219486236572
2010-05-17,5.442360877990723
2010-05-18,5.396350860595703
2010-05-19,5.149867057800293
2010-05-20,4.791645526885986
2010-05-21,4.837654113769531
2010-05-24,4.880377292633057
2010-05-25,4.863944053649902
2010-05-26,4.8869500160217285
2010-05-27,5.051273822784424
2010-05-28,5.041412830352783
2010-06-01,4.929675579071045
2010-06-02,4.893524169921875
2010-06-03,4.919816017150879
2010-06-04,4.673330307006836
2010-06-07,4.709481239318848
2010-06-08,4.775211334228516
2010-06-09,4.716055393218994
2010-06-10,4.765349864959717
2010-06-11,4.854085445404053
2010-06-14,4.788356781005859
2010-06-15,5.2188825607299805
2010-06-16,5.554099082946777
2010-06-17,5.5048017501831055
2010-06-18,5.655979633331299
2010-06-21,5.494943141937256
2010-06-22,5.356912612915039
2010-06-23,5.301041603088379
2010-06-24,5.280952453613281
2010-06-25,5.448388576507568
2010-06-28,5.455087184906006
2010-06-29,5.046538352966309
2010-06-30,4.992961406707764
2010-07-01,4.9025444984436035
2010-07-02,4.852313041687012
2010-07-06,4.745152950286865
2010-07-07,5.110165119171143
2010-07-08,5.324483394622803
2010-07-09,5.458432674407959
2010-07-12,5.488572120666504
2010-07-13,5.518710136413574
2010-07-14,5.3881120681762695
2010-07-15,5.3010430335998535
2010-07-16,5.069980144500732
2010-07-19,5.039841651916504
2010-07-20,5.237418174743652
2010-07-21,4.999656677246094
2010-07-22,5.153700828552246
2010-07-23,5.234067440032959
2010-07-26,5.357972621917725
2010-07-27,5.374715805053711
2010-07-28,5.254162311553955
2010-07-29,5.240765571594238
2010-07-30,5.210627555847168
2010-08-02,5.368018627166748
2010-08-03,5.334530830383301
2010-08-04,5.304391384124756
2010-08-05,5.1403045654296875
2010-08-06,5.096771717071533
2010-08-09,5.110165119171143
2010-08-10,4.9896111488342285
2010-08-11,4.915937423706055
2010-08-12,4.859010219573975
2010-08-13,4.8221755027771
2010-08-16,4.8288726806640625
2010-08-17,4.912590980529785
2010-08-18,4.946077823638916
2010-08-19,4.725062370300293
2010-08-20,4.721712589263916
2010-08-23,4.701619625091553
2010-08-24,4.701619625091553
2010-08-25,4.735105991363525
2010-08-26,4.778641700744629
2010-08-27,4.919288635253906
2010-08-30,4.7652459144592285
2010-08-31,4.8020830154418945
2010-09-01,5.063283443450928
2010-09-02,4.96951961517334
2010-09-03,5.026447296142578
2010-09-07,4.942732334136963
2010-09-08,4.92933464050293
2010-09-09,4.942732334136963
2010-09-10,4.96951961517334
2010-09-13,5.1436543464660645
2010-09-14,5.210627555847168
2010-09-15,5.250813007354736
2010-09-16,5.123561859130859
2010-09-17,5.545501232147217
2010-09-20,5.850235939025879
2010-09-21,5.679450511932373
2010-09-22,5.59238338470459
2010-09-23,5.452573776245117
