Date,STEL
2017-11-08,25.091472625732422
2017-11-09,24.899198532104492
2017-11-10,25.449798583984375
2017-11-13,25.126436233520508
2017-11-14,24.886098861694336
2017-11-15,25.065258026123047
2017-11-16,25.607118606567383
2017-11-17,25.309967041015625
2017-11-20,25.25752830505371
2017-11-21,25.28374671936035
2017-11-22,25.143918991088867
2017-11-24,24.855510711669922
2017-11-27,25.03030014038086
2017-11-28,25.248788833618164
2017-11-29,25.301231384277344
2017-11-30,25.091472625732422
2017-12-01,25.28374671936035
2017-12-04,25.039045333862305
2017-12-05,25.135177612304688
2017-12-06,25.170133590698242
2017-12-07,25.572154998779297
2017-12-08,25.082738876342773
2017-12-11,25.091472625732422
2017-12-12,25.00408172607422
2017-12-13,24.864246368408203
2017-12-14,24.899198532104492
2017-12-15,24.706932067871094
2017-12-18,24.9691219329834
2017-12-19,25.231319427490234
2017-12-20,25.406103134155273
2017-12-21,25.755685806274414
2017-12-22,25.799386978149414
2017-12-26,25.94796371459961
2017-12-27,25.650815963745117
2017-12-28,26.271326065063477
2017-12-29,25.964929580688477
2018-01-02,25.903654098510742
2018-01-03,25.70231056213379
2018-01-04,25.474695205688477
2018-01-05,25.255840301513672
2018-01-08,25.142026901245117
2018-01-09,25.29085922241211
2018-01-10,25.956172943115234
2018-01-11,26.175029754638672
2018-01-12,26.262571334838867
2018-01-16,25.404664993286133
2018-01-17,25.474695205688477
2018-01-18,25.404664993286133
2018-01-19,25.553483963012695
2018-01-22,25.42217254638672
2018-01-23,25.614763259887695
2018-01-24,25.404664993286133
2018-01-25,25.299612045288086
2018-01-26,25.185808181762695
2018-01-29,25.308368682861328
2018-01-30,25.01947784423828
2018-01-31,25.054494857788086
2018-02-01,25.26459503173828
2018-02-02,25.12453269958496
2018-02-05,25.054494857788086
2018-02-06,25.387155532836914
2018-02-07,25.16830062866211
2018-02-08,24.61678695678711
2018-02-09,24.826881408691406
2018-02-12,24.87065887451172
2018-02-13,24.765605926513672
2018-02-14,24.643049240112305
2018-02-15,24.651796340942383
2018-02-16,24.55550193786621
2018-02-20,24.415437698364258
2018-02-21,24.59927749633789
2018-02-22,24.59052276611328
2018-02-23,24.502981185913086
2018-02-26,24.432952880859375
2018-02-27,24.12655258178711
2018-02-28,24.17032241821289
2018-03-01,24.362911224365234
2018-03-02,25.16830062866211
2018-03-05,24.940692901611328
2018-03-06,24.643049240112305
2018-03-07,24.78311538696289
2018-03-08,24.74810028076172
2018-03-09,24.89691734313965
2018-03-12,25.317121505737305
2018-03-13,25.282108306884766
2018-03-14,25.26459503173828
2018-03-15,25.255840301513672
2018-03-16,25.746076583862305
2018-03-19,25.877389907836914
2018-03-20,25.737323760986328
2018-03-21,25.877389907836914
2018-03-22,25.41341209411621
2018-03-23,25.203319549560547
2018-03-26,25.789838790893555
2018-03-27,25.387155532836914
2018-03-28,25.562236785888672
2018-03-29,25.816551208496094
2018-04-02,25.52716064453125
2018-04-03,25.509624481201172
2018-04-04,25.799001693725586
2018-04-05,25.64116096496582
