Date,CTSH
2010-01-04,20.836158752441406
2010-01-05,21.072126388549805
2010-01-06,21.072126388549805
2010-01-07,20.275184631347656
2010-01-08,20.862873077392578
2010-01-11,20.693689346313477
2010-01-12,21.01424789428711
2010-01-13,21.71768569946289
2010-01-14,21.41939926147461
2010-01-15,21.334802627563477
2010-01-19,21.508434295654297
2010-01-20,20.996437072753906
2010-01-21,20.836158752441406
2010-01-22,20.110456466674805
2010-01-25,20.159427642822266
2010-01-26,20.288537979125977
2010-01-27,20.52005386352539
2010-01-28,19.838878631591797
2010-01-29,19.438175201416016
2010-02-01,19.896753311157227
2010-02-02,20.110456466674805
2010-02-03,20.110456466674805
2010-02-04,19.1977596282959
2010-02-05,19.438175201416016
2010-02-08,19.473796844482422
2010-02-09,20.698144912719727
2010-02-10,20.63135528564453
2010-02-11,20.996437072753906
2010-02-12,20.996437072753906
2010-02-16,21.11664581298828
2010-02-17,21.009796142578125
2010-02-18,21.058773040771484
2010-02-19,21.15226173400879
2010-02-22,21.072126388549805
2010-02-23,21.023149490356445
2010-02-24,21.446104049682617
2010-02-25,21.441650390625
2010-02-26,21.42829704284668
2010-03-01,22.474557876586914
2010-03-02,22.71052360534668
2010-03-03,22.189613342285156
2010-03-04,22.09612274169922
2010-03-05,22.559146881103516
2010-03-08,22.269758224487305
2010-03-09,22.389965057373047
2010-03-10,22.621479034423828
2010-03-11,22.71052360534668
2010-03-12,22.617021560668945
2010-03-15,22.63928985595703
2010-03-16,22.821819305419922
2010-03-17,22.982105255126953
2010-03-18,23.07560157775879
2010-03-19,22.8173770904541
2010-03-22,23.093406677246094
2010-03-23,23.382797241210938
2010-03-24,23.115673065185547
2010-03-25,22.910871505737305
2010-03-26,22.74614143371582
2010-03-29,22.76839828491211
2010-03-30,22.910871505737305
2010-03-31,22.69716453552246
2010-04-01,22.621479034423828
2010-04-05,23.14238166809082
2010-04-06,23.26259422302246
2010-04-07,22.75504493713379
2010-04-08,22.6570987701416
2010-04-09,23.02662467956543
2010-04-12,23.133474349975586
2010-04-13,23.89480209350586
2010-04-14,24.010555267333984
2010-04-15,23.890344619750977
2010-04-16,23.494102478027344
2010-04-19,23.17354393005371
2010-04-20,23.60540771484375
2010-04-21,23.494102478027344
2010-04-22,23.903705596923828
2010-04-23,23.743425369262695
2010-04-26,23.685544967651367
2010-04-27,22.924230575561523
2010-04-28,22.69716453552246
2010-04-29,23.17354393005371
2010-04-30,22.75504493713379
2010-05-03,23.160192489624023
2010-05-04,23.062240600585938
2010-05-05,22.701618194580078
2010-05-06,21.704326629638672
2010-05-07,21.15671157836914
2010-05-10,23.062240600585938
2010-05-11,22.893062591552734
2010-05-12,23.369447708129883
2010-05-13,23.0444393157959
2010-05-14,22.211885452270508
2010-05-17,22.007081985473633
2010-05-18,21.788923263549805
2010-05-19,21.60637855529785
2010-05-20,20.916296005249023
2010-05-21,22.033796310424805
2010-05-24,21.646451950073242
2010-05-25,21.83789825439453
2010-05-26,21.766658782958984
2010-05-27,22.599212646484375
2010-05-28,22.278657913208008
