Date,PRAX
2020-10-16,417.0
2020-10-19,408.75
2020-10-20,416.25
2020-10-21,448.79998779296875
2020-10-22,480.0
2020-10-23,464.8500061035156
2020-10-26,465.0
2020-10-27,471.1499938964844
2020-10-28,481.04998779296875
2020-10-29,512.7000122070312
2020-10-30,525.0
2020-11-02,502.3500061035156
2020-11-03,492.0
2020-11-04,493.20001220703125
2020-11-05,524.4000244140625
2020-11-06,516.0
2020-11-09,536.5499877929688
2020-11-10,419.70001220703125
2020-11-11,472.20001220703125
2020-11-12,500.25
2020-11-13,506.8500061035156
2020-11-16,472.20001220703125
2020-11-17,522.9000244140625
2020-11-18,526.3499755859375
2020-11-19,510.29998779296875
2020-11-20,518.5499877929688
2020-11-23,513.75
2020-11-24,530.25
2020-11-25,557.4000244140625
2020-11-27,612.9000244140625
2020-11-30,621.9000244140625
2020-12-01,632.7000122070312
2020-12-02,658.9500122070312
2020-12-03,629.4000244140625
2020-12-04,651.0
2020-12-07,665.4000244140625
2020-12-08,665.25
2020-12-09,639.1500244140625
2020-12-10,648.75
2020-12-11,683.0999755859375
2020-12-14,635.25
2020-12-15,660.0
2020-12-16,657.5999755859375
2020-12-17,672.5999755859375
2020-12-18,667.5
2020-12-21,735.1500244140625
2020-12-22,777.5999755859375
2020-12-23,802.0499877929688
2020-12-24,790.0499877929688
2020-12-28,837.2999877929688
2020-12-29,770.25
2020-12-30,790.6500244140625
2020-12-31,825.2999877929688
2021-01-04,811.7999877929688
2021-01-05,827.5499877929688
2021-01-06,863.0999755859375
2021-01-07,903.0
2021-01-08,884.4000244140625
2021-01-11,877.2000122070312
2021-01-12,857.7000122070312
2021-01-13,898.7999877929688
2021-01-14,897.2999877929688
2021-01-15,862.6500244140625
2021-01-19,838.7999877929688
2021-01-20,852.2999877929688
2021-01-21,812.8499755859375
2021-01-22,846.75
2021-01-25,852.5999755859375
2021-01-26,807.4500122070312
2021-01-27,782.8499755859375
2021-01-28,778.3499755859375
2021-01-29,763.3499755859375
2021-02-01,764.7000122070312
2021-02-02,785.0999755859375
2021-02-03,777.75
2021-02-04,800.7000122070312
2021-02-05,804.1500244140625
2021-02-08,817.5
2021-02-09,799.5
2021-02-10,797.25
2021-02-11,786.0
2021-02-12,787.9500122070312
2021-02-16,754.3499755859375
2021-02-17,766.2000122070312
2021-02-18,780.2999877929688
2021-02-19,750.1500244140625
2021-02-22,760.7999877929688
2021-02-23,727.9500122070312
2021-02-24,758.4000244140625
2021-02-25,680.7000122070312
2021-02-26,652.5
2021-03-01,622.6500244140625
2021-03-02,555.9000244140625
2021-03-03,533.4000244140625
2021-03-04,493.3500061035156
2021-03-05,546.2999877929688
2021-03-08,590.5499877929688
2021-03-09,602.7000122070312
2021-03-10,657.75
2021-03-11,678.75
2021-03-12,664.5
2021-03-15,629.0999755859375
2021-03-16,621.75
2021-03-17,637.6500244140625
2021-03-18,579.5999755859375
2021-03-19,509.25
2021-03-22,550.2000122070312
2021-03-23,501.29998779296875
2021-03-24,495.1499938964844
2021-03-25,483.8999938964844
2021-03-26,463.3500061035156
2021-03-29,453.8999938964844
2021-03-30,440.1000061035156
2021-03-31,491.3999938964844
2021-04-01,462.75
2021-04-05,495.75
2021-04-06,421.79998779296875
2021-04-07,421.95001220703125
2021-04-08,450.29998779296875
2021-04-09,443.1000061035156
2021-04-12,449.25
