Date,SHO
2010-01-04,5.829097270965576
2010-01-05,5.880798816680908
2010-01-06,5.8614091873168945
2010-01-07,6.042357444763184
2010-01-08,6.087594985961914
2010-01-11,6.307315826416016
2010-01-12,6.132832050323486
2010-01-13,6.223304748535156
2010-01-14,6.223304748535156
2010-01-15,6.2491559982299805
2010-01-19,6.313778877258301
2010-01-20,6.139292240142822
2010-01-21,5.984195709228516
2010-01-22,5.777398109436035
2010-01-25,5.75154972076416
2010-01-26,5.6481499671936035
2010-01-27,5.609375953674316
2010-01-28,5.493054389953613
2010-01-29,5.551215171813965
2010-02-01,5.557676792144775
2010-02-02,5.777398109436035
2010-02-03,5.557676792144775
2010-02-04,5.337954998016357
2010-02-05,5.370265483856201
2010-02-08,5.260406494140625
2010-02-09,5.273330211639404
2010-02-10,5.3056416511535645
2010-02-11,5.48012638092041
2010-02-12,5.525363445281982
2010-02-16,5.758011341094971
2010-02-17,5.7967848777771
2010-02-18,5.764474391937256
2010-02-19,5.829097270965576
2010-02-22,5.9131083488464355
2010-02-23,5.75154972076416
2010-02-24,5.835559844970703
2010-02-25,5.816173553466797
2010-02-26,5.777398109436035
2010-03-01,5.764474391937256
2010-03-02,5.712774753570557
2010-03-03,5.7967848777771
2010-03-04,5.764474391937256
2010-03-05,6.081131935119629
2010-03-08,6.106983184814453
2010-03-09,6.275003910064697
2010-03-10,6.417178153991699
2010-03-11,6.423639297485352
2010-03-12,6.443028450012207
2010-03-15,6.410714626312256
2010-03-16,6.656285762786865
2010-03-17,6.766145706176758
2010-03-18,6.772609233856201
2010-03-19,6.62397575378418
2010-03-22,6.785534381866455
2010-03-23,6.753223419189453
2010-03-24,6.934170246124268
2010-03-25,7.212052345275879
2010-03-26,7.160357475280762
2010-03-29,7.212052345275879
2010-03-30,7.224979400634766
2010-03-31,7.2185187339782715
2010-04-01,7.231443405151367
2010-04-05,7.554563522338867
2010-04-06,7.806595802307129
2010-04-07,7.489937782287598
2010-04-08,7.405926704406738
2010-04-09,7.386541366577148
2010-04-12,7.3736138343811035
2010-04-13,7.496401786804199
2010-04-14,7.6514997482299805
2010-04-15,7.3800740242004395
2010-04-16,7.1862053871154785
2010-04-19,7.276679515838623
2010-04-20,7.522250652313232
2010-04-21,7.961692810058594
2010-04-22,8.207265853881836
2010-04-23,8.336514472961426
2010-04-26,8.336514472961426
2010-04-27,7.94230842590332
2010-04-28,8.071555137634277
2010-04-29,8.58854866027832
2010-04-30,8.226654052734375
2010-05-03,8.672561645507812
2010-05-04,8.49161148071289
2010-05-05,8.090943336486816
2010-05-06,7.716122627258301
2010-05-07,7.418853759765625
2010-05-10,8.194343566894531
2010-05-11,8.097404479980469
2010-05-12,8.407601356506348
2010-05-13,8.246041297912598
2010-05-14,7.683808326721191
2010-05-17,7.625650405883789
2010-05-18,7.302527904510498
2010-05-19,7.1021928787231445
2010-05-20,6.50119161605835
2010-05-21,6.746758937835693
2010-05-24,6.539963722229004
2010-05-25,6.507652759552002
2010-05-26,6.636898994445801
2010-05-27,7.2379045486450195
2010-05-28,7.128041744232178
2010-06-01,6.753223419189453
2010-06-02,6.972945690155029
2010-06-03,7.03110408782959
2010-06-04,6.3719401359558105
2010-06-07,6.443028450012207
2010-06-08,6.649824142456055
2010-06-09,6.914784908294678
2010-06-10,7.244367599487305
2010-06-11,7.315453052520752
2010-06-14,7.399466037750244
2010-06-15,7.6967339515686035
2010-06-16,7.457624435424805
2010-06-17,7.483474254608154
2010-06-18,7.367152214050293
2010-06-21,7.477011680603027
2010-06-22,7.205591201782227
2010-06-23,7.03110408782959
2010-06-24,6.72091007232666
2010-06-25,6.772609233856201
2010-06-28,6.727372646331787
2010-06-29,6.4624152183532715
2010-06-30,6.417178153991699
2010-07-01,6.51411247253418
2010-07-02,6.19099235534668
2010-07-06,5.835559844970703
2010-07-07,5.997118949890137
2010-07-08,6.087594985961914
2010-07-09,6.1845316886901855
2010-07-12,6.171605587005615
2010-07-13,6.559350490570068
2010-07-14,6.539963722229004
2010-07-15,6.326704502105713
2010-07-16,5.919571399688721
2010-07-19,6.010045528411865
2010-07-20,6.19099235534668
2010-07-21,5.919571399688721
2010-07-22,6.281466484069824
2010-07-23,6.3008527755737305
2010-07-26,6.520576000213623
2010-07-27,6.591663360595703
2010-07-28,6.546424865722656
2010-07-29,6.4882636070251465
2010-07-30,6.669211387634277
2010-08-02,6.914784908294678
2010-08-03,6.914784908294678
2010-08-04,7.0763444900512695
2010-08-05,6.972945690155029
2010-08-06,6.8049211502075195
2010-08-09,6.856619834899902
2010-08-10,6.50119161605835
2010-08-11,6.223304748535156
2010-08-12,6.22976541519165
2010-08-13,6.06820821762085
2010-08-16,6.087594985961914
2010-08-17,6.113443851470947
2010-08-18,6.07466983795166
2010-08-19,5.77093505859375
2010-08-20,5.673998832702637
2010-08-23,5.577065467834473
2010-08-24,5.344416618347168
2010-08-25,5.454277515411377
2010-08-26,5.505978107452393
2010-08-27,5.6804633140563965
2010-08-30,5.4413533210754395
2010-08-31,5.538288116455078
2010-09-01,5.848484516143799
2010-09-02,5.958345890045166
2010-09-03,6.100517272949219
2010-09-07,5.9260334968566895
2010-09-08,6.003583908081055
2010-09-09,5.8614091873168945
2010-09-10,5.900184154510498
2010-09-13,6.100517272949219
2010-09-14,5.984195709228516
2010-09-15,6.081131935119629
2010-09-16,6.010045528411865
2010-09-17,6.0488200187683105
2010-09-20,6.320240497589111
2010-09-21,6.145755290985107
2010-09-22,5.97127103805542
2010-09-23,5.719237327575684
2010-09-24,6.16514253616333
