Date,LII
2010-01-04,32.74150466918945
2010-01-05,32.266845703125
2010-01-06,32.13592529296875
2010-01-07,32.397804260253906
2010-01-08,32.937889099121094
2010-01-11,33.01154708862305
2010-01-12,32.50417709350586
2010-01-13,32.61056900024414
2010-01-14,32.4141731262207
2010-01-15,32.119571685791016
2010-01-19,32.831512451171875
2010-01-20,32.24231719970703
2010-01-21,31.95589828491211
2010-01-22,32.05409240722656
2010-01-25,32.381446838378906
2010-01-26,32.31596374511719
2010-01-27,32.31596374511719
2010-01-28,32.078651428222656
2010-01-29,31.276683807373047
2010-02-01,31.587642669677734
2010-02-02,31.91498374938965
2010-02-03,32.831512451171875
2010-02-04,32.037742614746094
2010-02-05,33.134300231933594
2010-02-08,33.21613311767578
2010-02-09,33.731666564941406
2010-02-10,33.78895568847656
2010-02-11,34.45181655883789
2010-02-12,34.5909309387207
2010-02-16,34.83643341064453
2010-02-17,35.18830108642578
2010-02-18,35.40925598144531
2010-02-19,35.851173400878906
2010-02-22,35.712032318115234
2010-02-23,35.13922119140625
2010-02-24,35.024627685546875
2010-02-25,34.64002227783203
2010-02-26,34.53364181518555
2010-03-01,35.368350982666016
2010-03-02,35.548370361328125
2010-03-03,35.36016845703125
2010-03-04,35.42564392089844
2010-03-05,35.81842803955078
2010-03-08,36.46491622924805
2010-03-09,36.43218994140625
2010-03-10,36.12940216064453
2010-03-11,36.33397674560547
2010-03-12,36.824974060058594
2010-03-15,37.2341423034668
2010-03-16,36.898616790771484
2010-03-17,36.46491622924805
2010-03-18,36.32578659057617
2010-03-19,35.53202438354492
2010-03-22,36.284881591796875
2010-03-23,37.152320861816406
2010-03-24,36.708946228027344
2010-03-25,36.51189422607422
2010-03-26,36.65147399902344
2010-03-29,36.61042022705078
2010-03-30,37.02915573120117
2010-03-31,36.38874053955078
2010-04-01,36.758209228515625
2010-04-05,37.06198501586914
2010-04-06,36.88957214355469
2010-04-07,37.0948371887207
2010-04-08,37.50536346435547
2010-04-09,38.080101013183594
2010-04-12,39.22135543823242
2010-04-13,39.2706184387207
2010-04-14,40.017765045166016
2010-04-15,39.58259201049805
2010-04-16,39.41017532348633
2010-04-19,39.47587203979492
2010-04-20,39.557960510253906
2010-04-21,39.84532928466797
2010-04-22,40.888057708740234
2010-04-23,40.96195983886719
2010-04-26,40.99481201171875
2010-04-27,37.6038932800293
2010-04-28,37.61207962036133
2010-04-29,38.03083038330078
2010-04-30,37.1605224609375
2010-05-03,37.49714279174805
2010-05-04,36.10957336425781
2010-05-05,35.27210998535156
2010-05-06,34.5742301940918
2010-05-07,33.93382263183594
2010-05-10,36.487274169921875
2010-05-11,36.38051986694336
2010-05-12,37.52179718017578
2010-05-13,37.85020446777344
2010-05-14,36.92241287231445
2010-05-17,36.577579498291016
2010-05-18,36.4954719543457
2010-05-19,35.518428802490234
2010-05-20,34.17190933227539
2010-05-21,34.442867279052734
2010-05-24,34.59064865112305
2010-05-25,35.03401565551758
2010-05-26,35.59232711791992
2010-05-27,37.51356887817383
2010-05-28,36.741783142089844
2010-06-01,36.1177978515625
2010-06-02,36.791046142578125
2010-06-03,37.02093505859375
2010-06-04,34.968318939208984
2010-06-07,33.679283142089844
2010-06-08,34.139060974121094
2010-06-09,34.106239318847656
2010-06-10,35.70726776123047
2010-06-11,35.90432357788086
2010-06-14,35.789371490478516
2010-06-15,36.44621658325195
2010-06-16,36.31484603881836
2010-06-17,35.79759216308594
2010-06-18,35.59232711791992
2010-06-21,36.46263122558594
2010-06-22,35.57590866088867
2010-06-23,35.55947494506836
2010-06-24,35.246395111083984
2010-06-25,36.11971664428711
2010-06-28,36.17739486694336
2010-06-29,34.90037155151367
2010-06-30,34.24948501586914
2010-07-01,34.373085021972656
2010-07-02,34.21651840209961
2010-07-06,34.71910858154297
2010-07-07,35.83960723876953
2010-07-08,35.99614715576172
2010-07-09,36.44929122924805
2010-07-12,36.57288360595703
2010-07-13,37.38854217529297
2010-07-14,37.07545852661133
2010-07-15,36.548160552978516
2010-07-16,35.246395111083984
2010-07-19,35.16402053833008
2010-07-20,35.880794525146484
2010-07-21,36.1691780090332
2010-07-22,37.05073928833008
2010-07-23,37.65217971801758
2010-07-26,37.372074127197266
2010-07-27,35.806644439697266
2010-07-28,34.999229431152344
2010-07-29,35.36996841430664
2010-07-30,35.97966766357422
2010-08-02,37.33087158203125
2010-08-03,37.28144073486328
2010-08-04,37.685142517089844
2010-08-05,37.51212692260742
2010-08-06,37.660430908203125
2010-08-09,38.2618522644043
2010-08-10,37.51212692260742
2010-08-11,35.88904571533203
2010-08-12,35.131038665771484
2010-08-13,35.36996841430664
2010-08-16,35.559471130371094
2010-08-17,36.622318267822266
2010-08-18,37.06721878051758
2010-08-19,36.300994873046875
2010-08-20,36.27627182006836
2010-08-23,35.88904571533203
2010-08-24,34.93330764770508
2010-08-25,34.867408752441406
2010-08-26,34.438961029052734
2010-08-27,35.15575408935547
2010-08-30,34.79325485229492
2010-08-31,34.92509078979492
2010-09-01,35.87255096435547
2010-09-02,35.559471130371094
2010-09-03,35.954952239990234
2010-09-07,35.353511810302734
2010-09-08,35.2381706237793
2010-09-09,35.617149353027344
2010-09-10,35.28761291503906
2010-09-13,34.69438552856445
2010-09-14,34.59550857543945
2010-09-15,34.75206756591797
2010-09-16,34.46369934082031
2010-09-17,34.52136993408203
2010-09-20,35.13930130004883
2010-09-21,34.603755950927734
2010-09-22,34.191810607910156
2010-09-23,33.161930084228516
2010-09-24,34.191810607910156
2010-09-27,34.364830017089844
2010-09-28,34.282447814941406
