Date,SIGA
2010-01-04,4.452132701873779
2010-01-05,4.5985846519470215
2010-01-06,4.972036838531494
2010-01-07,4.942746639251709
2010-01-08,4.972036838531494
2010-01-11,4.818262100219727
2010-01-12,4.620552062988281
2010-01-13,4.554649353027344
2010-01-14,4.481423377990723
2010-01-15,4.349616527557373
2010-01-19,4.540003776550293
2010-01-20,4.561971664428711
2010-01-21,4.356939315795898
2010-01-22,4.327649116516113
2010-01-25,4.3349714279174805
2010-01-26,4.46677827835083
2010-01-27,4.540003776550293
2010-01-28,4.701100826263428
2010-01-29,4.569293975830078
2010-02-01,4.510713577270508
2010-02-02,4.496068477630615
2010-02-03,4.320326328277588
2010-02-04,4.034745216369629
2010-02-05,4.364262104034424
2010-02-08,4.195842266082764
2010-02-09,4.203165054321289
2010-02-10,4.3130035400390625
2010-02-11,4.364262104034424
2010-02-12,4.378907203674316
2010-02-16,4.503391265869141
2010-02-17,4.540003776550293
2010-02-18,4.613229751586914
2010-02-19,4.803616523742676
2010-02-22,4.67913293838501
2010-02-23,4.657165050506592
2010-02-24,4.7377142906188965
2010-02-25,4.869520664215088
2010-02-26,4.847552299499512
2010-03-01,4.891488075256348
2010-03-02,4.972036838531494
2010-03-03,5.1258111000061035
2010-03-04,5.140456199645996
2010-03-05,5.096520900726318
2010-03-08,5.096520900726318
2010-03-09,5.111165523529053
2010-03-10,5.221004486083984
2010-03-11,5.462650299072266
2010-03-12,5.4406819343566895
2010-03-15,5.367456436157227
2010-03-16,5.301552772521973
2010-03-17,5.2722625732421875
2010-03-18,5.257616996765137
2010-03-19,5.11848783493042
2010-03-22,5.206359386444092
2010-03-23,5.22832727432251
2010-03-24,5.177069187164307
2010-03-25,5.045262336730957
2010-03-26,4.972036838531494
2010-03-29,4.862197399139404
2010-03-30,4.818262100219727
2010-03-31,4.854875087738037
2010-04-01,4.7377142906188965
2010-04-05,4.913455963134766
2010-04-06,4.942746639251709
2010-04-07,4.90613317489624
2010-04-08,4.942746639251709
2010-04-09,4.818262100219727
2010-04-12,4.803616523742676
2010-04-13,4.6937785148620605
2010-04-14,4.913455963134766
2010-04-15,4.90613317489624
2010-04-16,4.810939311981201
2010-04-19,4.686456203460693
2010-04-20,4.818262100219727
2010-04-21,4.832907199859619
2010-04-22,5.177069187164307
2010-04-23,5.037939548492432
2010-04-26,5.11848783493042
2010-04-27,5.11848783493042
2010-04-28,5.037939548492432
2010-04-29,5.052585124969482
2010-04-30,5.030616760253906
2010-05-03,5.1258111000061035
2010-05-04,5.030616760253906
2010-05-05,5.052585124969482
2010-05-06,5.089197635650635
2010-05-07,5.1258111000061035
2010-05-10,5.3967461585998535
2010-05-11,5.484617233276367
2010-05-12,5.579810619354248
2010-05-13,5.64571475982666
2010-05-14,5.711617946624756
2010-05-17,5.675004959106445
2010-05-18,5.528553009033203
2010-05-19,5.491940021514893
2010-05-20,5.177069187164307
2010-05-21,5.2942304611206055
2010-05-24,5.0086493492126465
2010-05-25,5.221004486083984
2010-05-26,4.950069427490234
2010-05-27,5.191714286804199
2010-05-28,5.089197635650635
2010-06-01,4.898810863494873
2010-06-02,5.11848783493042
2010-06-03,5.11848783493042
2010-06-04,4.876842975616455
2010-06-07,4.649842739105225
2010-06-08,4.503391265869141
2010-06-09,4.569293975830078
2010-06-10,4.730391502380371
2010-06-11,4.767004489898682
2010-06-14,4.862197399139404
2010-06-15,5.045262336730957
2010-06-16,4.994004249572754
2010-06-17,5.0086493492126465
2010-06-18,4.979359149932861
2010-06-21,4.898810863494873
2010-06-22,4.862197399139404
2010-06-23,5.030616760253906
2010-06-24,4.810939311981201
2010-06-25,5.389423847198486
2010-06-28,5.675004959106445
2010-06-29,5.631069183349609
2010-06-30,5.638391971588135
2010-07-01,5.565166473388672
2010-07-02,5.601778984069824
2010-07-06,5.682327747344971
2010-07-07,5.601778984069824
