Date,FLNC
2021-10-28,35.0
2021-10-29,35.56999969482422
2021-11-01,36.95000076293945
2021-11-02,35.43000030517578
2021-11-03,35.810001373291016
2021-11-04,34.5
2021-11-05,34.34000015258789
2021-11-08,36.060001373291016
2021-11-09,36.439998626708984
2021-11-10,34.15999984741211
2021-11-11,37.2400016784668
2021-11-12,37.52000045776367
2021-11-15,37.61000061035156
2021-11-16,36.5099983215332
2021-11-17,35.81999969482422
2021-11-18,35.0
2021-11-19,35.79999923706055
2021-11-22,36.459999084472656
2021-11-23,36.529998779296875
2021-11-24,35.970001220703125
2021-11-26,34.369998931884766
2021-11-29,34.08000183105469
2021-11-30,31.690000534057617
2021-12-01,33.189998626708984
2021-12-02,33.7400016784668
2021-12-03,31.030000686645508
2021-12-06,32.56999969482422
2021-12-07,31.850000381469727
2021-12-08,31.6200008392334
2021-12-09,31.31999969482422
2021-12-10,32.15999984741211
2021-12-13,32.70000076293945
2021-12-14,30.540000915527344
2021-12-15,31.239999771118164
2021-12-16,30.3799991607666
2021-12-17,30.049999237060547
2021-12-20,29.709999084472656
2021-12-21,31.920000076293945
2021-12-22,32.900001525878906
2021-12-23,35.369998931884766
2021-12-27,35.09000015258789
2021-12-28,36.02000045776367
2021-12-29,33.5
2021-12-30,34.38999938964844
2021-12-31,35.560001373291016
2022-01-03,34.869998931884766
2022-01-04,34.849998474121094
2022-01-05,30.229999542236328
2022-01-06,28.059999465942383
2022-01-07,27.399999618530273
2022-01-10,26.049999237060547
2022-01-11,26.920000076293945
2022-01-12,25.81999969482422
2022-01-13,24.600000381469727
2022-01-14,24.200000762939453
2022-01-18,23.489999771118164
2022-01-19,21.93000030517578
2022-01-20,21.3700008392334
2022-01-21,20.1299991607666
2022-01-24,20.65999984741211
2022-01-25,20.790000915527344
2022-01-26,19.959999084472656
2022-01-27,17.559999465942383
2022-01-28,17.030000686645508
2022-01-31,18.700000762939453
2022-02-01,19.15999984741211
2022-02-02,17.850000381469727
2022-02-03,15.609999656677246
2022-02-04,15.470000267028809
2022-02-07,15.970000267028809
2022-02-08,15.609999656677246
2022-02-09,16.670000076293945
2022-02-10,15.210000038146973
2022-02-11,13.34000015258789
2022-02-14,12.739999771118164
2022-02-15,13.470000267028809
2022-02-16,13.59000015258789
2022-02-17,13.079999923706055
2022-02-18,12.15999984741211
2022-02-22,11.180000305175781
2022-02-23,10.829999923706055
2022-02-24,12.479999542236328
2022-02-25,12.069999694824219
2022-02-28,13.529999732971191
2022-03-01,12.180000305175781
2022-03-02,11.739999771118164
2022-03-03,10.770000457763672
2022-03-04,10.039999961853027
2022-03-07,9.850000381469727
2022-03-08,11.300000190734863
2022-03-09,11.930000305175781
2022-03-10,12.180000305175781
2022-03-11,10.880000114440918
2022-03-14,10.260000228881836
2022-03-15,11.329999923706055
2022-03-16,12.550000190734863
2022-03-17,13.59000015258789
2022-03-18,14.170000076293945
2022-03-21,14.170000076293945
2022-03-22,14.239999771118164
2022-03-23,13.579999923706055
2022-03-24,13.819999694824219
2022-03-25,13.130000114440918
2022-03-28,13.050000190734863
2022-03-29,13.90999984741211
2022-03-30,13.34000015258789
2022-03-31,13.109999656677246
2022-04-01,13.619999885559082
2022-04-04,14.4399995803833
2022-04-05,13.140000343322754
2022-04-06,12.140000343322754
2022-04-07,12.149999618530273
2022-04-08,11.539999961853027
2022-04-11,10.59000015258789
2022-04-12,10.239999771118164
2022-04-13,10.670000076293945
2022-04-14,10.069999694824219
2022-04-18,10.09000015258789
2022-04-19,10.800000190734863
2022-04-20,10.109999656677246
2022-04-21,9.380000114440918
2022-04-22,9.390000343322754
2022-04-25,9.479999542236328
2022-04-26,8.869999885559082
2022-04-27,9.100000381469727
