Date,REVG
2017-01-27,19.11379623413086
2017-01-30,19.610759735107422
2017-01-31,19.297279357910156
2017-02-01,19.304929733276367
2017-02-02,19.11379623413086
2017-02-03,19.771310806274414
2017-02-06,19.71014404296875
2017-02-07,19.71014404296875
2017-02-08,20.49763298034668
2017-02-09,21.040464401245117
2017-02-10,21.407447814941406
2017-02-13,22.06496810913086
2017-02-14,21.79737091064453
2017-02-15,21.93498420715332
2017-02-16,20.811100006103516
2017-02-17,21.093984603881836
2017-02-21,20.375301361083984
2017-02-22,21.017526626586914
2017-02-23,20.642898559570312
2017-02-24,21.20866584777832
2017-02-27,21.873830795288086
2017-02-28,21.751501083374023
2017-03-01,21.713266372680664
2017-03-02,21.330997467041016
2017-03-03,21.438032150268555
2017-03-06,21.28511619567871
2017-03-07,19.901283264160156
2017-03-08,20.25297737121582
2017-03-09,20.405885696411133
2017-03-10,19.81717872619629
2017-03-13,20.298851013183594
2017-03-14,20.038898468017578
2017-03-15,20.20709800720215
2017-03-16,20.2606201171875
2017-03-17,20.849328994750977
2017-03-20,21.139856338500977
2017-03-21,20.72699737548828
2017-03-22,21.10163116455078
2017-03-23,21.239248275756836
2017-03-24,21.28511619567871
2017-03-27,21.20866584777832
2017-03-28,21.26218032836914
2017-03-29,21.254535675048828
2017-03-30,21.330997467041016
2017-03-31,21.078691482543945
2017-04-03,21.116918563842773
2017-04-04,21.055755615234375
2017-04-05,20.856975555419922
2017-04-06,21.17043685913086
2017-04-07,21.16278648376465
2017-04-10,21.193374633789062
2017-04-11,21.078691482543945
2017-04-12,20.734649658203125
2017-04-13,20.918136596679688
2017-04-17,21.040464401245117
2017-04-18,21.300413131713867
2017-04-19,21.919696807861328
2017-04-20,21.850887298583984
2017-04-21,21.629173278808594
2017-04-24,22.09554672241211
2017-04-25,21.805017471313477
2017-04-26,21.7360782623291
2017-04-27,22.096054077148438
2017-04-28,21.598220825195312
2017-05-01,21.567584991455078
2017-05-02,21.705453872680664
2017-05-03,21.52163314819336
2017-05-04,21.644176483154297
2017-05-05,21.651836395263672
2017-05-08,21.965852737426758
