Date,EXPI
2018-02-07,5.544041633605957
2018-02-08,5.737329006195068
2018-02-09,5.727899551391602
2018-02-12,5.869330883026123
2018-02-13,5.831614971160889
2018-02-14,5.789186477661133
2018-02-15,5.704329490661621
2018-02-16,5.7986159324646
2018-02-20,6.057901859283447
2018-02-21,5.9023308753967285
2018-02-22,6.034331321716309
2018-02-23,6.034331321716309
2018-02-26,6.0107598304748535
2018-02-27,5.987187385559082
2018-02-28,6.0767598152160645
2018-03-01,6.029617786407471
2018-03-02,6.07204532623291
2018-03-05,6.036216735839844
2018-03-06,6.01547384262085
2018-03-07,6.034331321716309
2018-03-08,6.034331321716309
2018-03-09,6.053187370300293
2018-03-12,5.963616371154785
2018-03-13,5.7420430183410645
2018-03-14,5.751472473144531
2018-03-15,5.704329490661621
2018-03-16,5.725543975830078
2018-03-19,5.57232666015625
2018-03-20,5.2800397872924805
2018-03-21,4.997180461883545
2018-03-22,4.841608047485352
2018-03-23,4.752035140991211
2018-03-26,4.902894020080566
2018-03-27,5.5393266677856445
2018-03-28,5.383755683898926
2018-03-29,5.204610824584961
2018-04-02,5.289468288421631
2018-04-03,5.313040256500244
2018-04-04,5.727899551391602
2018-04-05,5.977760314941406
2018-04-06,6.128617286682129
2018-04-09,6.138046741485596
2018-04-10,6.138046741485596
2018-04-11,6.128617286682129
2018-04-12,6.07204532623291
2018-04-13,5.709043025970459
2018-04-16,5.586471080780029
2018-04-17,5.5393266677856445
2018-04-18,6.123902797698975
2018-04-19,6.60004997253418
2018-04-20,6.505763530731201
2018-04-23,6.416192531585693
2018-04-24,6.30776309967041
2018-04-25,6.4727630615234375
2018-04-26,6.60004997253418
2018-04-27,6.576478004455566
2018-04-30,6.453906059265137
2018-05-01,6.486907005310059
2018-05-02,6.458619594573975
2018-05-03,6.364333629608154
2018-05-04,6.340761661529541
2018-05-07,6.270047664642334
2018-05-08,6.142760276794434
2018-05-09,6.0107598304748535
2018-05-10,6.133331775665283
2018-05-11,6.317190647125244
2018-05-14,6.222903728485107
2018-05-15,6.958338260650635
2018-05-16,8.056777000427246
2018-05-17,8.184061050415039
2018-05-18,8.485776901245117
2018-05-21,8.74506664276123
2018-05-22,7.255340576171875
2018-05-23,8.344348907470703
2018-05-24,8.268919944763184
2018-05-25,8.12277603149414
2018-05-29,7.519342422485352
2018-05-30,7.863488674163818
2018-05-31,7.995487213134766
2018-06-01,7.9860615730285645
2018-06-04,7.434484481811523
2018-06-05,7.354341506958008
2018-06-06,7.425055027008057
2018-06-07,7.432127475738525
2018-06-08,7.227054595947266
2018-06-11,6.703765392303467
2018-06-12,6.864052772521973
2018-06-13,6.826337814331055
2018-06-14,6.689622402191162
2018-06-15,6.77683687210083
2018-06-18,6.208762168884277
2018-06-19,6.204047203063965
2018-06-20,6.1946187019348145
2018-06-21,5.944758892059326
2018-06-22,6.029617786407471
2018-06-25,5.944758892059326
2018-06-26,5.926373481750488
2018-06-27,5.737329006195068
2018-06-28,5.468613147735596
2018-06-29,5.336611747741699
2018-07-02,5.435612678527832
2018-07-03,5.553470611572266
2018-07-05,5.430897235870361
2018-07-06,5.171609878540039
2018-07-09,5.138609886169434
2018-07-10,5.176324367523193
2018-07-11,5.138609886169434
2018-07-12,5.237609386444092
2018-07-13,5.240911483764648
2018-07-16,5.251753807067871
2018-07-17,5.256467342376709
2018-07-18,5.727899551391602
2018-07-19,6.175760269165039
2018-07-20,6.548192024230957
2018-07-23,6.901766777038574
2018-07-24,6.732049942016602
2018-07-25,6.859337329864502
2018-07-26,6.878194808959961
2018-07-27,6.9536237716674805
2018-07-30,6.2747626304626465
2018-07-31,6.680192947387695
2018-08-01,6.741479396820068
2018-08-02,6.765050888061523
2018-08-03,6.807480335235596
2018-08-06,7.071481704711914
2018-08-07,7.4957709312438965
2018-08-08,7.6041998863220215
2018-08-09,7.849343776702881
2018-08-10,8.042633056640625
2018-08-13,8.047344207763672
2018-08-14,8.0143461227417
2018-08-15,7.5664849281311035
2018-08-16,7.679629325866699
2018-08-17,7.4957709312438965
2018-08-20,7.44862699508667
2018-08-21,7.377913475036621
2018-08-22,7.519342422485352
2018-08-23,7.533485412597656
2018-08-24,7.472199440002441
2018-08-27,7.580628395080566
2018-08-28,7.344912052154541
2018-08-29,7.297769546508789
2018-08-30,7.524056911468506
2018-08-31,7.6466288566589355
2018-09-04,7.359055995941162
2018-09-05,7.509914398193359
2018-09-06,7.3119120597839355
2018-09-07,7.264768600463867
2018-09-10,7.613628387451172
2018-09-11,7.618342876434326
2018-09-12,7.740915298461914
2018-09-13,8.05206298828125
2018-09-14,8.188776969909668
2018-09-17,8.377347946166992
2018-09-18,8.471635818481445
2018-09-19,8.730925559997559
2018-09-20,8.985493659973145
2018-09-21,9.00907039642334
2018-09-24,8.669636726379395
2018-09-25,8.669636726379395
2018-09-26,8.551778793334961
2018-09-27,8.669636726379395
2018-09-28,8.669636726379395
2018-10-01,7.481628894805908
2018-10-02,7.943631649017334
2018-10-03,7.542913913726807
2018-10-04,7.590056896209717
2018-10-05,7.255340576171875
2018-10-08,7.217626094818115
2018-10-09,6.9536237716674805
2018-10-10,6.64719295501709
2018-10-11,6.260618209838867
2018-10-12,6.0201873779296875
2018-10-15,5.704329490661621
2018-10-16,6.3454766273498535
2018-10-17,6.0484747886657715
2018-10-18,5.713756561279297
2018-10-19,5.732614040374756
2018-10-22,5.892901420593262
2018-10-23,5.704329490661621
2018-10-24,5.614757061004639
2018-10-25,5.2800397872924805
2018-10-26,5.020752906799316
2018-10-29,4.714322090148926
