Date,FNF
2010-01-04,4.6182661056518555
2010-01-05,4.438422203063965
2010-01-06,4.533435344696045
2010-01-07,4.4587812423706055
2010-01-08,4.455389499664307
2010-01-11,4.492716312408447
2010-01-12,4.4961090087890625
2010-01-13,4.6013007164001465
2010-01-14,4.580939769744873
2010-01-15,4.5470075607299805
2010-01-19,4.574153423309326
2010-01-20,4.54361629486084
2010-01-21,4.516469478607178
2010-01-22,4.397704124450684
2010-01-25,4.42824125289917
2010-01-26,4.44181489944458
2010-01-27,4.499502182006836
2010-01-28,4.404489517211914
2010-01-29,4.37734317779541
2010-02-01,4.343409538269043
2010-02-02,4.418063163757324
2010-02-03,4.54361629486084
2010-02-04,4.455389499664307
2010-02-05,4.560582160949707
2010-02-08,4.513073444366455
2010-02-09,4.553794860839844
2010-02-10,4.611482620239258
2010-02-11,4.648807525634766
2010-02-12,4.682740688323975
2010-02-16,4.750603675842285
2010-02-17,4.784538745880127
2010-02-18,4.8490118980407715
2010-02-19,4.910090446472168
2010-02-22,4.906695365905762
2010-02-23,4.838830947875977
2010-02-24,4.8727641105651855
2010-02-25,4.859189987182617
2010-02-26,4.835437774658203
2010-03-01,4.8150787353515625
2010-03-02,4.86937141418457
2010-03-03,4.913482189178467
2010-03-04,4.886337757110596
2010-03-05,4.913482189178467
2010-03-08,4.889731407165527
2010-03-09,4.835437774658203
2010-03-10,4.818472385406494
2010-03-11,4.770965099334717
2010-03-12,4.699706077575684
2010-03-15,4.751163005828857
2010-03-16,4.884950160980225
2010-03-17,5.059902667999268
2010-03-18,5.121652126312256
2010-03-19,5.049611568450928
2010-03-22,5.125082015991211
2010-03-23,5.162815093994141
2010-03-24,5.083915710449219
2010-03-25,5.059902667999268
2010-03-26,5.0804853439331055
2010-03-29,5.070195198059082
2010-03-30,5.03931999206543
2010-03-31,5.083915710449219
2010-04-01,5.063331604003906
2010-04-05,5.131943225860596
2010-04-06,5.107929229736328
2010-04-07,5.011877536773682
2010-04-08,4.981001377105713
2010-04-09,5.018738269805908
2010-04-12,5.056471824645996
2010-04-13,5.032458782196045
2010-04-14,5.0804853439331055
2010-04-15,5.107929229736328
2010-04-16,5.059902667999268
2010-04-19,5.159385681152344
2010-04-20,5.300034999847412
2010-04-21,5.317187786102295
2010-04-22,5.210842609405518
2010-04-23,5.296602725982666
2010-04-26,5.361782073974609
2010-04-27,5.176538467407227
2010-04-28,5.337769508361816
2010-04-29,5.327477931976318
2010-04-30,5.207411766052246
2010-05-03,5.2657294273376465
2010-05-04,5.18339729309082
2010-05-05,5.118218421936035
2010-05-06,4.967280387878418
2010-05-07,4.8815202713012695
2010-05-10,5.0804853439331055
2010-05-11,5.118218421936035
