Date,UPST
2020-12-16,29.469999313354492
2020-12-17,35.77000045776367
2020-12-18,44.09000015258789
2020-12-21,41.099998474121094
2020-12-22,47.84000015258789
2020-12-23,46.31999969482422
2020-12-24,43.959999084472656
2020-12-28,42.630001068115234
2020-12-29,40.75
2020-12-30,38.869998931884766
2020-12-31,40.75
2021-01-04,43.9900016784668
2021-01-05,48.369998931884766
2021-01-06,52.13999938964844
2021-01-07,55.38999938964844
2021-01-08,52.72999954223633
2021-01-11,54.709999084472656
2021-01-12,62.47999954223633
2021-01-13,57.880001068115234
2021-01-14,60.63999938964844
2021-01-15,56.0
2021-01-19,54.279998779296875
2021-01-20,55.220001220703125
2021-01-21,63.77000045776367
2021-01-22,64.47000122070312
2021-01-25,67.36000061035156
2021-01-26,64.44999694824219
2021-01-27,64.69999694824219
2021-01-28,65.1500015258789
2021-01-29,62.189998626708984
2021-02-01,70.25
2021-02-02,75.47000122070312
2021-02-03,79.75
2021-02-04,75.75
2021-02-05,75.23999786376953
2021-02-08,76.0
2021-02-09,80.25
2021-02-10,91.04000091552734
2021-02-11,95.12999725341797
2021-02-12,102.18000030517578
2021-02-16,92.27999877929688
2021-02-17,87.23999786376953
2021-02-18,82.31999969482422
2021-02-19,89.7300033569336
2021-02-22,77.01000213623047
2021-02-23,73.05999755859375
2021-02-24,74.51000213623047
2021-02-25,68.5199966430664
2021-02-26,65.63999938964844
2021-03-01,66.6500015258789
2021-03-02,60.36000061035156
2021-03-03,57.58000183105469
2021-03-04,54.91999816894531
2021-03-05,51.15999984741211
2021-03-08,46.869998931884766
2021-03-09,53.2400016784668
2021-03-10,52.9900016784668
2021-03-11,59.2400016784668
2021-03-12,58.0
2021-03-15,62.93000030517578
2021-03-16,60.04999923706055
2021-03-17,60.790000915527344
2021-03-18,115.08999633789062
2021-03-19,125.27999877929688
2021-03-22,164.8699951171875
2021-03-23,118.4800033569336
2021-03-24,112.27999877929688
2021-03-25,123.7300033569336
2021-03-26,142.9499969482422
2021-03-29,134.49000549316406
2021-03-30,129.27999877929688
2021-03-31,128.86000061035156
2021-04-01,144.27999877929688
2021-04-05,140.52000427246094
2021-04-06,144.3000030517578
2021-04-07,126.06999969482422
2021-04-08,123.33000183105469
2021-04-09,127.29000091552734
2021-04-12,112.45999908447266
2021-04-13,110.45999908447266
2021-04-14,104.51000213623047
2021-04-15,110.4000015258789
2021-04-16,104.6500015258789
2021-04-19,97.55000305175781
2021-04-20,91.79000091552734
2021-04-21,100.61000061035156
2021-04-22,101.44000244140625
2021-04-23,107.37999725341797
2021-04-26,111.23999786376953
2021-04-27,116.33000183105469
2021-04-28,113.75
2021-04-29,108.55999755859375
2021-04-30,109.0199966430664
2021-05-03,114.19999694824219
2021-05-04,107.36000061035156
2021-05-05,98.19000244140625
2021-05-06,92.04000091552734
2021-05-07,95.97000122070312
2021-05-10,88.20999908447266
2021-05-11,89.44000244140625
2021-05-12,91.81999969482422
2021-05-13,84.05000305175781
2021-05-14,103.36000061035156
2021-05-17,115.0
2021-05-18,119.48999786376953
2021-05-19,132.91000366210938
2021-05-20,139.0800018310547
2021-05-21,153.85000610351562
2021-05-24,139.77000427246094
2021-05-25,133.6999969482422
2021-05-26,146.5800018310547
2021-05-27,166.8300018310547
2021-05-28,148.22000122070312
2021-06-01,144.49000549316406
2021-06-02,157.13999938964844
2021-06-03,164.8300018310547
2021-06-04,164.0399932861328
2021-06-07,170.0
2021-06-08,162.00999450683594
2021-06-09,152.42999267578125
2021-06-10,146.4199981689453
2021-06-11,125.50499725341797
2021-06-14,124.69000244140625
2021-06-15,123.02999877929688
2021-06-16,119.01000213623047
2021-06-17,126.30999755859375
2021-06-18,123.86000061035156
2021-06-21,121.3499984741211
2021-06-22,119.6500015258789
2021-06-23,125.13999938964844
2021-06-24,123.41999816894531
2021-06-25,122.19999694824219
2021-06-28,123.88999938964844
2021-06-29,122.93000030517578
2021-06-30,124.9000015258789
2021-07-01,123.91999816894531
2021-07-02,121.20999908447266
2021-07-06,120.0
2021-07-07,117.4000015258789
2021-07-08,119.75
2021-07-09,120.0
2021-07-12,129.89999389648438
2021-07-13,119.37999725341797
2021-07-14,113.12999725341797
2021-07-15,113.08999633789062
2021-07-16,113.79000091552734
2021-07-19,115.27999877929688
2021-07-20,117.62999725341797
2021-07-21,119.1500015258789
