Date,WULF
2010-01-04,4.780599117279053
2010-01-05,4.780599117279053
2010-01-06,4.780599117279053
2010-01-07,4.780599117279053
2010-01-08,4.780599117279053
2010-01-11,4.780599117279053
2010-01-12,4.955129146575928
2010-01-13,4.955129146575928
2010-01-14,4.955129146575928
2010-01-15,4.856481552124023
2010-01-19,4.8109517097473145
2010-01-20,4.803363800048828
2010-01-21,4.803363800048828
2010-01-22,4.803363800048828
2010-01-25,4.803363800048828
2010-01-26,4.803363800048828
2010-01-27,4.803363800048828
2010-01-28,4.818540096282959
2010-01-29,4.818540096282959
2010-02-01,4.8109517097473145
2010-02-02,4.8109517097473145
2010-02-03,5.228305339813232
2010-02-04,4.86406946182251
2010-02-05,4.788187026977539
2010-02-08,4.788187026977539
2010-02-09,4.788187026977539
2010-02-10,4.788187026977539
2010-02-11,4.788187026977539
2010-02-12,4.788187026977539
2010-02-16,4.788187026977539
2010-02-17,4.803363800048828
2010-02-18,4.803363800048828
2010-02-19,4.856481552124023
2010-02-22,4.856481552124023
2010-02-23,4.856481552124023
2010-02-24,4.856481552124023
2010-02-25,4.89442253112793
2010-02-26,4.89442253112793
2010-03-01,5.2434821128845215
2010-03-02,5.2434821128845215
2010-03-03,5.2434821128845215
2010-03-04,5.2434821128845215
2010-03-05,5.228305339813232
2010-03-08,5.228305339813232
2010-03-09,5.433188438415527
2010-03-10,5.433188438415527
2010-03-11,5.433188438415527
2010-03-12,4.856481552124023
2010-03-15,5.0689520835876465
2010-03-16,5.0689520835876465
2010-03-17,5.0689520835876465
2010-03-18,5.0689520835876465
2010-03-19,5.235894203186035
2010-03-22,5.1296586990356445
2010-03-23,5.106893539428711
2010-03-24,5.106893539428711
2010-03-25,5.106893539428711
2010-03-26,5.106893539428711
2010-03-29,5.106893539428711
2010-03-30,5.106893539428711
2010-03-31,5.106893539428711
2010-04-01,5.266247272491455
2010-04-05,5.273835182189941
2010-04-06,5.273835182189941
2010-04-07,5.175188064575195
2010-04-08,5.266247272491455
2010-04-09,5.273835182189941
2010-04-12,5.266247272491455
2010-04-13,5.266247272491455
2010-04-14,5.266247272491455
2010-04-15,5.266247272491455
2010-04-16,5.266247272491455
