Date,GCO
2010-01-04,28.3799991607666
2010-01-05,28.719999313354492
2010-01-06,29.100000381469727
2010-01-07,29.360000610351562
2010-01-08,28.8700008392334
2010-01-11,28.469999313354492
2010-01-12,26.079999923706055
2010-01-13,25.360000610351562
2010-01-14,25.579999923706055
2010-01-15,24.979999542236328
2010-01-19,25.469999313354492
2010-01-20,25.260000228881836
2010-01-21,24.719999313354492
2010-01-22,24.700000762939453
2010-01-25,24.459999084472656
2010-01-26,23.920000076293945
2010-01-27,23.8799991607666
2010-01-28,23.639999389648438
2010-01-29,23.579999923706055
2010-02-01,23.170000076293945
2010-02-02,23.09000015258789
2010-02-03,22.780000686645508
2010-02-04,22.059999465942383
2010-02-05,21.729999542236328
2010-02-08,21.8799991607666
2010-02-09,21.670000076293945
2010-02-10,21.200000762939453
2010-02-11,21.200000762939453
2010-02-12,21.299999237060547
2010-02-16,21.350000381469727
2010-02-17,21.68000030517578
2010-02-18,23.040000915527344
2010-02-19,23.270000457763672
2010-02-22,23.170000076293945
2010-02-23,22.950000762939453
2010-02-24,23.440000534057617
2010-02-25,24.1200008392334
2010-02-26,23.93000030517578
2010-03-01,25.56999969482422
2010-03-02,25.860000610351562
2010-03-03,25.809999465942383
2010-03-04,27.610000610351562
2010-03-05,28.170000076293945
2010-03-08,28.530000686645508
2010-03-09,28.260000228881836
2010-03-10,28.75
2010-03-11,29.06999969482422
2010-03-12,29.43000030517578
2010-03-15,29.719999313354492
2010-03-16,29.239999771118164
2010-03-17,29.239999771118164
2010-03-18,29.09000015258789
2010-03-19,29.0
2010-03-22,29.25
2010-03-23,30.6200008392334
2010-03-24,29.920000076293945
2010-03-25,29.389999389648438
2010-03-26,30.610000610351562
2010-03-29,30.920000076293945
2010-03-30,31.209999084472656
2010-03-31,31.010000228881836
2010-04-01,31.34000015258789
2010-04-05,32.290000915527344
2010-04-06,32.47999954223633
2010-04-07,31.93000030517578
2010-04-08,31.899999618530273
2010-04-09,32.0
2010-04-12,33.18000030517578
2010-04-13,33.849998474121094
2010-04-14,34.790000915527344
2010-04-15,34.189998626708984
2010-04-16,33.880001068115234
2010-04-19,33.72999954223633
2010-04-20,33.5099983215332
2010-04-21,33.869998931884766
2010-04-22,34.81999969482422
2010-04-23,34.75
2010-04-26,34.349998474121094
2010-04-27,34.0099983215332
2010-04-28,33.70000076293945
2010-04-29,34.560001373291016
2010-04-30,33.290000915527344
2010-05-03,33.939998626708984
2010-05-04,32.70000076293945
2010-05-05,31.68000030517578
2010-05-06,30.510000228881836
2010-05-07,29.389999389648438
2010-05-10,30.709999084472656
2010-05-11,31.459999084472656
2010-05-12,32.470001220703125
2010-05-13,31.219999313354492
2010-05-14,30.43000030517578
2010-05-17,30.639999389648438
2010-05-18,29.59000015258789
2010-05-19,29.510000228881836
2010-05-20,28.440000534057617
2010-05-21,28.809999465942383
2010-05-24,28.809999465942383
2010-05-25,28.84000015258789
2010-05-26,28.979999542236328
2010-05-27,29.90999984741211
2010-05-28,31.1200008392334
2010-06-01,30.540000915527344
2010-06-02,31.559999465942383
2010-06-03,30.959999084472656
2010-06-04,29.440000534057617
2010-06-07,28.84000015258789
2010-06-08,28.399999618530273
2010-06-09,29.260000228881836
2010-06-10,30.43000030517578
2010-06-11,30.760000228881836
2010-06-14,30.469999313354492
2010-06-15,30.770000457763672
2010-06-16,30.100000381469727
2010-06-17,29.649999618530273
