Date,PNFP
2010-01-04,12.75562572479248
2010-01-05,11.971067428588867
2010-01-06,11.724241256713867
2010-01-07,12.702737808227539
2010-01-08,12.782068252563477
2010-01-11,12.45590877532959
2010-01-12,12.535240173339844
2010-01-13,12.614580154418945
2010-01-14,12.746810913085938
2010-01-15,12.526429176330566
2010-01-19,12.808512687683105
2010-01-20,12.746810913085938
2010-01-21,13.055341720581055
2010-01-22,12.84377384185791
2010-01-25,12.976005554199219
2010-01-26,12.976005554199219
2010-01-27,13.548995018005371
2010-01-28,13.716483116149902
2010-01-29,13.32861328125
2010-02-01,13.390318870544434
2010-02-02,13.55781078338623
2010-02-03,12.561688423156738
2010-02-04,11.882915496826172
2010-02-05,12.050407409667969
2010-02-08,11.547938346862793
2010-02-09,11.715426445007324
2010-02-10,12.050407409667969
2010-02-11,12.314861297607422
2010-02-12,12.579320907592773
2010-02-16,12.84377384185791
2010-02-17,12.544057846069336
2010-02-18,12.614580154418945
2010-02-19,12.782068252563477
2010-02-22,13.152310371398926
2010-02-23,12.931930541992188
2010-02-24,13.310981750488281
2010-02-25,13.346245765686035
2010-02-26,13.319798469543457
2010-03-01,13.310981750488281
2010-03-02,13.310981750488281
2010-03-03,13.593069076538086
2010-03-04,13.601884841918945
2010-03-05,14.077905654907227
2010-03-08,14.20132064819336
2010-03-09,13.83108139038086
2010-03-10,13.936863899230957
2010-03-11,13.980939865112305
2010-03-12,14.2542085647583
2010-03-15,14.095539093017578
2010-03-16,14.271842002868652
2010-03-17,14.739046096801758
2010-03-18,14.598003387451172
2010-03-19,14.650896072387695
2010-03-22,14.880091667175293
2010-03-23,14.76549243927002
2010-03-24,14.598003387451172
2010-03-25,14.659707069396973
2010-03-26,13.62833309173584
2010-03-29,13.346245765686035
2010-03-30,13.469657897949219
2010-03-31,13.319798469543457
2010-04-01,13.73411750793457
2010-04-05,14.104353904724121
2010-04-06,15.047581672668457
2010-04-07,15.021135330200195
2010-04-08,15.461894035339355
2010-04-09,15.550048828125
2010-04-12,15.717535018920898
2010-04-13,15.514791488647461
2010-04-14,16.149484634399414
2010-04-15,16.687217712402344
2010-04-16,16.070144653320312
2010-04-19,15.814519882202148
2010-04-20,14.75667953491211
2010-04-21,14.033830642700195
2010-04-22,14.333550453186035
2010-04-23,14.589186668395996
2010-04-26,13.87515926361084
2010-04-27,13.249277114868164
2010-04-28,13.672403335571289
2010-04-29,13.980939865112305
2010-04-30,13.469657897949219
2010-05-03,13.416764259338379
2010-05-04,13.081787109375
2010-05-05,12.914299964904785
2010-05-06,12.358941078186035
2010-05-07,11.988702774047852
2010-05-10,12.87022876739502
2010-05-11,13.37269115447998
2010-05-12,13.637146949768066
2010-05-13,13.522546768188477
2010-05-14,13.25809383392334
2010-05-17,13.310981750488281
2010-05-18,12.896668434143066
2010-05-19,12.896668434143066
