Date,SPOK
2010-01-04,4.096612453460693
2010-01-05,4.174046993255615
2010-01-06,4.081862926483154
2010-01-07,4.1445488929748535
2010-01-08,4.074490547180176
2010-01-11,4.033927917480469
2010-01-12,3.91593337059021
2010-01-13,3.9085617065429688
2010-01-14,3.9601805210113525
2010-01-15,4.015492916107178
2010-01-19,4.159295558929443
2010-01-20,4.011806011199951
2010-01-21,3.974930763244629
2010-01-22,4.011806011199951
2010-01-25,4.026556015014648
2010-01-26,3.9085617065429688
2010-01-27,4.00811767578125
2010-01-28,3.904871940612793
2010-01-29,3.831125497817993
2010-02-01,3.9122467041015625
2010-02-02,3.893810272216797
2010-02-03,3.893810272216797
2010-02-04,3.856936454772949
2010-02-05,3.8532490730285645
2010-02-08,3.897498846054077
2010-02-09,3.9269959926605225
2010-02-10,4.063427925109863
2010-02-11,4.063427925109863
2010-02-12,4.1224236488342285
2010-02-16,4.18142032623291
2010-02-17,4.188795566558838
2010-02-18,4.2072319984436035
2010-02-19,4.236730575561523
2010-02-22,4.258856296539307
2010-02-23,4.321540355682373
2010-02-24,4.266229629516602
2010-02-25,4.177731990814209
2010-02-26,4.1519246101379395
2010-03-01,4.262542247772217
2010-03-02,4.310478687286377
2010-03-03,4.439535617828369
2010-03-04,4.513278961181641
2010-03-05,4.553840637207031
2010-03-08,4.708709239959717
2010-03-09,4.6312737464904785
2010-03-10,4.705019950866699
2010-03-11,4.712393283843994
2010-03-12,4.727146148681641
2010-03-15,4.648171424865723
2010-03-16,4.715860366821289
2010-03-17,4.749707221984863
2010-03-18,4.776034355163574
2010-03-19,4.670734405517578
2010-03-22,4.81740140914917
2010-03-23,4.832441806793213
2010-03-24,4.870048999786377
2010-03-25,4.806117057800293
2010-03-26,4.81364107131958
2010-03-29,4.81364107131958
2010-03-30,4.8286824226379395
2010-03-31,4.764751434326172
2010-04-01,4.847487926483154
2010-04-05,4.918936252593994
2010-04-06,4.896374702453613
2010-04-07,4.907657146453857
2010-04-08,4.990390777587891
2010-04-09,4.9791083335876465
2010-04-12,5.039278507232666
2010-04-13,5.122013092041016
2010-04-14,5.234834671020508
2010-04-15,5.249875545501709
2010-04-16,5.1295366287231445
2010-04-19,5.249875545501709
2010-04-20,5.208507537841797
2010-04-21,5.238593578338623
2010-04-22,5.208507537841797
2010-04-23,5.272441387176514
2010-04-26,5.238593578338623
2010-04-27,5.253637790679932
2010-04-28,5.246115207672119
2010-04-29,5.392779350280762
2010-04-30,5.246115207672119
2010-05-03,5.35141134262085
2010-05-04,5.125774383544922
2010-05-05,5.10697078704834
2010-05-06,4.960306167602539
2010-05-07,4.915177822113037
2010-05-10,5.140815734863281
2010-05-11,5.264919281005859
2010-05-12,5.490558624267578
2010-05-13,5.595855236053467
2010-05-14,5.607138156890869
2010-05-17,5.712437152862549
