Date,VICR
2010-01-04,9.219070434570312
2010-01-05,9.035270690917969
2010-01-06,8.967554092407227
2010-01-07,9.141681671142578
2010-01-08,9.596346855163574
2010-01-11,9.37385082244873
2010-01-12,9.044944763183594
2010-01-13,9.112659454345703
2010-01-14,9.19005012512207
2010-01-15,8.996575355529785
2010-01-19,9.180376052856445
2010-01-20,8.899837493896484
2010-01-21,8.51288890838623
2010-01-22,8.570930480957031
2010-01-25,8.822447776794434
2010-01-26,8.696688652038574
2010-01-27,8.68701457977295
2010-01-28,8.358108520507812
2010-01-29,8.377455711364746
2010-02-01,8.396803855895996
2010-02-02,8.261370658874512
2010-02-03,8.096918106079102
2010-02-04,7.806704998016357
2010-02-05,8.10659122467041
2010-02-08,8.067896842956543
2010-02-09,8.474193572998047
2010-02-10,8.8031005859375
2010-02-11,9.325482368469238
2010-02-12,9.19005012512207
2010-02-16,9.19005012512207
2010-02-17,9.315808296203613
2010-02-18,9.460914611816406
2010-02-19,9.228744506835938
2010-02-22,8.996575355529785
2010-02-23,8.78375244140625
2010-02-24,8.89016342163086
2010-02-25,9.132007598876953
2010-02-26,9.199723243713379
2010-03-01,9.286787986755371
2010-03-02,9.644715309143066
2010-03-03,9.751126289367676
2010-03-04,9.944601058959961
2010-03-05,9.896232604980469
2010-03-08,9.828516006469727
2010-03-09,10.021990776062012
2010-03-10,11.772937774658203
2010-03-11,11.579463005065918
2010-03-12,11.415009498596191
2010-03-15,11.269903182983398
2010-03-16,11.405335426330566
2010-03-17,12.392057418823242
2010-03-18,12.856395721435547
2010-03-19,12.556509971618652
2010-03-22,13.088565826416016
2010-03-23,13.659316062927246
2010-03-24,13.378777503967285
2010-03-25,13.136934280395508
2010-03-26,13.117587089538574
2010-03-29,13.340083122253418
2010-03-30,13.533557891845703
2010-03-31,13.359430313110352
2010-04-01,13.36910343170166
2010-04-05,13.794748306274414
2010-04-06,13.746379852294922
2010-04-07,13.77540111541748
2010-04-08,13.59160041809082
2010-04-09,13.340083122253418
2010-04-12,13.562579154968262
2010-04-13,13.920507431030273
2010-04-14,14.597668647766113
2010-04-15,14.646037101745605
2010-04-16,14.47191047668457
2010-04-19,14.462235450744629
2010-04-20,14.617015838623047
2010-04-21,14.597668647766113
2010-04-22,14.47191047668457
2010-04-23,15.41993522644043
2010-04-26,15.120051383972168
2010-04-27,14.849185943603516
2010-04-28,15.023313522338867
2010-04-29,15.516674041748047
2010-04-30,14.626689910888672
2010-05-03,15.410262107849121
2010-05-04,14.820164680480957
2010-05-05,14.046266555786133
2010-05-06,12.749984741210938
2010-05-07,12.111518859863281
2010-05-10,12.71129035949707
2010-05-11,13.088565826416016
2010-05-12,13.51421070098877
2010-05-13,13.446494102478027
2010-05-14,13.059544563293457
2010-05-17,12.982154846191406
2010-05-18,12.788680076599121
2010-05-19,12.450098991394043
2010-05-20,11.511746406555176
2010-05-21,11.93739128112793
2010-05-24,11.608484268188477
2010-05-25,11.444029808044434
2010-05-26,11.38598918914795
2010-05-27,12.324339866638184
2010-05-28,11.801959037780762
2010-06-01,11.163492202758789
2010-06-02,11.34729290008545
2010-06-03,11.821307182312012
2010-06-04,10.902301788330078
2010-06-07,10.805563926696777
2010-06-08,10.74752140045166
2010-06-09,10.863606452941895
2010-06-10,11.366640090942383
2010-06-11,11.598810195922852
2010-06-14,11.560114860534668
2010-06-15,12.005106925964355
2010-06-16,11.985759735107422
2010-06-17,11.840653419494629
2010-06-18,11.947065353393555
2010-06-21,11.966412544250488
2010-06-22,11.676199913024902
2010-06-23,11.656852722167969
2010-06-24,11.31827163696289
2010-06-25,11.598810195922852
2010-06-28,12.41140365600586
2010-06-29,12.150214195251465
2010-06-30,12.082496643066406
2010-07-01,12.005106925964355
2010-07-02,12.043802261352539
2010-07-06,11.927717208862305
2010-07-07,12.469447135925293
2010-07-08,13.011176109313965
2010-07-09,13.398126602172852
2010-07-12,13.136934280395508
2010-07-13,13.901159286499023
2010-07-14,13.752960205078125
2010-07-15,13.288599014282227
2010-07-16,12.83411979675293
2010-07-19,13.2391996383667
2010-07-20,13.575119018554688
2010-07-21,13.258959770202637
2010-07-22,14.385279655456543
2010-07-23,15.066999435424805
2010-07-26,15.353519439697266
2010-07-27,15.531359672546387
2010-07-28,15.165800094604492
2010-07-29,15.205320358276367
2010-07-30,15.551119804382324
2010-08-02,15.699319839477539
2010-08-03,15.590639114379883
2010-08-04,15.50171947479248
2010-08-05,15.195439338684082
2010-08-06,15.709198951721191
2010-08-09,15.738840103149414
2010-08-10,15.234959602355957
2010-08-11,14.177800178527832
2010-08-12,13.802359580993652
2010-08-13,13.347880363464355
2010-08-16,13.782599449157715
2010-08-17,13.930800437927246
2010-08-18,14.049360275268555
2010-08-19,13.357760429382324
2010-08-20,13.357760429382324
2010-08-23,13.12063980102539
2010-08-24,13.02184009552002
2010-08-25,13.318239212036133
2010-08-26,12.992198944091797
2010-08-27,13.565238952636719
2010-08-30,13.268839836120605
2010-08-31,13.298480033874512
2010-09-01,14.00984001159668
2010-09-02,13.970319747924805
2010-09-03,14.365519523620605
2010-09-07,13.881400108337402
2010-09-08,14.069119453430176
2010-09-09,13.980198860168457
2010-09-10,13.723320007324219
2010-09-13,13.980198860168457
2010-09-14,13.782599449157715
2010-09-15,13.891280174255371
2010-09-16,13.74307918548584
2010-09-17,13.723320007324219
2010-09-20,14.167920112609863
2010-09-21,14.098759651184082
2010-09-22,14.00984001159668
2010-09-23,13.624519348144531
2010-09-24,14.256839752197266
2010-09-27,13.950559616088867
2010-09-28,14.138279914855957
