Date,WNS
2010-01-04,15.180000305175781
2010-01-05,15.199999809265137
2010-01-06,15.220000267028809
2010-01-07,15.010000228881836
2010-01-08,15.380000114440918
2010-01-11,15.0600004196167
2010-01-12,15.25
2010-01-13,15.0600004196167
2010-01-14,15.100000381469727
2010-01-15,15.15999984741211
2010-01-19,15.069999694824219
2010-01-20,15.050000190734863
2010-01-21,15.050000190734863
2010-01-22,15.050000190734863
2010-01-25,15.0
2010-01-26,15.300000190734863
2010-01-27,15.220000267028809
2010-01-28,15.100000381469727
2010-01-29,15.369999885559082
2010-02-01,15.449999809265137
2010-02-02,15.15999984741211
2010-02-03,15.260000228881836
2010-02-04,15.130000114440918
2010-02-05,14.949999809265137
2010-02-08,15.029999732971191
2010-02-09,15.0
2010-02-10,15.109999656677246
2010-02-11,15.239999771118164
2010-02-12,15.0600004196167
2010-02-16,15.34000015258789
2010-02-17,15.359999656677246
2010-02-18,15.15999984741211
2010-02-19,15.100000381469727
2010-02-22,15.050000190734863
2010-02-23,15.029999732971191
2010-02-24,15.0
2010-02-25,14.890000343322754
2010-02-26,14.90999984741211
2010-03-01,15.0
2010-03-02,14.899999618530273
2010-03-03,14.789999961853027
2010-03-04,14.600000381469727
2010-03-05,14.550000190734863
2010-03-08,14.609999656677246
2010-03-09,14.399999618530273
2010-03-10,14.239999771118164
2010-03-11,14.050000190734863
2010-03-12,13.960000038146973
2010-03-15,13.630000114440918
2010-03-16,13.420000076293945
2010-03-17,12.760000228881836
2010-03-18,11.800000190734863
2010-03-19,12.260000228881836
2010-03-22,11.989999771118164
2010-03-23,11.859999656677246
2010-03-24,11.8100004196167
2010-03-25,11.75
2010-03-26,11.420000076293945
2010-03-29,10.880000114440918
2010-03-30,10.890000343322754
2010-03-31,10.729999542236328
2010-04-01,11.069999694824219
2010-04-05,11.399999618530273
2010-04-06,11.430000305175781
2010-04-07,11.75
2010-04-08,11.710000038146973
2010-04-09,11.869999885559082
2010-04-12,11.859999656677246
2010-04-13,12.739999771118164
2010-04-14,12.75
2010-04-15,13.039999961853027
2010-04-16,13.029999732971191
2010-04-19,12.890000343322754
2010-04-20,13.210000038146973
2010-04-21,13.100000381469727
2010-04-22,13.010000228881836
2010-04-23,12.739999771118164
2010-04-26,12.279999732971191
2010-04-27,12.210000038146973
2010-04-28,12.199999809265137
2010-04-29,12.300000190734863
2010-04-30,12.260000228881836
2010-05-03,12.149999618530273
2010-05-04,12.010000228881836
2010-05-05,11.25
2010-05-06,11.010000228881836
2010-05-07,11.0
2010-05-10,11.0
2010-05-11,10.640000343322754
2010-05-12,10.59000015258789
2010-05-13,10.170000076293945
2010-05-14,10.569999694824219
2010-05-17,11.0600004196167
2010-05-18,10.949999809265137
2010-05-19,11.130000114440918
2010-05-20,11.0
2010-05-21,10.979999542236328
2010-05-24,10.880000114440918
2010-05-25,10.890000343322754
2010-05-26,10.819999694824219
2010-05-27,11.0
2010-05-28,10.9399995803833
2010-06-01,10.600000381469727
2010-06-02,10.390000343322754
2010-06-03,10.25
2010-06-04,10.109999656677246
2010-06-07,10.079999923706055
2010-06-08,10.069999694824219
2010-06-09,9.979999542236328
2010-06-10,10.149999618530273
2010-06-11,10.40999984741211
2010-06-14,10.390000343322754
2010-06-15,10.850000381469727
2010-06-16,10.699999809265137
2010-06-17,10.619999885559082
2010-06-18,12.649999618530273
2010-06-21,10.789999961853027
2010-06-22,10.5
2010-06-23,10.359999656677246
2010-06-24,10.359999656677246
2010-06-25,10.640000343322754
2010-06-28,11.850000381469727
2010-06-29,12.020000457763672
2010-06-30,11.739999771118164
2010-07-01,10.350000381469727
2010-07-02,10.100000381469727
2010-07-06,9.729999542236328
2010-07-07,10.069999694824219
2010-07-08,10.270000457763672
2010-07-09,10.239999771118164
2010-07-12,9.960000038146973
2010-07-13,10.109999656677246
2010-07-14,10.050000190734863
2010-07-15,10.0
2010-07-16,9.630000114440918
2010-07-19,9.300000190734863
2010-07-20,9.149999618530273
2010-07-21,9.130000114440918
2010-07-22,9.390000343322754
2010-07-23,9.390000343322754
2010-07-26,9.539999961853027
2010-07-27,9.670000076293945
2010-07-28,9.5
2010-07-29,9.1899995803833
2010-07-30,8.960000038146973
2010-08-02,8.960000038146973
2010-08-03,8.989999771118164
2010-08-04,9.069999694824219
2010-08-05,8.960000038146973
2010-08-06,8.859999656677246
2010-08-09,9.050000190734863
2010-08-10,8.989999771118164
2010-08-11,8.960000038146973
2010-08-12,8.75
2010-08-13,8.829999923706055
2010-08-16,9.100000381469727
2010-08-17,8.819999694824219
2010-08-18,8.619999885559082
2010-08-19,8.600000381469727
2010-08-20,8.989999771118164
2010-08-23,9.0
2010-08-24,9.0
2010-08-25,8.989999771118164
2010-08-26,9.069999694824219
2010-08-27,9.069999694824219
2010-08-30,8.989999771118164
2010-08-31,9.079999923706055
2010-09-01,9.050000190734863
2010-09-02,8.760000228881836
2010-09-03,8.989999771118164
2010-09-07,8.979999542236328
2010-09-08,8.850000381469727
2010-09-09,8.90999984741211
2010-09-10,9.050000190734863
2010-09-13,8.9399995803833
2010-09-14,9.100000381469727
2010-09-15,9.0
2010-09-16,9.0
2010-09-17,9.0
2010-09-20,9.100000381469727
2010-09-21,9.0
2010-09-22,8.920000076293945
2010-09-23,9.210000038146973
2010-09-24,9.09000015258789
2010-09-27,9.0
2010-09-28,8.899999618530273
2010-09-29,8.899999618530273
2010-09-30,8.920000076293945
2010-10-01,9.039999961853027
2010-10-04,8.979999542236328
2010-10-05,8.84000015258789
2010-10-06,8.920000076293945
