Date,TIPT
2010-10-15,3.3528316020965576
2010-10-18,2.950213670730591
2010-10-19,3.2972981929779053
2010-10-20,3.2972981929779053
2010-10-21,2.950213670730591
2010-10-22,2.950213670730591
2010-10-25,2.950213670730591
2010-10-26,3.262590169906616
2010-10-27,2.984921932220459
2010-10-28,2.984921932220459
2010-10-29,3.3320059776306152
2010-11-01,2.991863965988159
2010-11-02,3.2556469440460205
2010-11-03,3.262590169906616
2010-11-04,3.262590169906616
2010-11-05,3.2278809547424316
2010-11-08,3.1237552165985107
2010-11-09,3.1237552165985107
2010-11-10,3.0543406009674072
2010-11-11,3.1931731700897217
2010-11-12,3.1931731700897217
2010-11-15,3.158464193344116
2010-11-16,3.158464193344116
2010-11-17,3.158464193344116
2010-11-18,3.158464193344116
2010-11-19,3.1931731700897217
2010-11-22,3.1931731700897217
2010-11-23,3.0196311473846436
2010-11-24,3.0543406009674072
2010-11-26,3.4291903972625732
2010-11-29,3.061281204223633
2010-11-30,3.0543406009674072
2010-12-01,3.3320059776306152
2010-12-02,3.089047431945801
2010-12-03,3.089047431945801
2010-12-06,3.089047431945801
2010-12-07,3.0543406009674072
2010-12-08,3.0196311473846436
2010-12-09,3.0196311473846436
2010-12-10,3.0196311473846436
2010-12-13,2.984921932220459
2010-12-14,2.8460888862609863
2010-12-15,2.8460888862609863
2010-12-16,3.3320059776306152
2010-12-17,3.262590169906616
2010-12-20,3.1445815563201904
2010-12-21,3.151522397994995
2010-12-22,3.151522397994995
2010-12-23,3.151522397994995
2010-12-27,3.151522397994995
2010-12-28,3.1931731700897217
2010-12-29,3.1931731700897217
2010-12-30,3.2278809547424316
2010-12-31,3.2972981929779053
2011-01-03,3.2972981929779053
2011-01-04,3.574965476989746
2011-01-05,3.574965476989746
2011-01-06,3.574965476989746
2011-01-07,3.3667163848876953
2011-01-10,3.3667163848876953
2011-01-11,3.4708399772644043
2011-01-12,3.4708399772644043
2011-01-13,3.4708399772644043
2011-01-14,3.4708399772644043
2011-01-18,3.4708399772644043
2011-01-19,3.40836501121521
2011-01-20,3.748506546020508
2011-01-21,3.4708399772644043
2011-01-24,3.644383192062378
2011-01-25,3.4916653633117676
2011-01-26,3.5124895572662354
2011-01-27,3.54719877243042
2011-01-28,3.5402567386627197
2011-01-31,3.5402567386627197
2011-02-01,3.5402567386627197
2011-02-02,3.713799238204956
2011-02-03,3.5402567386627197
2011-02-04,3.5402567386627197
2011-02-07,3.5402567386627197
2011-02-08,3.54719877243042
2011-02-09,3.5541398525238037
2011-02-10,3.6096744537353516
2011-02-11,3.6096744537353516
2011-02-14,3.5541398525238037
2011-02-15,3.5541398525238037
2011-02-16,3.5541398525238037
2011-02-17,3.5541398525238037
2011-02-18,3.5541398525238037
2011-02-22,3.6096744537353516
2011-02-23,3.6096744537353516
2011-02-24,3.6096744537353516
2011-02-25,3.6096744537353516
2011-02-28,3.5541398525238037
2011-03-01,3.6790902614593506
2011-03-02,3.6790902614593506
2011-03-03,3.6790902614593506
2011-03-04,3.713799238204956
2011-03-07,3.748506546020508
2011-03-08,3.748506546020508
2011-03-09,3.748506546020508
2011-03-10,3.8179237842559814
2011-03-11,3.8179237842559814
2011-03-14,3.713799238204956
2011-03-15,3.713799238204956
2011-03-16,3.713799238204956
2011-03-17,3.713799238204956
2011-03-18,3.713799238204956
2011-03-21,3.6096744537353516
2011-03-22,3.5957906246185303
2011-03-23,3.5402567386627197
2011-03-24,3.5402567386627197
2011-03-25,3.5402567386627197
2011-03-28,3.574965476989746
2011-03-29,3.574965476989746
2011-03-30,3.574965476989746
2011-03-31,3.574965476989746
2011-04-01,3.574965476989746
2011-04-04,3.574965476989746
2011-04-05,3.6096744537353516
2011-04-06,3.6096744537353516
2011-04-07,3.6096744537353516
2011-04-08,3.6096744537353516
2011-04-11,3.644383192062378
2011-04-12,3.644383192062378
2011-04-13,3.644383192062378
2011-04-14,3.644383192062378
2011-04-15,3.644383192062378
2011-04-18,3.644383192062378
2011-04-19,3.644383192062378
2011-04-20,3.9567580223083496
2011-04-21,4.060882568359375
2011-04-25,4.165008544921875
2011-04-26,4.199717044830322
2011-04-27,4.199717044830322
2011-04-28,4.269134044647217
2011-04-29,4.338551044464111
2011-05-02,4.581509590148926
2011-05-03,4.65092658996582
2011-05-04,4.65092658996582
2011-05-05,4.685633659362793
2011-05-06,4.581509590148926
2011-05-09,4.269134044647217
2011-05-10,4.303840160369873
2011-05-11,4.616217613220215
2011-05-12,4.928591251373291
2011-05-13,4.893885135650635
2011-05-16,4.893885135650635
2011-05-17,4.720343112945557
2011-05-18,4.720343112945557
2011-05-19,4.928591251373291
2011-05-20,5.094883918762207
2011-05-23,4.84721565246582
2011-05-24,4.84721565246582
2011-05-25,4.84721565246582
2011-05-26,5.1231889724731445
2011-05-27,5.1231889724731445
2011-05-31,5.1231889724731445
2011-06-01,5.052425384521484
2011-06-02,5.052425384521484
2011-06-03,5.052425384521484
2011-06-06,5.059503555297852
2011-06-07,5.094883918762207
2011-06-08,4.741071701049805
2011-06-09,4.776454448699951
2011-06-10,4.776454448699951
2011-06-13,4.776454448699951
2011-06-14,4.776454448699951
2011-06-15,4.776454448699951
2011-06-16,4.84721565246582
2011-06-17,4.705692768096924
2011-06-20,4.8613691329956055
2011-06-21,4.84721565246582
2011-06-22,4.84721565246582
2011-06-23,4.84721565246582
2011-06-24,5.130263328552246
2011-06-27,4.882597923278809
2011-06-28,4.882597923278809
2011-06-29,5.059503555297852
2011-06-30,5.059503555297852
2011-07-01,5.024121284484863
