Date,AGYS
2010-01-04,9.729999542236328
2010-01-05,9.779999732971191
2010-01-06,9.239999771118164
2010-01-07,9.649999618530273
2010-01-08,9.800000190734863
2010-01-11,9.569999694824219
2010-01-12,9.15999984741211
2010-01-13,9.180000305175781
2010-01-14,9.170000076293945
2010-01-15,8.970000267028809
2010-01-19,9.680000305175781
2010-01-20,9.399999618530273
2010-01-21,9.640000343322754
2010-01-22,9.220000267028809
2010-01-25,9.1899995803833
2010-01-26,8.779999732971191
2010-01-27,9.010000228881836
2010-01-28,8.6899995803833
2010-01-29,8.399999618530273
2010-02-01,8.600000381469727
2010-02-02,8.710000038146973
2010-02-03,9.399999618530273
2010-02-04,9.0
2010-02-05,8.800000190734863
2010-02-08,9.180000305175781
2010-02-09,9.229999542236328
2010-02-10,9.100000381469727
2010-02-11,9.550000190734863
2010-02-12,9.4399995803833
2010-02-16,9.779999732971191
2010-02-17,9.920000076293945
2010-02-18,9.899999618530273
2010-02-19,9.8100004196167
2010-02-22,9.84000015258789
2010-02-23,9.880000114440918
2010-02-24,10.760000228881836
2010-02-25,11.260000228881836
2010-02-26,10.920000076293945
2010-03-01,11.020000457763672
2010-03-02,11.039999961853027
2010-03-03,10.84000015258789
2010-03-04,10.829999923706055
2010-03-05,11.079999923706055
2010-03-08,11.079999923706055
2010-03-09,11.40999984741211
2010-03-10,11.420000076293945
2010-03-11,11.489999771118164
2010-03-12,11.5
2010-03-15,11.479999542236328
2010-03-16,11.800000190734863
2010-03-17,11.770000457763672
2010-03-18,12.010000228881836
2010-03-19,11.279999732971191
2010-03-22,11.449999809265137
2010-03-23,11.720000267028809
2010-03-24,11.289999961853027
2010-03-25,11.3100004196167
2010-03-26,11.210000038146973
2010-03-29,11.170000076293945
2010-03-30,11.510000228881836
2010-03-31,11.170000076293945
2010-04-01,11.100000381469727
2010-04-05,11.710000038146973
2010-04-06,11.65999984741211
2010-04-07,11.550000190734863
2010-04-08,11.420000076293945
2010-04-09,11.529999732971191
2010-04-12,11.390000343322754
2010-04-13,11.260000228881836
2010-04-14,11.550000190734863
2010-04-15,11.5600004196167
2010-04-16,11.3100004196167
2010-04-19,11.3100004196167
2010-04-20,11.520000457763672
2010-04-21,11.600000381469727
2010-04-22,11.859999656677246
2010-04-23,11.829999923706055
2010-04-26,11.819999694824219
2010-04-27,11.510000228881836
2010-04-28,11.34000015258789
2010-04-29,11.550000190734863
2010-04-30,10.850000381469727
2010-05-03,8.979999542236328
2010-05-04,8.8100004196167
2010-05-05,8.600000381469727
2010-05-06,8.199999809265137
2010-05-07,7.130000114440918
2010-05-10,7.769999980926514
2010-05-11,7.559999942779541
2010-05-12,7.650000095367432
2010-05-13,7.519999980926514
2010-05-14,7.320000171661377
2010-05-17,7.090000152587891
2010-05-18,6.760000228881836
2010-05-19,7.0
2010-05-20,6.829999923706055
2010-05-21,6.929999828338623
2010-05-24,7.190000057220459
2010-05-25,6.900000095367432
2010-05-26,6.769999980926514
2010-05-27,7.059999942779541
2010-05-28,6.739999771118164
2010-06-01,6.699999809265137
2010-06-02,6.860000133514404
2010-06-03,7.300000190734863
2010-06-04,6.860000133514404
2010-06-07,6.199999809265137
2010-06-08,6.21999979019165
2010-06-09,6.550000190734863
2010-06-10,6.960000038146973
2010-06-11,7.230000019073486
2010-06-14,7.46999979019165
2010-06-15,7.96999979019165
2010-06-16,7.829999923706055
2010-06-17,7.449999809265137
2010-06-18,7.570000171661377
2010-06-21,7.190000057220459
2010-06-22,7.119999885559082
2010-06-23,7.329999923706055
2010-06-24,7.269999980926514
2010-06-25,7.369999885559082
2010-06-28,7.190000057220459
2010-06-29,6.920000076293945
2010-06-30,6.690000057220459
2010-07-01,6.869999885559082
2010-07-02,7.289999961853027
2010-07-06,7.079999923706055
2010-07-07,7.329999923706055
2010-07-08,7.510000228881836
2010-07-09,7.519999980926514
2010-07-12,7.260000228881836
2010-07-13,7.699999809265137
2010-07-14,7.489999771118164
2010-07-15,7.400000095367432
2010-07-16,6.989999771118164
2010-07-19,7.260000228881836
2010-07-20,7.150000095367432
2010-07-21,7.099999904632568
2010-07-22,7.260000228881836
2010-07-23,7.670000076293945
2010-07-26,7.860000133514404
2010-07-27,7.909999847412109
2010-07-28,7.809999942779541
2010-07-29,7.78000020980835
2010-07-30,7.929999828338623
2010-08-02,7.929999828338623
2010-08-03,7.840000152587891
2010-08-04,7.449999809265137
2010-08-05,6.989999771118164
2010-08-06,6.800000190734863
2010-08-09,7.050000190734863
2010-08-10,6.650000095367432
2010-08-11,5.699999809265137
2010-08-12,5.510000228881836
2010-08-13,5.349999904632568
2010-08-16,4.929999828338623
2010-08-17,5.010000228881836
2010-08-18,5.239999771118164
2010-08-19,5.0
2010-08-20,4.960000038146973
2010-08-23,4.75
2010-08-24,4.630000114440918
2010-08-25,4.489999771118164
2010-08-26,4.400000095367432
2010-08-27,4.510000228881836
2010-08-30,4.429999828338623
2010-08-31,4.340000152587891
2010-09-01,4.699999809265137
2010-09-02,4.659999847412109
2010-09-03,4.980000019073486
2010-09-07,4.949999809265137
2010-09-08,4.889999866485596
2010-09-09,5.070000171661377
2010-09-10,5.190000057220459
2010-09-13,5.550000190734863
2010-09-14,5.630000114440918
2010-09-15,5.650000095367432
2010-09-16,5.690000057220459
2010-09-17,6.010000228881836
2010-09-20,6.360000133514404
2010-09-21,6.159999847412109
2010-09-22,6.199999809265137
2010-09-23,5.989999771118164
2010-09-24,6.409999847412109
2010-09-27,6.199999809265137
2010-09-28,6.239999771118164
2010-09-29,6.389999866485596
