Date,THG
2010-01-04,28.80671501159668
2010-01-05,28.7808895111084
2010-01-06,28.800268173217773
2010-01-07,28.722803115844727
2010-01-08,28.690523147583008
2010-01-11,28.677621841430664
2010-01-12,28.600168228149414
2010-01-13,28.625974655151367
2010-01-14,28.387165069580078
2010-01-15,28.09670066833496
2010-01-19,28.755075454711914
2010-01-20,28.36134147644043
2010-01-21,28.29679298400879
2010-01-22,27.825620651245117
2010-01-25,28.08379554748535
2010-01-26,27.915987014770508
2010-01-27,27.844968795776367
2010-01-28,27.45770835876465
2010-01-29,27.380250930786133
2010-02-01,27.264070510864258
2010-02-02,27.54161262512207
2010-02-03,27.141422271728516
2010-02-04,26.48952865600586
2010-02-05,26.47016143798828
2010-02-08,26.14742660522461
2010-02-09,26.412059783935547
2010-02-10,26.4443359375
2010-02-11,26.463701248168945
2010-02-12,26.554073333740234
2010-02-16,26.8574275970459
2010-02-17,26.779979705810547
2010-02-18,26.941343307495117
2010-02-19,27.147891998291016
2010-02-22,27.2253475189209
2010-02-23,26.896156311035156
2010-02-24,27.1737003326416
2010-02-25,26.98006820678711
2010-02-26,27.205976486206055
2010-03-01,27.522258758544922
2010-03-02,27.53515625
2010-03-03,27.58034324645996
2010-03-04,27.593324661254883
2010-03-05,27.794599533081055
2010-03-08,28.008838653564453
2010-03-09,28.1322078704834
2010-03-10,28.223112106323242
2010-03-11,28.275043487548828
2010-03-12,28.2036190032959
2010-03-15,28.00235939025879
2010-03-16,27.91794776916504
2010-03-17,27.956907272338867
2010-03-18,28.034814834594727
2010-03-19,27.99586296081543
2010-03-22,27.99586296081543
2010-03-23,28.171152114868164
2010-03-24,28.054304122924805
2010-03-25,27.930927276611328
2010-03-26,27.982872009277344
2010-03-29,28.151681900024414
2010-03-30,28.04130744934082
2010-03-31,28.313997268676758
2010-04-01,28.242584228515625
2010-04-05,28.391910552978516
2010-04-06,28.5477237701416
2010-04-07,28.476318359375
2010-04-08,28.24907112121582
2010-04-09,28.171152114868164
2010-04-12,28.080276489257812
2010-04-13,28.197134017944336
2010-04-14,28.23609161376953
2010-04-15,28.424379348754883
2010-04-16,28.352951049804688
2010-04-19,28.52175521850586
2010-04-20,28.74250602722168
2010-04-21,28.859371185302734
2010-04-22,28.956762313842773
2010-04-23,29.44370460510254
2010-04-26,29.489139556884766
2010-04-27,28.872344970703125
2010-04-28,29.073637008666992
2010-04-29,29.235929489135742
2010-04-30,29.248918533325195
2010-05-03,29.683921813964844
2010-05-04,29.10609245300293
2010-05-05,28.904827117919922
2010-05-06,28.145191192626953
2010-05-07,28.554227828979492
2010-05-10,28.761978149414062
2010-05-11,28.59317398071289
2010-05-12,28.781471252441406
2010-05-13,28.839893341064453
2010-05-14,28.43086814880371
2010-05-17,28.963253021240234
2010-05-18,28.872344970703125
2010-05-19,29.06712532043457
2010-05-20,28.564403533935547
2010-05-21,28.492586135864258
2010-05-24,27.98984146118164
2010-05-25,27.918031692504883
2010-05-26,27.637287139892578
2010-05-27,28.512168884277344
2010-05-28,28.401180267333984
2010-06-01,27.996381759643555
2010-06-02,28.499107360839844
2010-06-03,28.57746124267578
2010-06-04,27.728679656982422
2010-06-07,27.682981491088867
2010-06-08,28.166122436523438
2010-06-09,27.702573776245117
2010-06-10,28.303237915039062
2010-06-11,28.34242057800293
2010-06-14,28.335887908935547
2010-06-15,28.949617385864258
2010-06-16,28.760272979736328
2010-06-17,28.877792358398438
2010-06-18,29.334823608398438
2010-06-21,29.184661865234375
2010-06-22,28.982254028320312
2010-06-23,29.13896369934082
