Date,ARES
2014-05-02,11.420074462890625
2014-05-05,11.420074462890625
2014-05-06,11.346396446228027
2014-05-07,10.885906219482422
2014-05-08,10.898186683654785
2014-05-09,10.79995059967041
2014-05-12,10.56663990020752
2014-05-13,10.560498237609863
2014-05-14,10.52979850769043
2014-05-15,10.769251823425293
2014-05-16,10.818368911743164
2014-05-19,10.953449249267578
2014-05-20,11.01484203338623
2014-05-21,10.990286827087402
2014-05-22,11.051682472229004
2014-05-23,11.156061172485352
2014-05-27,11.235876083374023
2014-05-28,11.475330352783203
2014-05-29,11.542869567871094
2014-05-30,11.665667533874512
2014-06-02,11.567426681518555
2014-06-03,11.487614631652832
2014-06-04,11.542869567871094
2014-06-05,11.309557914733887
2014-06-06,11.297276496887207
2014-06-09,11.48146915435791
2014-06-10,11.401649475097656
2014-06-11,11.518311500549316
2014-06-12,11.438490867614746
2014-06-13,11.27271842956543
2014-06-16,11.420074462890625
2014-06-17,11.32797622680664
2014-06-18,11.420074462890625
2014-06-19,11.44770336151123
2014-06-20,11.45077133178711
2014-06-23,11.53672981262207
2014-06-24,11.48884105682373
2014-06-25,11.463051795959473
2014-06-26,11.432352066040039
2014-06-27,11.579708099365234
2014-06-30,11.776182174682617
2014-07-01,11.573569297790527
2014-07-02,11.53672981262207
2014-07-03,11.634968757629395
2014-07-07,11.647244453430176
2014-07-08,11.819160461425781
2014-07-09,11.788468360900879
2014-07-10,11.78232479095459
2014-07-11,11.671805381774902
2014-07-14,11.757765769958496
2014-07-15,11.757765769958496
2014-07-16,11.714783668518066
2014-07-17,11.677946090698242
2014-07-18,11.78232479095459
2014-07-21,11.97265625
2014-07-22,12.046338081359863
2014-07-23,12.083176612854004
2014-07-24,12.187556266784668
2014-07-25,12.187556266784668
2014-07-28,11.929679870605469
2014-07-29,12.187556266784668
2014-07-30,12.009492874145508
2014-07-31,11.929679870605469
2014-08-01,11.788468360900879
2014-08-04,11.487614631652832
2014-08-05,11.475330352783203
2014-08-06,10.941166877746582
2014-08-07,10.922744750976562
2014-08-08,10.793810844421387
2014-08-11,11.02098560333252
2014-08-12,11.04554271697998
2014-08-13,11.168341636657715
2014-08-14,11.02098560333252
2014-08-15,11.088521957397461
2014-08-18,10.922744750976562
2014-08-19,10.928886413574219
2014-08-20,11.01484203338623
2014-08-21,11.014843940734863
2014-08-22,11.02104377746582
2014-08-25,11.194701194763184
2014-08-26,11.157491683959961
2014-08-27,11.145087242126465
2014-08-28,11.070662498474121
2014-08-29,11.089269638061523
2014-09-02,11.231918334960938
2014-09-03,11.21207046508789
2014-09-04,10.915613174438477
2014-09-05,11.219510078430176
2014-09-08,11.17609691619873
2014-09-09,11.008641242980957
2014-09-10,11.126479148864746
